../bba/Slam_After_Major_Fit.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  6H-S                    KT2.AQJ7.KT32.43 J53.9.976.KJT876 AQ8.T8652.AQ54.A 9764.K43.J8.Q952 | 1H-P-2N=1=-P-3C=2=-P-3H-P-4N-P-5D=3=-P-5S-P-6D=4=-P-6H | Jacoby 2NT | Shortness  !C | A=1/5 or 4/5 | !H queen and !D king
225   S  6H-S                    AQ43.432.K94.KT5 K82..87532.QJ874 5.AKQ8765.AJ6.A3 JT976.JT9.QT.962 | 2C=1=-P-2N-P-3H-P-4N-P-5D=2=-P-5S-P-5N=3=-P-6C=4=-P-6D=5=-P-6H | Strong | A=1/5 or 4/5 | !H queen no !C king no !D king | King ask by available bid | K=0
226   S  7H-N                    A65.AQT98.AK984. 7.J54.Q653.Q6532 KJT83.K63.2.AK84 Q942.72.JT7.JT97 | 1S-P-2H-P-4D=1=-P-4N-P-5H=2=-P-5N=3=-P-6H=4=-P-7H | Splinter | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=2
227   S  6H-S                    AQ53.A75.AJT5.KQ T982.QJ.976.AT83 K4.KT9832.KQ4.J5 J76.64.832.97642 | 1H-P-1S-P-2H-P-4N-P-5D=1=-P-5S-P-6H=2= | A=1/5 or 4/5 | No !H queen
228   S  6N-S                    Q973.A87.K6.AQ96 KJ86.4.J7532.743 A.QJT93.AQT.KJ85 T542.K652.984.T2 | 1H-P-1S-P-2C-P-2D=1=-P-4N-P-5H=2=-P-5N=3=-P-6D=4=-P-6N | Fourth suit game force | A=2 out of 4 | King ask by 5NT | K=1
229   S  6H-S                    KQ6.A53.K943.KQ4 983.4.AT85.T9872 AJ74.KQJ82.QJ.63 T52.T976.762.AJ5 | 1H-P-2D-P-2N-P-3H-P-3N-P-4C-P-4H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
230   S  6H-S                    QT9.K95.AKQ53.A9 A876.764.742.J73 K542.AQJT8.6.QT2 J3.32.JT98.K8654 | 1H-P-2D-P-2N-P-3H-P-3S-P-3N-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
231   S  5H-S                    J84.A83.AKJ64.K2 53.T765.75.AJ973 KQ76.KQJ42.Q3.Q5 AT92.9.T982.T864 | 1H-P-2D-P-2S-P-3H-P-4H-P-4N-P-5D=1=-P-5H | A=1/5 or 4/5
232   S  6S-S                    KQ84.A6.K763.J53 T2.KJ93.QT542.T8 A7653.QT82.A.AK6 J9.754.J98.Q9742 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4D-P-4H-P-4N-P-5C=3=-P-6S | Jacoby 2NT | Shortness  !D | A=0/5 or 3/5
233   S  6H-S                    Q.JT73.AKQ2.Q964 AJT52.4.8543.J82 K974.AKQ82.T9.AT 863.965.J76.K753 | 1H-P-3S=1=-P-3N-P-4H-P-4N-P-5D=2=-P-6H | Splinter | A=1/5 or 4/5
234   S  6H-S                    AQ985.KT2.J74.QT T2.983.K65.AJ654 J4.AQJ65.AQT8.K7 K763.74.932.9832 | 1H-P-1S-P-2D-P-4H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
235   S  6H-S                    AKQ3.986.A87.A32 J854.52.T63.Q975 9.KQJT3.KQ42.KJ6 T762.A74.J95.T84 | 1H-P-2C-P-3D-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
236   S  5H-S                    AT2.A98.K54.KJ76 97.64.AQ8632.Q54 KQJ8.KQJ752.7.A9 6543.T3.JT9.T832 | 1H-P-3N-P-4C-P-4H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
237   S  5S-S                    J72.4.KQ2.AKQ643 A8.J952.J9.J9872 K9653.AKQ.AT84.T QT4.T8763.7653.5 | 1S-P-2C-P-3D-P-4H=1=-P-4N-P-5D=2=-P-5S | Splinter | A=1/5 or 4/5
238   S  6H-S                    87.Q986.872.AKJ4 AQJ3.32.T96.9765 K642.AKJ74.AKJ5. T95.T5.Q43.QT832 | 1H-P-3H-P-4N-P-5D=1=-P-5S-P-6C=2=-P-6H | A=1/5 or 4/5 | !H queen and !C king
239   S  6H-N                    KT8.AJ962.AK6.K6 9654.54.J75.QJ73 AJ732.KQ3.QT8.82 Q.T87.9432.AT954 | 1S-P-2H-P-4H-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
240   S  6S-S                    653.K95.AKT73.Q8 J4.T7642.QJ84.T3 KQT98.AJ8.5.AK96 A72.Q3.962.J7542 | 1S-P-1N=1=-P-3C-P-3S-P-4C-P-4D-P-4S-P-4N-P-5C=2=-P-6S | Forcing 1NT | A=0/5 or 3/5
241   S  4H-S                    AK974.T75.AT.AJ4 T53.9.K986.QT853 62.AK643.QJ73.K7 QJ8.QJ82.542.962 | 1H-P-1S-P-2D-P-3C=1=-P-3N-P-4H | Fourth suit game force
242   S  3N-S                    K82.A32.AKT98.T5 Q97.T986.6.KJ972 A43.KQJ54.J75.AQ JT65.7.Q432.8643 | 1N-P-3N
243   S  7S-S                    QT972.AJ6.A8.QJ6 84.Q9542.5432.94 AK653.K7.KQ9.AT8 J.T83.JT76.K7532 | 1S-P-2N=1=-P-3S-P-3N-P-4N-P-5S=2=-P-5N=3=-P-6C=4=-P-7S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=0
244   S  3N-S                    AQJT.962.QJ84.AQ K932.K74.T2.J982 8.AQJT3.K653.KT6 7654.85.A97.7543 | 1H-P-1S-P-2D-P-3C=1=-P-3N | Fourth suit game force
245   S  6H-S                    A8.AT43.T842.KT9 Q9765.7.53.A7642 KT.KQJ985.AKJ9.J J432.62.Q76.Q853 | 1H-P-2N=1=-P-3C=2=-P-4H-P-4N-P-5H=3=-P-6H | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(H)=0
246   S  6H-S                    AJT52.AQ2.Q8.J83 986.74.J54.QT952 K.KJT863.AK7.K74 Q743.95.T9632.A6 | 1H-P-1S-P-3H-P-4N-P-5H=1=-P-6H | A=2/5 or 5/5, Q(H)=0
247   S  6S-S                    AT93.QJ97.Q3.Q63 .T63.K8742.JT984 K8542.A8.AJT.AK5 QJ76.K542.965.72 | 1S-P-2N=1=-P-3S-P-4S-P-4N-P-5D=2=-P-5H-P-5S=3=-P-6S | Jacoby 2NT | A=1/5 or 4/5 | No !S queen
248   S  4H-S                    52.732.AQ3.KQJ95 KQJ.T64.JT864.T2 A98.AKQJ85.K7.64 T7643.9.952.A873 | 1H-P-1N=1=-P-3H-P-4H | Forcing 1NT
249   S  5S-S                    543.A.AKQT5.AKJT .T9875.932.98643 QJT872.KQJ3.J7.Q AK96.642.864.752 | 1S-P-2D-P-2H-P-2S-P-3C-P-3S-P-4S-P-4N-P-5C=1=-P-5S | A=0/5 or 3/5
250   S  6H-S                    KJ.JT2.T762.AKQ3 985.9865.J93.J76 AQ72.KQ743.AK5.8 T643.A.Q84.T9542 | 1H-P-2C-P-2S-P-3H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
251   S  6S-S                    J86.J974.AJT4.A8 Q72.T2.K652.T962 AKT43.AKQ8.7.K43 95.653.Q983.QJ75 | 1S-P-1N=1=-P-3H-P-3S-P-4N-P-5H=2=-P-6S | Forcing 1NT | A=2/5 or 5/5, Q(S)=0
252   S  4H-S                    Q3.J53.54.AKT876 JT854.AT87.J76.4 A9.KQ962.AKQ2.J2 K762.4.T983.Q953 | 1H-P-1N=1=-P-3D-P-3H-P-3S-P-4C-P-4H | Forcing 1NT
253   S  6H-S                    2.J43.Q43.AK9852 AQ653.65.J97.Q63 KT98.AKQT82.AK.7 J74.97.T8652.JT4 | 2C=1=-P-3C-P-3H-P-4N-P-5C=2=-P-5D-P-5S=3=-P-6H | Strong | A=0/5 or 3/5 | !H queen and !S king
254   S  5S-S                    AQJ3.AJ5.A753.K4 942.9742.J6.8753 T8765.KQ3.Q9.AQT K.T86.KT842.J962 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-5S | Jacoby 2NT | A=1/5 or 4/5
255   S  4H-S                    AK7.A986.A982.QT 852.53.QT4.A8542 J9.KJT72.KJ.KJ97 QT643.Q4.7653.63 | 1H-P-2N=1=-P-4H | Jacoby 2NT
256   S  4H-S                    AKJ5.Q94.AT76.63 T963.T.J983.K542 Q8.AK762.Q2.AQ87 742.J853.K54.JT9 | 1H-P-1S-P-2C-P-4H
257   S  4S-S                    Q62.AT97.76.AK73 853.K865.JT9.T96 AKT74.Q.AK32.852 J9.J432.Q854.QJ4 | 1S-P-2C-P-3D-P-4S
258   S  6S-S                    AJ752.QJ7.K.K865 96.AKT92.J654.T7 KQT84.6.AQ9.AJ32 3.8543.T8732.Q94 | 1S-P-2N=1=-P-3H=2=-P-4C-P-4H-P-4N-P-5C=3=-P-6S | Jacoby 2NT | Shortness  !H | A=0/5 or 3/5
259   S  6S-S                    9542.AJ3.K.AKQT8 J8.84.QT7653.963 AKQ76.T965.A98.J T3.KQ72.J42.7542 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4D-P-4H-P-4N-P-5H=3=-P-6S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=0
260   S  6D-S                    AKQ5.J96.3.A6543 JT864.4.K8.QT987 .AKQT73.AQJ9542. 9732.852.T76.KJ2 | 1D-P-2C-P-3D-P-3S-P-4D-P-4N-P-5S=1=-P-6D | A=2/5 or 5/5, Q(D)=1
261   S  5S-S                    QJ65.Q5.A7.Q7654 83.JT9642.QJT6.T AKT72.A83.K5.KJ8 94.K7.98432.A932 | 1S-P-2N=1=-P-3S-P-4S-P-4N-P-5D=2=-P-5S | Jacoby 2NT | A=1/5 or 4/5
262   S  6H-S                    A.KQ74.K8532.AT7 654.T9.T976.KQJ3 QJT3.A8532.AQ.95 K9872.J6.J4.8642 | 1H-P-2N=1=-P-4H-P-4N-P-5H=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
263   S  7H-S                    AT76.KT76.AKJ53. KJ53.42.T7.Q9752 Q92.AQ983.6.AKT8 84.J5.Q9842.J643 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4C-P-4N-P-5S=3=-P-7H | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(H)=1
264   S  4S-S                    874.KQ8.KJT.K853 Q.6542.Q942.T762 AK632.JT73.A.AQ4 JT95.A9.87653.J9 | 1S-P-1N=1=-P-3H-P-3S-P-4C-P-4D-P-4S | Forcing 1NT
265   S  6S-S                    QJ3.K82.AQJT83.7 4.Q654.752.QT542 AKT87.T73.K.AKJ6 9652.AJ9.964.983 | 1S-P-2D-P-3N-P-6S
266   S  6S-S                    J632.KQ82.AQ6.A3 K5.T5.KT82.J9842 AQ984.AJ7.J3.KQ5 T7.9643.9754.T76 | 1N-P-2C=1=-P-2S-P-3H-P-3S-P-4C-P-4N-P-5H=2=-P-6S | Stayman | A=2/5 or 5/5, Q(S)=0
267   S  4H-S                    KJ6.KQ4.KQ5.J743 852.JT8.943.AK62 AT7.A9532.A2.Q95 Q943.76.JT876.T8 | 1H-P-3N-P-4H
268   S  4S-S                    Q98.K.AQ542.QT87 2.AT764.T98.J963 AKJ53.QJ82.J.A42 T764.953.K763.K5 | 1S-P-2D-P-3H-P-4S
269   S  6H-S                    5.AKQ5.AQT8.J987 AKJ7.64.7642.653 Q86.JT972.K.AKQ2 T9432.83.J953.T4 | 1H-P-3S=1=-P-3N-P-6H | Splinter
270   S  5H-S                    KQJ8.AQ72.AK2.43 T7542.T6.9.AKJT9 A6.KJ943.Q643.Q2 93.85.JT875.8765 | 1H-P-2N=1=-P-4H-P-4N-P-5H=2= | Jacoby 2NT | A=2/5 or 5/5, Q(H)=0
271   S  6H-S                    AK76.KJ2.KQ852.3 Q985.8643.9.A984 J.AQT75.AJ4.KQ72 T432.9.T763.JT65 | 1H-P-2D-P-3N-P-6H
272   S  4H-S                    Q2.K94.AJ93.Q743 T98765.J8.T542.9 A4.AQT652.K.AJ62 KJ3.73.Q876.KT85 | 1H-P-1N=1=-P-3H-P-4H | Forcing 1NT
273   S  6H-S                    AK74.KT65.K86.KQ J852.73.QJ75.984 Q3.AQJ82.92.AT53 T96.94.AT43.J762 | 1H-P-2N=1=-P-4H-P-4N-P-5S=2=-P-6H | Jacoby 2NT | A=2/5 or 5/5, Q(H)=1
274   S  3N-S                    JT3.A.KQ87.QJT43 A.87652.T6542.72 KQ542.KJ3.A3.A98 9876.QT94.J9.K65 | 1N-P-3N
275   S  4S-S                    J97.KQ83.KQT86.J 85.942.J53.KQ987 AKQT4.AJ.942.AT3 632.T765.A7.6542 | 1S-P-1N=1=-P-2N-P-4S | Forcing 1NT
276   S  6N-S                    JT6.A53.AKQJ6.Q6 KQ92.J92.92.K983 A8754.KQ7.T7.A52 3.T864.8543.JT74 | 1S-P-2D-P-2N-P-3S-P-4C-P-4H-P-4N-P-5H=1=-P-6N | A=2/5 or 5/5, Q(S)=0
277   S  5H-S                    .KQ2.AKT85.QT542 J98764.J.96432.6 AKQ.AT8765.Q.K97 T532.943.J7.AJ83 | 1H-P-2D-P-3H-P-4N-P-5H=1= | A=2/5 or 5/5, Q(H)=0
278   S  5S-S                    KQT.K6.QT86.AQ93 A84.97.KJ94.8752 96532.AQT5.A3.K6 J7.J8432.752.JT4 | 1S-P-2C-P-2H-P-2S-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
279   S  7H-S                    AK63.AQ97.AQT4.3 82.842.J863.8752 QT94.KT653.5.AKQ J75.J.K972.JT964 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4C-P-4D-P-4N-P-5C=3=-P-5D-P-5S=4=-P-5N=5=-P-6D=6=-P-7H | Jacoby 2NT | Shortness  !D | A=0/5 or 3/5 | !H queen and !S king | King ask by 5NT | K=1
280   S  6S-S                    J854.KQT.AQ83.T9 T3.A75.T942.QJ76 AKQ96.9643.KJ.A4 72.J82.765.K8532 | 1S-P-2N=1=-P-3S-P-4D-P-4H-P-4N-P-5C=2=-P-6S | Jacoby 2NT | A=0/5 or 3/5
281   S  4H-S                    KJ9.KJ42.AK84.J9 T65.A96.Q5.QT764 A2.QT873.632.AK8 Q8743.5.JT97.532 | 1H-P-2N=1=-P-4H | Jacoby 2NT
282   S  7S-S                    QJT963.AJ.AK8.Q2 2.KQT63.J9765.J8 AK854.542.T.AK53 7.987.Q432.T9764 | 1S-P-2N=1=-P-3D=2=-P-3S-P-4C-P-4H-X-4N-P-5S=3=-P-5N=4=-P-6D=5=-P-7S | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(S)=1 | King ask by 5NT | K=1
283   S  6H-S                    A.T95.AT984.KQ42 JT9876..KJ652.T9 KQ4.AKQ843.3.A53 532.J762.Q7.J876 | 1H-P-2D-P-3H-P-4H-P-4N-P-5H=1=-P-5N=2=-P-6D=3=-P-6H | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
284   S  6H-S                    52.KT3.A953.KT62 J94.987.Q64.J985 AKQ.AJ654.KT.Q74 T8763.Q2.J872.A3 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
285   S  5H-S                    5.QJT2.KT97.AQJT AT876..AQJ832.54 KQJ.AK8653.5.K83 9432.974.64.9762 | 1H-P-3S=1=-X-4D-P-4H-P-4N-P-5D=2=-P-5H | Splinter | A=1/5 or 4/5
286   S  6H-S                    A64.J63.Q632.AJT QJ9.98.KJ8.97632 KT.AKQ54.A954.K5 87532.T72.T7.Q84 | 1H-P-1N=1=-P-3N-P-6H | Forcing 1NT
287   S  6H-S                    Q9.AKQJ.Q3.J8742 T7543.2.T542.A53 AK.T8653.A98.K96 J862.974.KJ76.QT | 1H-P-2N=1=-P-3N-P-6H | Jacoby 2NT
288   S  4S-S                    965.KT96.AKJ7.AK K874.QJ4.Q52.J97 AQJ32.A52.4.Q643 T.873.T9863.T852 | 1S-P-2D-P-2N-P-3S-P-4D-P-4H-P-4S
289   S  6H-S                    AJ.K64.AQJT85.K7 T87432.T7.K7.J65 KQ95.AQ953..AT93 6.J82.96432.Q842 | 1H-P-2D-P-2S-P-3H-P-4N-P-5C=1=-P-6H | A=0/5 or 3/5
290   S  5S-S                    A73.QT5.AQ7.QJ95 954.9876.T9542.K KQJT2.KJ.K6.AT32 86.A432.J83.8764 | 1S-P-3N-P-4C-P-4D-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
291   S  6S-S                    QT52.AT73.KJ4.J4 97.52.T9865.T862 AKJ64.KQ96.7.AQ5 83.J84.AQ32.K973 | 1S-P-2N=1=-P-3D=2=-P-4S-P-4N-P-5D=3=-P-5H-P-6D=4=-P-6S | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5 | !S queen and !D king
292   S  6S-S                    AJ2.84.AJT92.J83 Q986.Q62.K74.962 K7543.AKT9..AKQ4 T.J753.Q8653.T75 | 2C=1=-P-3D-P-3S-P-4N-P-5C=2=-P-5D-P-5S=3=-P-6C=4=-P-6S=5= | Strong | A=0/5 or 3/5 | No !S queen | King ask by available bid | K=2
293   S  4S-S                    AJT3.JT2.AJ3.J73 7.98.Q872.KT9852 KQ982.AQ73.96.AQ 654.K654.KT54.64 | 1S-P-2N=1=-P-3S-P-4D-P-4H-P-4S | Jacoby 2NT
294   S  6H-S                    AK2.AQT.9543.AK6 964.7.KQJ86.J852 QJ73.KJ942.AT.Q7 T85.8653.72.T943 | 1H-P-2D-P-2N-P-3H-P-4D-P-4S-P-5H-P-6H
295   S  3N-N                    JT3.AKQ.AQ64.QJ8 5.743.JT732.K973 AKQ84.952.K985.5 9762.JT86..AT642 | 1S-P-2D-P-3D-P-3N
296   S  5H-S                    AQ92.A52.K64.Q62 K843.J976.92.K43 5.KQT43.AQT.AJT8 JT76.8.J8753.975 | 1H-P-1S-P-2C-P-2D=1=-P-4N-P-5H=2= | Fourth suit game force | A=2 out of 4
297   S  6H-S                    KJ95.A65.KQ4.QJ3 QT84.Q83.J53.K87 A.JT9742.A92.A64 7632.K.T876.T952 | 1H-P-2C-P-2H-P-3H-P-4N-P-5D=1=-P-6H | A=1/5 or 4/5
298   S  5S-S                    K85.J.AJ75.AKQ97 3.K9642.K82.T865 AQT72.A753.Q64.3 J964.QT8.T93.J42 | 1S-P-2C-P-2H-P-2S-P-3C-P-3S-P-4H-P-5C-P-5S
299   S  7S-S                    AQJ8.KQJ3.8.K642 T9.T4.J974.98753 K7543.A62.A532.A 62.9875.KQT6.QJT | 1S-P-2N=1=-P-3C=2=-P-4D=3=-P-4H-P-4N-P-5D=4=-P-5N=5=-P-6C=6=-P-7S | Jacoby 2NT | Shortness  !C | Splinter | A=1/5 or 4/5 | King ask by 5NT | K=0
300   S  6H-S                    Q5.KQ3.AKT3.A973 J643.2.7542.JT86 AKT2.AT654.986.K 987.J987.QJ.Q542 | 1H-P-2C-P-2N-P-3H-P-3N-P-4C-P-4N-P-5C=1=-P-5D-P-6D=2=-P-6H | A=0/5 or 3/5 | !H queen and !D king
301   S  3N-S                    QJ3.84.AT842.AQ9 652.Q753.J96.742 AKT97.A96.K3.KT8 84.KJT2.Q75.J653 | 1N-P-3N
302   S  6H-S                    QJ97.8653.K.AK87 T5.T4.QJ872.QJ52 AK62.AKQJ9.94.64 843.72.AT653.T93 | 1H-P-2N=1=-P-3H-P-4C-P-4D-P-4N-P-5C=2=-P-5D-P-5S=3=-P-5N=4=-P-6D=5=-P-6H | Jacoby 2NT | A=0/5 or 3/5 | !H queen and !S king | King ask by 5NT | K=1
303   S  6H-S                    A8.Q9875.QJ8.Q75 54.J3.AK954.T982 KJT2.AKT62.6.AK4 Q9763.4.T732.J63 | 1H-P-2N=1=-P-3D=2=-P-4H-P-4N-P-5D=3=-X-6H | Jacoby 2NT | Shortness  !D | A=1/5 or 4/5
304   S  6S-S                    AJ8.KT3.AQ8.K763 T743.6.T9753.JT4 K9652.AJ95.K2.A8 Q.Q8742.J64.Q952 | 1S-P-2C-P-3H-P-3S-P-4C-P-4H-P-4N-P-5H=1=-P-5N=2=-P-6H=3=-P-6S | A=2/5 or 5/5, Q(S)=0 | King ask by 5NT | K=2
305   S  5H-S                    AJ.A654.KQ643.73 8542.7.J82.AQ942 KQ9.KQJT2.7.KJ86 T763.983.AT95.T5 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4N-P-5H=3= | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(H)=0
306   S  6S-S                    T72.A976.96.AKQT 5.JT85.AT2.98762 AKQJ64.K3.K853.3 983.Q42.QJ74.J54 | 1S-P-2C-P-3S-P-4N-P-5S=1=-P-6S | A=2/5 or 5/5, Q(S)=1
307   S  6S-S                    KJ8.KJ983.Q3.Q98 7543.A64.875.J42 AQT96.7.AKJ6.A63 2.QT52.T942.KT75 | 1S-P-1N=1=-P-3D-P-3S-P-4N-P-5D=2=-P-6S | Forcing 1NT | A=1/5 or 4/5
308   S  4H-S                    432.AQ5.K65.AJ73 T96.64.8742.KQ86 AK75.KJT93.A9.T5 QJ8.872.QJT3.942 | 1H-P-3N-P-4H
309   S  6N-S                    QJ87.KQ7.Q9.KQ63 K94.32.J32.JT975 A52.AJT84.AT7.A2 T63.965.K8654.84 | 1N-P-2C=1=-P-2H-P-4N-P-6N | Stayman
310   S  4H-S                    A954.QJT3.A94.Q7 Q632.2.T53.J8653 KJT.AK764.KQ72.K 87.985.J86.AT942 | 1H-P-2N=1=-P-3C=2=-P-4H | Jacoby 2NT | Shortness  !C
311   S  4S-S                    J98.AQ92.Q9.K974 2.KT87543.T8.AT5 AKQT53.J.AK43.Q6 764.6.J7652.J832 | 1S-P-1N=1=-3H-3S-P-4S | Forcing 1NT
312   S  4S-S                    Q63.842.K9864.KQ K9.9765.AQ5.T854 AT872.AKQ3.J2.AJ J54.JT.T73.97632 | 1S-P-1N=1=-P-3H-P-3S-P-4C-P-4D-P-4S | Forcing 1NT
313   S  4H-S                    AJ9.A83.KQJ5.K83 K86.764.AT82.QJ5 QT32.KQJ92.6.AT4 754.T5.9743.9762 | 1H-P-2D-P-2N-P-3H-P-4H
314   S  6S-S                    AQ54.A7.KT4.KJ95 93.JT62.63.76432 JT762.KQ3.A972.A K8.9854.QJ85.QT8 | 1S-P-2N=1=-P-3C=2=-P-3S-P-4C-P-4H-P-4N-P-5S=3=-P-6S | Jacoby 2NT | Shortness  !C | A=2/5 or 5/5, Q(S)=1
315   S  5S-S                    Q64.A92.AQJ74.J4 87.J7654.T9.AQ72 AKJ95.QT83.K.KT9 T32.K.86532.8653 | 1S-P-2D-P-3H-P-3S-P-4C-P-4D-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
316   S  6H-S                    AKT.Q986.952.K98 98743.T.K86.6542 6.AKJ32.AQJ4.A73 QJ52.754.T73.QJT | 1H-P-2N=1=-P-3S=2=-P-4H-P-4N-P-5D=3=-P-5S-P-6C=4=-P-6H | Jacoby 2NT | Shortness  !S | A=1/5 or 4/5 | !H queen and !C king
317   S  6H-S                    A92.JT97.AKQ3.Q9 Q86.6.98542.K642 JT75.AK8543.J.A8 K43.Q2.T76.JT753 | 1H-P-2N=1=-P-3D=2=-P-3H-P-4C-P-4D-P-4N-P-5H=3=-P-5N=4=-P-6D=5=-P-6H | Jacoby 2NT | Shortness  !D | A=2/5 or 5/5, Q(H)=0 | King ask by 5NT | K=1
318   S  4S-S                    J75.J852.KQJ.QJ2 942.A9764.953.43 AKQT3.QT.64.AK97 86.K3.AT872.T865 | 1S-P-1N=1=-P-3C-P-3S-P-4C-P-4D-P-4S | Forcing 1NT
319   S  6N-S                    AT5.K84.QJ872.KT 932.Q753.963.Q63 KQJ76.A6.AK5.J85 84.JT92.T4.A9742 | 1S-P-2D-P-3N-P-4N-P-6N
320   S  4S-S                    KQ8.JT92.K4.AKT4 72.AQ87.865.9652 A9654.K3.AJ97.J8 JT3.654.QT32.Q73 | 1S-P-2C-P-3D-P-3S-P-4D-P-4H-P-4S
321   S  5S-S                    A643.QJT3.J6.AQJ K.987.9832.T9864 JT987.K62.AK4.K2 Q52.A54.QT75.753 | 1S-P-2N=1=-P-3N-P-4C-P-4D-P-4H-P-4N-P-5H=2=-P-5S | Jacoby 2NT | A=2/5 or 5/5, Q(S)=0
322   S  3N-N                    QJ5.Q743.AQT4.K5 T64.K.J9865.AJ87 AK82.AJT65.K7.T4 973.982.32.Q9632 | 1H-P-2N=1=-P-3N | Jacoby 2NT
323   S  4S-S                    QJ94.A8.Q85.AKT7 .Q9532.KT72.J932 AKT732.KJ.943.Q4 865.T764.AJ6.865 | 1S-P-2N=1=-P-4S | Jacoby 2NT
324   S  4H-S                    AK63.9853.AQ2.A8 T8.KT2.JT5.KJT94 QJ2.AQJ64.98.Q76 9754.7.K7643.532 | 1H-P-2N=1=-P-4H | Jacoby 2NT
325   S  6H-S                    K92.AQ7.AKQ5.Q93 A8543.86.876.J87 7.KJT94.J42.AKT2 QJT6.532.T93.654 | 1H-P-2D-P-2N-P-3H-P-3S-P-3N-P-4C-P-4D-P-4N-P-5S=1=-P-6H | A=2/5 or 5/5, Q(H)=1
326   S  4S-S                    KJ85.K75.AKJ.Q64 A72.Q943.743.932 QT964.A86.T6.AK7 3.JT2.Q9852.JT85 | 1S-P-2N=1=-P-4S | Jacoby 2NT
327   S  3N-S                    AT.J62.KQT52.K93 K8542.Q5.983.Q86 J97.AK873.AJ4.AT Q63.T94.76.J7542 | 1N-P-3N
328   S  4S-S                    A93.KJT6.AT.KJ53 42.932.9865.Q864 KJ875.A75.KQ72.9 QT6.Q84.J43.AT72 | 1S-P-2C-P-3D-P-3S-P-4C-P-4D-P-4S
329   S  6S-S                    AQ2.J64.KQJ97.93 T75.KT852.A42.J8 KJ986.AQ3.6.AQ74 43.97.T853.KT652 | 1S-P-2D-P-2N-P-4S-P-4N-P-5D=1=-P-6S | A=1/5 or 4/5
330   S  4H-S                    J32.QT7.AKJ4.QT2 876.8.9632.KJ987 KQ.AK5432.85.A54 AT954.J96.QT7.63 | 1H-P-3N-P-4C-P-4H
331   S  5S-S                    AQ8.J5.K85.AKQ83 9.T7.Q9643.T7542 J76543.AK43.A2.9 KT2.Q9862.JT7.J6 | 1S-P-2C-P-2H-P-2S-P-3C-P-3S-P-4N-P-5S=1= | A=2/5 or 5/5, Q(S)=1
332   S  4H-S                    A6532.Q62.AQ4.K8 Q98.85.KT6.Q7432 KJ4.KJT73.J7.AJ6 T7.A94.98532.T95 | 1H-P-1S-P-1N-P-4H
333   S  6S-S                    AKQJ3.AK32.72.Q9 T6.6.AQT54.T8542 97542.Q98.K8.AKJ 8.JT754.J963.763 | 1S-P-2N=1=-P-4S-P-4N-P-5D=2=-P-6S | Jacoby 2NT | A=1/5 or 4/5
334   S  5S-S                    K82.A9752.KJ92.A T5.T84.A863.8753 AJ743.QJ.Q5.KQJ4 Q96.K63.T74.T962 | 1S-P-2H-P-2N-P-3S-P-3N-P-4N-P-5D=1=-P-5H-P-5S=2= | A=1/5 or 4/5 | No !S queen
335   S  7H-S                    K875.QJ8.A.KJ987 JT632..Q96.T5432 A4.AKT963.J732.A Q9.7542.KT854.Q6 | 1H-P-2C-P-3H-P-4N-P-5D=1=-P-7H | A=1/5 or 4/5
336   S  6S-S                    A93.AK82.KJ98.Q7 84.T96.Q542.KJ85 KQJ762.J4.AT3.A9 T5.Q753.76.T6432 | 1S-P-2D-P-3S-P-4N-P-5C=1=-P-5D-P-5N=2=-P-6C=3=-P-6D=4=-P-6S | A=0/5 or 3/5 | !S queen no !H king no !C king no !D king | King ask by available bid | K=0
