../bba/GIB_1M-P-Resp.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
349   N  1N-N                    A52.AQJ93.72.QT9 87.K842.AT43.K53 9643.76.QJ85.AJ6 KQJT.T5.K96.8742 | 1H-P-1S-P-1N
350   N  4H-N                    9.QJT64.A96.KJ82 A542.A2.8532.QT4 QT863.987.K4.A73 KJ7.K53.QJT7.965 | 1H-P-3H-P-4H
351   N  4H-N                    86.AJT742.QJ8.A4 KQ95.85.T74.KQT8 J43.KQ6.K92.9732 AT72.93.A653.J65 | 1H-P-2H-P-P-X-P-2S-3H-P-4H
352   N  2D-N                    J3.KJ754.KQT6.A2 Q86.T932.A74.K53 AT752.Q.J98.8764 K94.A86.532.QJT9 | 1H-P-1S-P-2D
353   N  2S-N                    AT864.A763.J6.AJ KQ9.Q84.Q852.985 J53.KJ2.K97.7643 72.T95.AT43.KQT2 | 1S-P-2S
354   N  1N-N                    QJ2.AKJT8.932.K6 954.9632.AQ86.Q4 KT86.Q5.K4.J9873 A73.74.JT75.AT52 | 1H-P-1S-P-1N
355   N  1N-S                    KT954.Q74.A8.KQ8 Q876.AK96.J32.94 A2.853.K765.T532 J3.JT2.QT94.AJ76 | 1S-P-1N
356   N  2S-N                    AKJ84.J6.32.QJ63 Q9.542.K764.AT82 T72.K983.A85.K74 653.AQT7.QJT9.95 | 1S-P-2S
357   N  4H-N                    QT.KQT973.Q73.K4 J75.64.AJT2.QJ97 AK982.852.K4.T85 643.AJ.9865.A632 | 1H-P-3H-P-4H
358   N  1N-S                    AT842.AT2.Q2.A93 K7.K73.KT86.JT52 J5.Q985.A9743.76 Q963.J64.J5.KQ84 | 1S-P-1N
359   N  3H-N                    A7.AQT73.542.QT9 KQ82.96.K983.J52 T653.KJ4.QT7.A76 J94.852.AJ6.K843 | 1H-P-3H
360   N  2S-N                    JT865.AQJ3.Q2.K6 K72.K65.J765.QT4 43.T94.A98.A9752 AQ9.872.KT43.J83 | 1S-P-1N-P-2H-P-2S
361   N  2S-N                    AKQ62.A8.742.J64 974.764.AJ65.KQ8 J53.KQJ5.T83.T97 T8.T932.KQ9.A532 | 1S-P-2S
362   N  1N-S                    J53.A9732.AJ3.A8 AQ92.Q654.QT7.T3 T74.KT.K96.QJ652 K86.J8.8542.K974 | 1H-P-1N
363   N  2H-N                    976.AQJ874.KJ.K7 AJ5.K9.QT64.T532 KT4.62.A872.J864 Q832.T53.953.AQ9 | 1H-P-1N-P-2H
364   N  4H-N                    AJT2.QJ853.Q54.K 863.9.KT86.A9742 Q74.KT7.A32.JT85 K95.A642.J97.Q63 | 1H-P-3H-P-4H
365   N  2S-N                    QJ632.T842.AK.Q4 K94.AJ65.Q3.T862 A8.973.J9754.KJ3 T75.KQ.T862.A975 | 1S-P-1N-P-2H-P-2S
366   N  4S-N                    QJ654.A5.K5.A872 K97.Q764.AT83.J4 AT83.J92.Q97.Q95 2.KT83.J642.KT63 | 1S-P-3S-P-4S
367   N  2H-N                    Q52.AQ872.Q6.KJ2 AT6.KT9.K542.876 J93.653.JT97.AQ4 K874.J4.A83.T953 | 1H-P-2H
368   N  1N-S                    KJ952.A9.QT3.A93 A763.853.J6.QJT6 Q.T642.K9872.K85 T84.KQJ7.A54.742 | 1S-P-1N
369   N  2H-N                    AT.AQT96.42.KT93 J642.KJ2.Q9.Q742 9873.854.AKJ53.5 KQ5.73.T876.AJ86 | 1H-P-2H
370   N  2S-S                    Q854.AJT53.KJ.Q7 J3.K976.Q964.KJ5 K972.4.T873.A843 AT6.Q82.A52.T962 | 1H-P-1S-P-2S
371   N  3S-N                    KQ532.KQ6.92.Q62 A97.J972.73.A973 T64.853.AKQT4.85 J8.AT4.J865.KJT4 | 1S-P-3S
372   N  2S-N                    AT743.KT.A92.K52 Q85.932.QJT.AJ74 K92.A875.754.T96 J6.QJ64.K863.Q83 | 1S-P-2S
373   N  1N-S                    KQJ5.AJT85.J76.9 9642.K43.K98.A84 873.62.Q42.KQJT6 AT.Q97.AT53.7532 | 1H-P-1N
374   N  2S-N                    KQT97.Q85.J7.AQ3 J62.T9.AQT9.K985 A85.K643.842.J76 43.AJ72.K653.T42 | 1S-P-2S
375   N  3S-N                    QJ932.Q92.A6.AT5 A4.KJ86.953.Q963 K87.T3.KT87.K842 T65.A754.QJ42.J7 | 1S-P-3S
376   N  2D-N                    A9.J8652.A963.KQ KQT4.A94.J42.T86 862.T3.KQ87.J974 J753.KQ7.T5.A532 | 1H-P-1N-P-2D
377   N  4H-N                    A862.AKT83.7.632 J73.Q95.KQ95.JT8 K9.762.T863.AK75 QT54.J4.AJ42.Q94 | 1H-P-3H-P-4H
378   N  2H-N                    A5.AT7532.KQ7.85 KJ9.94.T432.KQT2 8643.KJ6.986.A76 QT72.Q8.AJ5.J943 | 1H-P-2H
379   N  1N-S                    JT974.AJT.A83.A6 KQ6.9762.KT9.975 A2.843.Q765.KT32 853.KQ5.J42.QJ84 | 1S-P-1N
380   N  2H-N                    65.KT873.A864.AJ KJ8.AQ4.975.T963 Q7432.J5.KT.K742 AT9.962.QJ32.Q85 | 1H-P-1S-P-2D-P-2H
381   N  2S-N                    AQ983.Q83.A8.QT8 KT6.65.K7642.J94 J72.AK42.Q95.532 54.JT97.JT3.AK76 | 1S-P-2S
382   N  3H-N                    AJ2.AQJ75.9853.3 Q97.T2.AKJ2.T972 KT83.863.Q.KJ865 654.K94.T764.AQ4 | 1H-P-3H
383   N  2S-N                    AKJT5.J72.A96.T9 Q74.A3.T852.KJ65 862.T865.KJ4.A43 93.KQ94.Q73.Q872 | 1S-P-2S
384   N  2S-N                    KQJ98.53.Q96.A74 32.A862.AJ4.JT98 764.QT94.K853.K5 AT5.KJ7.T72.Q632 | 1S-P-2S
385   N  2S-N                    T7543.AK85.QJ7.K J62.J93.T642.AQ6 KQ.T62.K83.JT872 A98.Q74.A95.9543 | 1S-P-1N-P-2H-P-2S
386   N  1N-S                    AKT43.K2.T82.Q87 7652.AJT.J3.AT93 J.Q98643.A976.J4 Q98.75.KQ54.K652 | 1S-P-1N
387   N  2D-N                    AK.QT743.KT642.6 8742.852.A8.AQ53 Q63.KJ.Q953.JT74 JT95.A96.J7.K982 | 1H-P-1N-P-2D
388   N  4S-N                    AKT632.KT93.J3.5 Q4.J64.K954.KJ73 J97.75.QT76.AQT6 85.AQ82.A82.9842 | 1S-P-3S-P-4S
389   N  3CX-W                   J84.AQJT8.A9.T94 9752.K9.K873.KJ2 A63.742.J654.A85 KQT.653.QT2.Q763 | 1H-P-2H-P-P-X-P-3C-P-P-X
390   N  2S-N                    AJ743.AJ8.K5.932 Q8.Q965.AT62.JT8 962.K73.J83.KQ74 KT5.T42.Q974.A65 | 1S-P-2S
391   N  2H-N                    7542.AKQJ9.Q64.2 KT8.754.KT73.A76 J9.863.J5.KQJ984 AQ63.T2.A982.T53 | 1H-P-2H
392   N  2H-N                    KT63.AKQ87.T92.8 QJ2.J6.Q853.AT63 974.952.AK6.K742 A85.T43.J74.QJ95 | 1H-P-2H
393   N  3H-N                    K54.AT653.JT8.AJ AQ73.Q72.Q52.843 JT92.J94.K6.KQ76 86.K8.A9743.T952 | 1H-P-3H
394   N  2H-N                    A76.KQJ986.J2.JT KJ4.72.AQT6.9642 9852.A43.843.AQ7 QT3.T5.K975.K853 | 1H-P-2H
395   N  1N-S                    AQ765.KQ3.J32.Q3 K9.874.T865.AK86 J2.T965.AQ7.9542 T843.AJ2.K94.JT7 | 1S-P-1N
396   N  4H-N                    KT2.AQ843.J95.A4 J976.2.K62.KT862 8543.K765.AT4.Q9 AQ.JT9.Q873.J753 | 1H-P-3H-P-4H
397   N  4H-N                    A7.QJ876.AK5.985 QT65.K94.T6.KQ73 9432.A53.Q984.A2 KJ8.T2.J732.JT64 | 1H-P-3H-P-4H
398   N  2S-N                    KQT86.K3.AQ6.754 A95.QJT6.JT83.J6 J42.9854.75.AQT8 73.A72.K942.K932 | 1S-P-2S
399   N  4H-N                    A6.AQJT9.Q94.J84 J73.K2.KT873.752 KT942.653.J5.AQ6 Q85.874.A62.KT93 | 1H-P-3H-P-4H
400   N  1N-S                    AQT42.AT2.K94.T9 KJ65.Q74.J6.QJ42 3.K95.8752.A8765 987.J863.AQT3.K3 | 1S-P-1N
401   N  3H-N                    KJ5.K9842.K82.Q3 T974.QT.AQ93.J95 Q863.A63.J5.KT62 A2.J75.T764.A874 | 1H-P-3H
402   N  2S-N                    AK763.QT95.A5.J3 QT82.A62.963.K87 J4.K83.QJ82.Q964 95.J74.KT74.AT52 | 1S-P-1N-P-2H-P-2S
403   N  2S-N                    KQT84.J62.KJ.QJ8 J72.KQ7.9532.KT7 A95.T94.AT86.965 63.A853.Q74.A432 | 1S-P-2S
404   N  2H-N                    K9.AJ643.KJ5.Q32 T82.Q92.AQT.J965 QJ74.K85.863.KT4 A653.T7.9742.A87 | 1H-P-2H
405   N  1N-S                    AKJ98.Q5.A76.875 7632.AJ76.32.A62 54.KT9.QJ94.QT94 QT.8432.KT85.KJ3 | 1S-P-1N
406   N  2H-N                    J87.KJ973.KQ.AT6 T963.A8.J42.K875 K2.T54.AT973.J32 AQ54.Q62.865.Q94 | 1H-P-2H
407   N  2H-N                    T842.AK973.AQ.97 963.Q62.K942.Q32 AJ5.JT5.753.KJ54 KQ7.84.JT86.AT86 | 1H-P-2H
408   N  2S-N                    KQJ53.JT2.K643.K 874.Q97.AT7.A764 T9.A8643.J9.Q985 A62.K5.Q852.JT32 | 1S-P-1N-P-2D-P-2S
409   N  4S-N                    KQJT7.A82.Q4.972 93.K43.J985.AQ83 A65.QT97.T732.KT 842.J65.AK6.J654 | 1S-P-3S-P-4S
410   N  2S-N                    AT653.J6.K973.A5 J7.Q874.JT6.KQ96 Q82.932.AQ54.J72 K94.AKT5.82.T843 | 1S-P-2S
411   N  3S-N                    AT954.T92.Q92.AQ J8.A853.J754.K96 762.Q6.AK8.JT754 KQ3.KJ74.T63.832 | 1S-P-3S
412   N  2S-N                    AKT83.T632.AJ9.J J7.A954.652.KQT5 Q5.J87.T73.A7632 9642.KQ.KQ84.984 | 1S-P-1N-P-2H-P-2S
413   N  2S-N                    AKT952.A7.Q65.97 74.KJ42.943.AQ83 Q83.QT96.K87.J62 J6.853.AJT2.KT54 | 1S-P-2S
414   N  4H-N                    Q2.K96543.A6.AT6 KJ87.QJT.9832.Q4 A653.A8.T54.J832 T94.72.KQJ7.K975 | 1H-P-1S-P-2H-P-3H-P-4H
415   N  1N-S                    AJ3.Q8532.K63.AT QT85.KJ.T84.KJ82 642.74.AJ7.Q9765 K97.AT96.Q952.43 | 1H-P-1N
416   N  1N-S                    AQ974.K43.T83.A7 JT6.A982.QJ9.QT8 K5.J7.A765.96543 832.QT65.K42.KJ2 | 1S-P-1N
417   N  3H-N                    AK85.AJ863.84.92 J763.K5.J652.KQ8 QT9.T72.AQT.JT54 42.Q94.K973.A763 | 1H-P-2H-P-P-X-P-3C-P-P-X-P-3H
418   N  2H-N                    KJ42.AQ962.QJ.T3 A65.JT3.KT74.J95 Q83.854.A86.Q872 T97.K7.9532.AK64 | 1H-P-2H
419   N  2S-N                    AQJ53.AT98.J7.J5 K62.Q64.KT64.983 984.K32.A82.K762 T7.J75.Q953.AQT4 | 1S-P-2S
420   N  2H-N                    K76.AT964.KQ7.Q7 83.K83.T432.KT32 AT54.J72.A86.J54 QJ92.Q5.J95.A986 | 1H-P-2H
421   N  2S-S                    Q.AK954.KJ53.T92 43.QJ3.A974.K653 J98752.T8.Q86.A8 AKT6.762.T2.QJ74 | 1H-P-1S-P-2D-P-2S
422   N  2H-N                    74.QJT95.AJ94.A4 JT32.AK3.83.J982 A86.876.KQT5.T75 KQ95.42.762.KQ63 | 1H-P-2H
423   N  2H-N                    K.AT953.A9.QT953 8542.KJ82.K53.J4 J963.Q7.QT87.A87 AQT7.64.J642.K62 | 1H-P-1S-P-2C-P-2H
424   N  2S-N                    AKQ64.K86.JT.862 T73.Q74.A542.JT9 J82.AT9.Q873.K75 95.J532.K96.AQ43 | 1S-P-2S
425   N  2S-N                    KQJ962.62.Q2.KQ3 73.AK54.T64.J972 A84.Q87.A853.T64 T5.JT93.KJ97.A85 | 1S-P-2S
426   N  4H-N                    J3.AKJT9.QJ94.Q7 A75.64.K863.K853 Q86.Q832.A5.JT62 KT942.75.T72.A94 | 1H-P-3H-P-4H
427   N  2S-N                    KQT64.963.Q65.AK 32.AJ8.JT87.QJ96 J987.K42.A42.754 A5.QT75.K93.T832 | 1S-P-2S
428   N  1N-S                    AKT97.Q3.742.K65 543.AKT8.QJ85.T2 Q2.J965.T96.AQ87 J86.742.AK3.J943 | 1S-P-1N
429   N  2H-N                    Q.AKJT5.6432.K82 KJ97.92.AJ87.J43 AT32.76.Q5.QT965 8654.Q843.KT9.A7 | 1H-P-1S-P-2D-P-2H
430   N  2H-N                    K2.AJ952.QJT4.K7 AT95.86.K65.6543 Q83.KQ4.987.QJT9 J764.T73.A32.A82 | 1H-P-2H
431   N  3S-N                    KQ9765.8.862.AQ4 J83.AT54.KQT.T63 A4.Q632.9543.K52 T2.KJ97.AJ7.J987 | 1S-P-1N-P-2S-P-3S
432   N  1N-N                    JT.AK973.KT8.K96 A43.86.AQ97.T873 KQ752.52.652.J52 986.QJT4.J43.AQ4 | 1H-P-1S-P-1N
433   N  2H-N                    KT5.J9872.A632.A AQJ6.643.T9.Q753 874.AQ5.854.KJ64 932.KT.KQJ7.T982 | 1H-P-2H
434   N  1N-S                    K54.AQT97.Q8.K96 QJ9.K843.954.AT3 763.J6.AJ632.Q87 AT82.52.KT7.J542 | 1H-P-1N
435   N  4H-N                    AT74.AQJT7.5.875 862.652.AQJ8.KT2 QJ3.K43.T643.A94 K95.98.K972.QJ63 | 1H-P-3H-P-4H
436   N  2H-N                    A.AT842.J7.A9643 KQ83.J76.A932.75 JT654.93.KQ64.Q8 972.KQ5.T85.KJT2 | 1H-P-1S-P-2C-P-2H
437   N  2S-N                    KQ743.AK9.852.T3 A85.Q43.J94.Q642 JT9.765.AT3.AJ85 62.JT82.KQ76.K97 | 1S-P-2S
438   N  1N-S                    A83.QJ654.K82.Q2 KJ72.932.AJ65.96 QT6.AT.Q3.JT8543 954.K87.T974.AK7 | 1H-P-1N
439   N  1N-S                    KQ976.A6.KQ3.T98 T43.QT5.J75.AK43 A8.KJ843.T984.62 J52.972.A62.QJ75 | 1S-P-1N
440   N  3H-N                    754.AQJT3.AQ.982 AQJ.97.9632.QJT6 T832.K82.KJ84.74 K96.654.T75.AK53 | 1H-P-2H-P-P-X-P-3C-3H
441   N  2S-N                    AK954.Q953.Q4.K3 73.K642.J853.A76 JT8.AJ7.962.QJT9 Q62.T8.AKT7.8542 | 1S-P-2S
442   N  4H-N                    Q65.AT732.A92.AT T83.K8.654.K9632 AJ72.J64.QT87.Q8 K94.Q95.KJ3.J754 | 1H-P-3H-P-4H
443   N  1N-S                    AQJ8.QJ764.K6.T3 K76.AT85.T8.J642 T94.K2.QJ953.K75 532.93.A742.AQ98 | 1H-P-1N
444   N  1N-S                    Q7432.QJ9.AT7.A8 K85.84.QJ82.KT54 96.K763.K954.Q92 AJT.AT52.63.J763 | 1S-P-1N
445   N  1N-N                    T5.AT632.AJ8.A87 KQ6.QJ54.75.QT92 A942.98.Q962.J53 J873.K7.KT43.K64 | 1H-P-1S-P-1N
446   N  2H-N                    AJ92.J7653.Q8.AJ KQ4.A98.T972.T85 763.K42.A53.Q964 T85.QT.KJ64.K732 | 1H-P-2H
447   N  4H-N                    Q85.AKT874.J.K63 J42.Q3.AT96.T975 A73.965.Q8753.A4 KT96.J2.K42.QJ82 | 1H-P-3H-P-4H
448   N  4S-N                    KQT82.A8.A54.J95 A964.QJ2.K86.T82 J53.T964.QJ.KQ43 7.K753.T9732.A76 | 1S-P-3S-P-4S
449   N  3S-N                    AT982.AKT.Q95.97 73.9754.A73.AQT2 KQ6.QJ82.J8.J653 J54.63.KT642.K84 | 1S-P-3S
450   N  2S-N                    AJT43.J72.K97.KQ Q96.64.AQJ4.J842 852.KT93.T63.A63 K7.AQ85.852.T975 | 1S-P-2S
451   N  3S-N                    AT7632.K84.8.AJ8 Q85.AT52.K432.96 K4.J6.QT75.KT742 J9.Q973.AJ96.Q53 | 1S-P-1N-P-2S-P-3S
452   N  2H-N                    Q32.AKJ72.QJ9.93 K654.Q6.864.QJT6 AJ87.983.753.A72 T9.T54.AKT2.K854 | 1H-P-2H
453   N  2H-N                    J9.KQJT2.Q832.A6 A63.86.JT95.QT84 T754.954.AK4.K95 KQ82.A73.76.J732 | 1H-P-2H
454   N  2S-N                    AQ975.Q54.KQ6.65 62.J973.J742.AQJ KJT.T62.A9.T8742 843.AK8.T853.K93 | 1S-P-2S
455   N  2S-N                    KJT632.AT.K6.QJ8 95.QJ93.T932.K92 AQ4.742.A874.T74 87.K865.QJ5.A653 | 1S-P-2S
456   N  1N-S                    AT865.K83.A7.Q85 94.QJT2.QJ8.A976 J7.9764.K954.KT3 KQ32.A5.T632.J42 | 1S-P-1N
457   N  4H-N                    AK83.KT874.K2.J7 T764.93.QT3.KQ83 J9.AJ5.A8764.654 Q52.Q62.J95.AT92 | 1H-P-3H-P-4H
458   N  3S-N                    86532.J43.KJ7.AK KJ7.A986.QT93.86 AQ4.Q7.854.JT543 T9.KT52.A62.Q972 | 1S-P-3S
459   N  4H-N                    K2.AJ8764.8.A943 JT85.Q93.QJ92.K5 A73.KT.T654.QT87 Q964.52.AK73.J62 | 1H-P-1N-P-2C-P-2H-P-3H-P-4H
460   N  3S-N                    AKQJ7.Q9.J986.65 95.653.AKT3.K974 T84.AK84.Q54.T32 632.JT72.72.AQJ8 | 1S-P-2S-P-P-X-P-3H-3S
461   N  1N-S                    KQ543.74.AT6.A65 972.KQ8.QJ8.JT92 A6.T952.K9743.Q4 JT8.AJ63.52.K873 | 1S-P-1N
462   N  1N-S                    A8642.J3.AT5.KQ9 T9.K72.KJ93.JT63 KQ.Q654.Q742.754 J753.AT98.86.A82 | 1S-P-1N
463   N  2H-N                    K75.K9863.Q74.A4 A6.T42.AJT9.JT52 9843.AQ7.652.K83 QJT2.J5.K83.Q976 | 1H-P-2H
464   N  2H-N                    KT6.AKQ95.87.J73 843.87.AQT6.A942 A95.J632.K92.T65 QJ72.T4.J543.KQ8 | 1H-P-2H
465   N  1N-S                    AKQT9.K9.QT6.963 862.A632.K84.QT4 J5.JT5.AJ753.J85 743.Q874.92.AK72 | 1S-P-1N
466   N  2H-N                    97.AJ743.AK54.86 864.Q8.QJ82.KT74 AQT5.965.763.A52 KJ32.KT2.T9.QJ93 | 1H-P-2H
467   N  2S-N                    AQJT62.Q2.QJ2.T8 K4.AJ4.9854.Q653 973.KT96.KT6.KJ7 85.8753.A73.A942 | 1S-P-2S
468   N  1N-S                    AJ973.53.AK2.T93 KT6.QJ94.T97.KJ5 85.KT86.J865.A72 Q42.A72.Q43.Q864 | 1S-P-1N
469   N  3H-N                    K9.QJ983.K87.KJ4 AJ43.72.JT63.AT5 765.A654.A94.972 QT82.KT.Q52.Q863 | 1H-P-2H-P-P-X-P-2S-P-P-3H
470   N  4S-N                    AKT83.A8.K2.T952 Q42.96.T985.KJ87 965.JT432.AJ4.A6 J7.KQ75.Q763.Q43 | 1S-P-3S-P-4S
471   N  2S-N                    AKJ952.Q95.84.K2 Q6.J63.AQ97.T873 T73.A74.KJT.Q654 84.KT82.6532.AJ9 | 1S-P-2S
472   N  3S-N                    AJ973.964.J8.AQ8 KQ.K83.Q432.T763 T64.AQT75.KT5.92 852.J2.A976.KJ54 | 1S-P-3S
473   N  1N-S                    A73.AJ752.QT.J82 965.63.KJ75.AQ76 KJ4.KQ.96432.T53 QT82.T984.A8.K94 | 1H-P-1N
474   N  2H-N                    8.T8754.AJ3.AK82 963.AJ3.KQT.9765 AKT74.92.9875.J4 QJ52.KQ6.642.QT3 | 1H-P-1S-P-2C-P-2H
475   N  3S-N                    AKQ72.J98.Q75.64 86.K732.AT2.QJT5 J943.AT.K863.982 T5.Q654.J94.AK73 | 1S-P-2S-P-P-X-P-3H-P-P-3S
476   N  1N-S                    K9753.AT4.J43.KQ A86.QJ5.K86.T963 42.8762.Q52.AJ87 QJT.K93.AT97.542 | 1S-P-1N
477   N  2H-N                    A7.AKJ74.Q64.T85 QJ82.65.A853.J93 T43.Q93.KT72.A62 K965.T82.J9.KQ74 | 1H-P-2H
478   N  3S-N                    KQ632.K82.KQ7.64 A4.QJ73.T642.KT8 J75.T96.A93.QJ92 T98.A54.J85.A753 | 1S-P-2S-P-P-X-P-3C-P-P-X-P-3S
479   N  2S-N                    A7654.K8.AT96.Q8 K982.JT54.Q8.AT2 Q3.Q763.742.KJ76 JT.A92.KJ53.9543 | 1S-P-1N-P-2D-P-2S
480   N  2H-N                    AQT75.JT92.A7.K9 K942.Q3.K52.Q653 J.A8754.J963.T42 863.K6.QT84.AJ87 | 1S-P-1N-P-2H
481   N  2S-N                    Q7543.AKQ94.J8.3 KJ.763.KQT4.J976 A9.J52.9752.K842 T862.T8.A63.AQT5 | 1S-P-1N-P-2H-P-2S
482   N  2H-S                    QT942.A.KT8.K752 K6.853.AQ96.JT84 AJ.QT9764.542.Q3 8753.KJ2.J73.A96 | 1S-P-1N-P-2C-P-2H
483   N  2S-N                    AJT96.95.A94.KJ8 Q85.642.Q762.AQ4 K32.QJT7.KT8.653 74.AK83.J53.T972 | 1S-P-2S
484   N  4S-N                    AJ742.QT3.KQJ.65 QT.K965.A65.T742 983.A8.973.AQ983 K65.J742.T842.KJ | 1S-P-3S-P-4S
485   N  4H-N                    542.AKT96.KT8.A3 KJ87.87.A965.962 QT.J432.QJ3.KT75 A963.Q5.742.QJ84 | 1H-P-3H-P-4H
486   N  2D-N                    5.AJ974.AKT9.842 QT98.Q632.64.AQ3 KJ32.K.J732.T965 A764.T85.Q85.KJ7 | 1H-P-1S-P-2D
487   N  4S-N                    K9852.K9.J84.AK7 AJ.Q86.Q932.JT63 Q64.A542.K7.9842 T73.JT73.AT65.Q5 | 1S-P-3S-P-4S
488   N  2S-N                    AJ832.QT.K5.KJT7 65.K743.A763.Q63 QT7.J92.QJ98.A82 K94.A865.T42.954 | 1S-P-2S
489   N  2H-N                    A53.J8753.K87.AQ 862.AT.QT42.K742 QJ97.962.A63.J93 KT4.KQ4.J95.T865 | 1H-P-2H
490   N  3H-N                    K7.QJT76.KT9.K87 T865.AK8.Q6.J643 A942.942.AJ54.92 QJ3.53.8732.AQT5 | 1H-P-3H
491   N  2H-N                    Q84.AK843.K932.6 AJ62.Q9.T76.QJT3 KT5.752.A85.K982 973.JT6.QJ4.A754 | 1H-P-2H
492   N  2H-N                    9.AK732.97543.KQ KQJT.QT4.QT.9853 A743.J86.KJ6.762 8652.95.A82.AJT4 | 1H-P-2H
493   N  4S-N                    K8543.A64.AJ.862 A76.K982.53.KT43 JT2.Q7.KQT764.Q5 Q9.JT53.982.AJ97 | 1S-P-3S-P-4S
494   N  4H-N                    AKJ2.Q8764.J7.KT T974.JT.AQ5.Q643 86.AK52.9632.J52 Q53.93.KT84.A987 | 1H-P-2H-P-2N=1=-P-4H | Two way game tries
495   N  1N-S                    AKQT6.AT6.T4.985 972.73.AQ86.A643 53.J982.KJ75.QT7 J84.KQ54.932.KJ2 | 1S-P-1N
496   N  3S-N                    JT7653.QJ.AQ7.A3 Q8.843.J653.KJ65 K9.A7652.T94.Q74 A42.KT9.K82.T982 | 1S-P-1N-P-2S-P-3S
497   N  4S-N                    QJT43.AK73.52.Q4 72.T96.9876.AKJT A65.Q2.KJT43.732 K98.J854.AQ.9865 | 1S-P-3S-P-4S
498   N  4S-N                    KQ843.Q.Q762.A97 T6.K65.AT95.K432 J75.A9873.K4.Q86 A92.JT42.J83.JT5 | 1S-P-3S-P-4S
499   N  2H-N                    K98.Q8653.KJ.KQ6 A76.A9.QT43.T874 QJ5.J74.9765.A53 T432.KT2.A82.J92 | 1H-P-2H
500   N  4H-N                    KT42.KQ874.4.AT5 AQ9.53.Q975.Q876 J6.AT6.K632.J942 8753.J92.AJT8.K3 | 1H-P-3H-P-4H

             -- Sorted Summary of Bidding Sequences --

    1  1H
   30  1H-P-1N
    1  1H-P-1N-P-2C-P-2H
    1  1H-P-1N-P-2C-P-2H-P-3H-P-4H
    3  1H-P-1N-P-2D
    2  1H-P-1N-P-2D-P-2H
    3  1H-P-1N-P-2H
    1  1H-P-1N-P-2H-P-3H
   19  1H-P-1S-P-1N
    2  1H-P-1S-P-2C
    6  1H-P-1S-P-2C-P-2H
    1  1H-P-1S-P-2C-P-2H-P-2S
    1  1H-P-1S-P-2C-P-3C
    2  1H-P-1S-P-2D
    8  1H-P-1S-P-2D-P-2H
    2  1H-P-1S-P-2D-P-2S
    3  1H-P-1S-P-2H
    1  1H-P-1S-P-2H-P-3H
    2  1H-P-1S-P-2H-P-3H-P-4H
    2  1H-P-1S-P-2S
   78  1H-P-2H
    1  1H-P-2H-P-2N=1=-P-4H | Two way game tries
    1  1H-P-2H-P-3H-P-3N-P-4H
    1  1H-P-2H-P-4H
    2  1H-P-2H-P-P-X-P-2S-3H
    1  1H-P-2H-P-P-X-P-2S-3H-P-4H
    2  1H-P-2H-P-P-X-P-2S-P-P-3H
    1  1H-P-2H-P-P-X-P-3C-3H
    1  1H-P-2H-P-P-X-P-3C-P-P-X
    1  1H-P-2H-P-P-X-P-3C-P-P-X-P-3H
   17  1H-P-3H
   41  1H-P-3H-P-4H
   54  1S-P-1N
    2  1S-P-1N-P-2C
    1  1S-P-1N-P-2C-P-2H
    8  1S-P-1N-P-2C-P-2S
    2  1S-P-1N-P-2D
    8  1S-P-1N-P-2D-P-2S
    1  1S-P-1N-P-2D-P-2S-P-3S-P-4S
    3  1S-P-1N-P-2D-P-3D
    3  1S-P-1N-P-2H
   16  1S-P-1N-P-2H-P-2S
    1  1S-P-1N-P-2H-P-3H
    6  1S-P-1N-P-2S
    6  1S-P-1N-P-2S-P-3S
   95  1S-P-2S
    1  1S-P-2S-P-P-X-P-3C
    1  1S-P-2S-P-P-X-P-3C-3S
    1  1S-P-2S-P-P-X-P-3C-P-P-X-P-3S
    1  1S-P-2S-P-P-X-P-3H
    1  1S-P-2S-P-P-X-P-3H-3S
    1  1S-P-2S-P-P-X-P-3H-3S-P-3N-P-4S
    2  1S-P-2S-P-P-X-P-3H-P-P-3S
    1  1S-P-2S-P-P-X-P-3H-P-P-X
   13  1S-P-3S
   34  1S-P-3S-P-4S

   -- Sorted Summary of Notes (the first character is forced to upper case) --

    1  Two way game tries
