..\bba\Runout_after_1N_X.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2H-E      -140          9874.62.Q9642.96 T32.T9874.87.T32 AQJ6.Q3.K53.KQ75 K5.AKJ5.AJT.AJ84 | 1N-X=1=-P-2H | Cappelletti, strong
266   S  3D-S      -100          95.J62.Q98754.T3 KJ764.T73.63.874 AQT3.984.A2.KQ95 82.AKQ5.KJT.AJ62 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
267   S  2H-E        50          J82.K53.JT983.32 973.T942.42.Q865 Q65.J8.AKQ7.KT74 AKT4.AQ76.65.AJ9 | 1N-X=1=-P-2H | Cappelletti, strong
268   S  3D-S       110          3.J43.AT9753.654 JT6542.T975.Q2.3 Q97.AK86.K4.KT98 AK8.Q2.J86.AQJ72 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
269   S  2H-E       100          9643.AT9.7.J9743 QJT2.87654.964.T 85.KQ2.AQT3.A652 AK7.J3.KJ852.KQ8 | 1N-X=1=-P-2H | Cappelletti, strong
270   S  3D-S       -50          942.T4.T76543.64 QT65.J8752..J732 A83.Q963.KQJ.KQ8 KJ7.AK.A982.AT95 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
271   S  2H-E      -170          QJ84.J7.T9862.84 762.QT6543.7.JT3 KT3.98.KQ53.AK62 A95.AK2.AJ4.Q975 | 1N-X=1=-P-2H | Cappelletti, strong
272   S  2H-S       -50          863.875.QJ753.84 542.J92.862.Q732 KT97.AK43.K9.K65 AQJ.QT6.AT4.AJT9 | 1N-X=1=-P-P-XX=2=-P-2D-P-2H | Cappelletti, strong | SOS
273   S  2D-E      -110          J65.Q87.J4.98654 QT82.963.K7632.2 K974.J4.A98.AKT7 A3.AKT52.QT5.QJ3 | 1N-X=1=-P-2D | Cappelletti, strong
274   S  2H-E        50          Q92.T83.T2.J9752 873.KJ65.9764.43 T65.Q74.AQ8.AKQT AKJ4.A92.KJ53.86 | 1N-X=1=-P-2H | Cappelletti, strong
275   S  2D-E      -130          32.9742.T2.T9763 865.Q8.K9543.A42 A74.AT65.A76.K85 KQJT9.KJ3.QJ8.QJ | 1N-X=1=-P-2D | Cappelletti, strong
276   S  2H-E      -110          76.63.QJ953.J732 J985.T8542.6.AT5 KT43.AQJ7.K82.Q9 AQ2.K9.AT74.K864 | 1N-X=1=-P-2H | Cappelletti, strong
277   S  2S-E      -170          82.54.8632.QJ872 K76543.Q9.974.43 QJT.JT86.KJ5.AK6 A9.AK732.AQT.T95 | 1N-X=1=-P-2S | Cappelletti, strong
278   S  2H-E      -110          42.JT4.942.Q9432 9865.KQ963.T5.T7 KQJ3.852.K863.AK AT7.A7.AQJ7.J865 | 1N-X=1=-P-2H | Cappelletti, strong
279   S  4D-S      -100          T4.K.T865.QT9542 QJ9853.T876.72.8 62.AQ94.AKQ94.J3 AK7.J532.J3.AK76 | 1D-X-P-1S-2H-P-3D-3S-P-P-4D
280   S  4CX-S     -100          .JT7.K962.876432 97542.9865.87.95 AKJ3.AQ2.T543.QT QT86.K43.AQJ.AKJ | 1N-X=1=-2S=2=-P-3C=3=-X-P-3S-P-P-4C-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
281   S  2S-N       -50          543.92.T87.Q8652 T86.Q874.J64.J97 KQJ2.KJT3.A3.KT3 A97.A65.KQ952.A4 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S | Cappelletti, strong | SOS | Artificial
282   S  2S-E      -110          T52.J985.5.T8543 KQ876.74.J982.97 A93.KT3.AQT74.A2 J4.AQ62.K63.KQJ6 | 1N-X=1=-P-2S | Cappelletti, strong
283   S  3C-N       -50          53.T753.A6.J9642 J7642.42.T983.Q7 KT.AK96.KQ754.T5 AQ98.QJ8.J2.AK83 | 1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
284   S  3S-E      -140          3.QJ92.86543.T82 T9642.T753.Q9.K5 AQ85.A8.K72.Q764 KJ7.K64.AJT.AJ93 | 1N-X=1=-P-P-XX=2=-P-2D-2S-P-3D=3=-P-3S | Cappelletti, strong | SOS | Limit raise or better in !S
285   S  2C-E      -110          875.532.QJ982.93 J6.874.765.T8762 AQT9.KJT6.AT4.J5 K432.AQ9.K3.AKQ4 | 1N-X=1=-P-2C | Cappelletti, strong
286   S  2H-E      -140          J764.J52.3.T6542 QT53.AT873.864.3 A8.Q64.AQJ95.QJ7 K92.K9.KT72.AK98 | 1N-X=1=-P-2H | Cappelletti, strong
287   S  3S-E      -140          J96.3.9875.JT732 T8754.T942.QT.K4 KQ.KJ75.632.AQ85 A32.AQ86.AKJ4.96 | 1N-X=1=-P-P-XX=2=-P-2C=3=-2S-P-3S | Cappelletti, strong | SOS | Artificial
288   S  2S-S       -50          53.JT53.86532.J6 762.974.K4.K8542 KQT84.AK2.AT7.T7 AJ9.Q86.QJ9.AQ93 | 1N-X=1=-P-P-2S | Cappelletti, strong
289   S  2S-E        50          J42.T65.96.QJT94 KT975.742.75.872 Q86.AQJ.AQJ42.65 A3.K983.KT83.AK3 | 1N-X=1=-P-2S | Cappelletti, strong
290   S  3H-W      -140          KJ9872..T5.J6543 Q4.J5432.9864.72 T3.AKQT.KQ732.Q8 A65.9876.AJ.AKT9 | 1D-1N-P-2D-X-3H=1= | Super acceptance after NT
291   S  2DX-N      180          T74.QT8.T9542.Q4 53.7643.J3.T8653 KQJ98.52.KQ6.KJ9 A62.AKJ9.A87.A72 | 1N-X=1=-P-2C-P-P-2D-P-P-X | Cappelletti, strong
292   S  3S-S       170          987652.2.K9632.6 QT.98763.QJ.T874 KJ3.AQJ4.84.A953 A4.KT5.AT75.KQJ2 | 1N-X=1=-2H-P-2S-P-3S | Cappelletti, strong
293   S  2H-E      -140          Q9.943.KT632.964 JT76.QT865.4.JT7 AK82.J2.AJ98.Q32 543.AK7.Q75.AK85 | 1N-X=1=-P-2H | Cappelletti, strong
294   S  4D-N       -50          983.874.KJ95432. 2.Q952..QJT96543 AKQ5.T63.QT87.A7 JT764.AKJ.A6.K82 | 1N-X=1=-3C=2=-4C-P-P-4D | Cappelletti, strong | 1N-3C transfer to diamonds
295   S  4D-S      -100          743.5.KQ9874.932 J.T8642.T3.T7654 A9652.KQ9.J62.KQ KQT8.AJ73.A5.AJ8 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3H-P-P-4D | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
296   S  3C-N       110          985.62.QT4.K9862 JT62.T953.J732.Q 743.AK8.K98.AJ75 AKQ.QJ74.A65.T43 | 1N-X=1=-P-2H-P-P-3C | Cappelletti, strong
297   S  2H-S      -100          T973.72.54.JT965 842.K64.AT76.742 KQJ.Q9853.Q82.KQ A65.AJT.KJ93.A83 | 1N-X=1=-P-P-2H | Cappelletti, strong
298   S  2D-E      -130          8632.984.2.QT753 J975.63.QJT983.9 AQ4.Q75.AK4.J642 KT.AKJT2.765.AK8 | 1N-X=1=-P-2D | Cappelletti, strong
299   S  2S-E      -110          8642.93.AJ542.62 KJT93.64.T76.T95 Q5.AQJ8.Q9.A8743 A7.KT752.K83.KQJ | 1N-X=1=-P-2S | Cappelletti, strong
300   S  4S-E        50          873.6.Q75.987543 J652.QJT74.62.Q2 Q4.A853.AKJ43.JT AKT9.K92.T98.AK6 | 1D-X-P-1S-P-4S
301   S  2S-E      -140          T4.Q975.T9863.74 Q8632.42.J72.965 K95.A863.AKQ.JT3 AJ7.KJT.54.AKQ82 | 1N-X=1=-P-2S | Cappelletti, strong
302   S  2S-E      -110          T5.T86.A8752.972 K9862.753.T3.543 J73.AQ2.96.AKJ86 AQ4.KJ94.KQJ4.QT | 1N-X=1=-P-2S | Cappelletti, strong
303   S  2C-E      -110          632.Q65.J9652.T4 JT85.KT2.4.J8532 A4.A9874.KQT.K96 KQ97.J3.A873.AQ7 | 1N-X=1=-P-2C | Cappelletti, strong
304   S  1NX-S     -100          T93.765.T8542.42 Q65.K43.76.98653 A84.QJ9.AQJ9.QJT KJ72.AT82.K3.AK7 | 1N-X=1= | Cappelletti, strong
305   S  2HX-S     -300          653.J75.T9543.84 JT87.T9.AJ87.765 K94.AQ82.K6.KT92 AQ2.K643.Q2.AQJ3 | 1N-X=1=-P-P-XX=2=-P-2D-X-2H-X | Cappelletti, strong | SOS
306   S  2S-E      -110          76.QT2.T5432.862 JT984.74.J.KJT74 KQ53.963.AK86.A5 A2.AKJ85.Q97.Q93 | 1N-X=1=-P-P-XX=2=-P-2D-2S | Cappelletti, strong | SOS
307   S  2S-E      -140          6.982.87532.J732 K8743.75.QJ9.T65 QJT5.Q643.AT4.AK A92.AKJT.K6.Q984 | 1N-X=1=-P-2S | Cappelletti, strong
308   S  2D-S      -100          987.Q54.95.87643 QT3.T83.QJ4.JT52 J4.KJ92.AK863.A9 AK652.A76.T72.KQ | 1N-X=1=-P-P-2D | Cappelletti, strong
309   S  2S-E        50          T62.J54.52.KJT42 9843.KT9.T963.85 QJ7.AQ73.AQ87.73 AK5.862.KJ4.AQ96 | 1N-X=1=-P-2S | Cappelletti, strong
310   S  3N-E       100          54.832.97652.762 QJT2.AT64.T3.854 AK97.K97.QJ.KJ93 863.QJ5.AK84.AQT | 1N-X=1=-P-2N-P-3N | Cappelletti, strong
311   S  2S-E      -170          J3.JT95.97542.Q2 T9762.Q83..86543 A8.K72.KQ83.KJT7 KQ54.A64.AJT6.A9 | 1N-X=1=-P-2S | Cappelletti, strong
312   S  3D-S       110          74.Q73.J98642.42 9852.T9842..QJT5 AT63.KJ.AKQ3.763 KQJ.A65.T75.AK98 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
313   S  2S-W      -110          52.875.J42.QJ872 96.QT63.KT85.964 K843.AK2.Q973.K3 AQJT7.J94.A6.AT5 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-P-X-P-2S | Cappelletti, strong | SOS | Artificial
314   S  2H-E      -140          T973.42.Q8.75432 J652.QT86.973.T6 A4.AJ.JT642.AJ98 KQ8.K9753.AK5.KQ | 1N-X=1=-P-2H | Cappelletti, strong
315   S  2H-S      -150          987.3.J9762.J954 K54.K862.T54.862 T32.AJT94.KQ.KQ7 AQJ6.Q75.A83.AT3 | 1N-X=1=-P-P-2H | Cappelletti, strong
316   S  3C-S       130          QJ8..T87.JT87532 T75.86432.QJ9.Q6 A962.AT9.A543.K4 K43.KQJ75.K62.A9 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
317   S  3D-S      -100          852.62.T98642.QJ KJ764.985.J.9875 AT9.KQJT3.Q53.KT Q3.A74.AK7.A6432 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
318   S  4D-E      -130          96432.72.T.JT432 KQ.T64.87643.K98 JT85.QJ95.KQ5.AQ A7.AK83.AJ92.765 | 1N-X=1=-2H-3D-3S-4D | Cappelletti, strong
319   S  4S-E      -420          874.973.T9.T9874 QJ9652.JT8.K63.3 K3.KQ42.Q874.AQ6 AT.A65.AJ52.KJ52 | 1N-X=1=-P-P-XX=2=-P-2C=3=-4S | Cappelletti, strong | SOS | Artificial
320   S  3H-E       100          QT743.2.Q9865.82 J985.T863.T.J953 A2.KJ97.K73.KQ76 K6.AQ54.AJ42.AT4 | 1N-X=1=-2H-P-2S-X-P-3H | Cappelletti, strong
321   S  2S-E      -140          Q6.T982.T3.QJ652 T98752.Q43.72.T8 K4.K76.AQ964.A93 AJ3.AJ5.KJ85.K74 | 1N-X=1=-P-2S | Cappelletti, strong
322   S  2S-S      -100          753.J3.T54.J8432 Q9.K654.J963.T96 KJT62.982.KQ.AQ5 A84.AQT7.A872.K7 | 1N-X=1=-P-P-2S | Cappelletti, strong
323   S  3H-S      -100          8.Q92.J932.J9632 Q6532.864.84.Q84 A74.JT75.KT75.AK KJT9.AK3.AQ6.T75 | 1N-X=1=-P-2S-P-P-X-P-3H | Cappelletti, strong
324   S  2D-E      -110          T764.KT53..T9864 952.984.J96542.A AK3.Q76.KQT3.J75 QJ8.AJ2.A87.KQ32 | 1N-X=1=-P-2D | Cappelletti, strong
325   S  2S-E      -110          Q75.2.QT52.J8654 T9864.T97.J73.T3 J3.KQ53.AK94.Q92 AK2.AJ864.86.AK7 | 1N-X=1=-P-2S | Cappelletti, strong
326   S  2S-E      -140          83.J965.J9763.Q5 J7542.Q7.42.JT74 QT6.AK83.AQT.863 AK9.T42.K85.AK92 | 1N-X=1=-P-2S | Cappelletti, strong
327   S  2S-S       140          J9832.K5.T9763.J T5.QT76.54.T7654 KQ7.J82.AJ.KQ932 A64.A943.KQ82.A8 | 1N-X=1=-2H-P-2S | Cappelletti, strong
328   S  3D-N       -50          76.QT86.QJ765.63 98543.K93.83.T54 JT2.A542.A4.AQJ7 AKQ.J7.KT92.K982 | 1N-X=1=-P-2S-P-P-3D | Cappelletti, strong
329   S  3S-W      -140          85.J2.J95.T97643 KT74.Q8753.76.Q5 Q93.KT6.AK32.K82 AJ62.A94.QT84.AJ | 1N-X=1=-2S=2=-X-3C=3=-3S | Cappelletti, strong | 1N-2S transfer to clubs | Automat
330   S  4CX-E      200          95.7542.QJ7642.5 J74.J83.T8.T8642 Q832.AK.AK5.J973 AKT6.QT96.93.AKQ | 1N-X=1=-3C=2=-P-3D=3=-X-P-4C-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
331   S  1NX-S     -100          T63.9875.T6542.4 J987.Q632.7.K965 AQ4.KJT.KQ9.QT83 K52.A4.AJ83.AJ72 | 1N-X=1= | Cappelletti, strong
332   S  2H-E        50          J53.853.72.QJ642 T976.T964.KJ63.7 Q82.AK.Q984.AT85 AK4.QJ72.AT5.K93 | 1N-X=1=-P-2H | Cappelletti, strong
333   S  5CX-S     -800          9.97.QT843.J8654 AT743.643.52.T73 QJ6.AKJ85.76.A92 K852.QT2.AKJ9.KQ | 1N-X=1=-4S=2=-P-5C-X | Cappelletti, strong | Minors
334   S  2D-N       110          QT84.86.K9752.T3 632.J975.J.98754 J95.AK43.Q64.AQ6 AK7.QT2.AT83.KJ2 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
335   S  2H-E      -110          Q2.93.Q9872.9764 J643.8754.53.Q83 AK975.Q62.J6.AJ5 T8.AKJT.AKT4.KT2 | 1N-X=1=-P-2H | Cappelletti, strong
336   S  2D-N        90          95.T76.J9543.T87 J863.A982.82.J52 A4.KJ54.AQT.K943 KQT72.Q3.K76.AQ6 | 1N-X=1=-P-P-XX=2=-P-2D | Cappelletti, strong | SOS
337   S  2C-E      -130          Q87.T8.J6542.932 652.53.T97.T8764 J94.QJ764.AK8.A5 AKT3.AK92.Q3.KQJ | 1N-X=1=-P-2C | Cappelletti, strong
338   S  2S-S       110          JT98.J42.T9865.3 65.7653.J32.KQJ4 K7432.KQT.K7.A97 AQ.A98.AQ4.T8652 | 1N-X=1=-P-P-2S | Cappelletti, strong
339   S  2S-N       110          T983.6.QT743.JT2 75.5432.A6.98543 AJ64.AJ87.K52.K6 KQ2.KQT9.J98.AQ7 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-2S | Cappelletti, strong | SOS | Artificial
340   S  2S-S      -200          952.53.954.87432 Q83.972.KT63.KJ5 AJT64.AK8.J72.Q9 K7.QJT64.AQ8.AT6 | 1N-X=1=-P-P-2S | Cappelletti, strong
341   S  4S-W      -480          52.JT4.84.J96542 T764.Q8653.A532. 83.A2.QT97.AKQ73 AKQJ9.K97.KJ6.T8 | 1C-1S-3C-P-P-X-P-4C=1=-X-P=2=-P-4S | Limit raise or better in !S | Denies a !C stopper
342   S  2H-E      -110          6.Q532.JT854.T32 T94.KJ974.96.874 AKQ7.T6.Q73.KQ96 J8532.A8.AK2.AJ5 | 1N-X=1=-P-2H | Cappelletti, strong
343   S  1NX-S     -200          954.J6.T8732.JT4 QT82.A843.6.6532 A73.QT5.AKJ4.Q98 KJ6.K972.Q95.AK7 | 1N-X=1= | Cappelletti, strong
344   S  2H-E      -140          85.643.T52.KT972 9643.JT952.984.A KQJ2.AK7.763.Q53 AT7.Q8.AKQJ.J864 | 1N-X=1=-P-2H | Cappelletti, strong
345   S  2S-S       140          JT752.K3.J9862.6 4.J9752.T754.T74 K98.T64.KQ.AQJ85 AQ63.AQ8.A3.K932 | 1N-X=1=-2H-P-2S | Cappelletti, strong
346   S  2H-S      -200          T92.9.QT865.QJ54 Q763.Q6.73.T8732 KJ4.AJ542.K94.K9 A85.KT873.AJ2.A6 | 1N-X=1=-P-P-2H | Cappelletti, strong
347   S  1NX-S     -300          T98.752.76432.T5 KJ6.9863.KT5.876 A73.AT4.QJ9.AJ32 Q542.KQJ.A8.KQ94 | 1N-X=1= | Cappelletti, strong
348   S  2H-E       100          JT8.KT95.T7652.6 975.QJ42.93.9743 AQ64.A73.KJ8.QT5 K32.86.AQ4.AKJ82 | 1N-X=1=-P-2H | Cappelletti, strong
349   S  2H-E      -170          8542.7.862.T9764 JT.JT85432.73.QJ AQ9.A9.QJT54.A82 K763.KQ6.AK9.K53 | 1N-X=1=-P-2H | Cappelletti, strong
350   S  3S-E      -170          .J85432.64.T9653 QJT752.97.J72.Q4 K643.AQT.AQ83.87 A98.K6.KT95.AKJ2 | 1N-X=1=-2D-2S-P-P-3H-3S | Cappelletti, strong
351   S  2C-E      -110          QT5.Q93.T8653.42 874.AT84.2.JT963 9632.KJ65.KQ.AQ8 AKJ.72.AJ974.K75 | 1N-X=1=-P-2C | Cappelletti, strong
352   S  3C-N       110          T32.Q9.QT2.J8742 Q8764.T8754.86.6 KJ5.A32.AK74.QT3 A9.KJ6.J953.AK95 | 1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
353   S  2S-E      -140          T.Q542.J8543.983 J9873.J87.62.KT4 Q62.T93.AKQT.AJ6 AK54.AK6.97.Q752 | 1N-X=1=-P-2S | Cappelletti, strong
354   S  2H-E      -140          J953.3.975.J9872 4.T654.KJT6.6543 QT62.AQJ7.A83.QT AK87.K982.Q42.AK | 1N-X=1=-P-2H | Cappelletti, strong
355   S  2HX-S     -300          T.952.85432.8532 9752.QJ7.K9.J976 KQ83.KT43.AT6.AT AJ64.A86.QJ7.KQ4 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2H-P-P-X | Cappelletti, strong | SOS | Artificial
356   S  1NX-S     -200          J42.T75.97.86532 963.Q984.JT53.AT AQ87.K32.A82.K97 KT5.AJ6.KQ64.QJ4 | 1N-X=1= | Cappelletti, strong
357   S  4S-E        50          86.Q32.QT4.T8532 QJT53.J7.965.964 74.A965.AKJ32.QJ AK92.KT84.87.AK7 | 1D-X-P-1S-P-4S
358   S  5HX-S     -100          .Q9763.QJT96.982 T97432.K.8543.T4 QJ5.AJT5.K2.KJ63 AK86.842.A7.AQ75 | 1N-X=1=-2D-2S-P-3H=2=-4D-4S-5H-X | Cappelletti, strong | Limit raise or better in !S
359   S  2H-E      -110          T7.73.T6532.QT84 843.K862.74.9763 J9652.QJ4.AK9.A5 AKQ.AT95.QJ8.KJ2 | 1N-X=1=-P-2H | Cappelletti, strong
360   S  5CX-S     -300          754.T43..K865432 QJ986.75.T7654.T 32.KQJ9.AQJ8.Q97 AKT.A862.K932.AJ | 1N-X=1=-2S=2=-P-3C=3=-X-P-3S-P-P-4C-4S-P-P-5C-P-P-X | Cappelletti, strong | 1N-2S transfer to clubs | Automat
361   S  4DX-S     -100          64.T6.A98653.432 T852.973.J7.Q965 A93.QJ842.K2.AJT KQJ7.AK5.QT4.K87 | 1N-X=1=-3C=2=-P-3D=3=-X-P-3S-P-P-4D-P-P-X | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
362   S  2D-E      -110          A.T852.T93.98763 Q875.73.J8764.JT 9432.KQ4.A5.AQ52 KJT6.AJ96.KQ2.K4 | 1N-X=1=-P-2D | Cappelletti, strong
363   S  2D-S        90          J75.54.J92.87432 K982.T963.764.K5 AT6.J7.KQT83.AQ9 Q43.AKQ82.A5.JT6 | 1N-X=1=-P-P-2D | Cappelletti, strong
364   S  2H-E      -170          7532.7.76542.QJ8 Q9.JT432.98.T742 KT4.A985.AJ3.K63 AJ86.KQ6.KQT.A95 | 1N-X=1=-P-2H | Cappelletti, strong
365   S  2SX-S     -500          Q97.J986.2.98752 T82.AQT5.T843.T6 KJ43.32.KJ96.AK4 A65.K74.AQ75.QJ3 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2H-X-2S-X | Cappelletti, strong | SOS | Artificial
366   S  3C-S       110          J76..7432.KT9764 QT52.T9752.J9.J8 K94.QJ84.KQ65.A2 A83.AK63.AT8.Q53 | 1N-X=1=-2S=2=-P-3C=3= | Cappelletti, strong | 1N-2S transfer to clubs | Automat
367   S  4S-E        50          7.JT85.65.T87632 QT98432.K97.82.5 65.A32.AK743.AQ9 AKJ.Q64.QJT9.KJ4 | 1N-X=1=-2S=2=-4S | Cappelletti, strong | 1N-2S transfer to clubs
368   S  3C-N       110          K943.954.3.QT654 QT6.T863.97652.8 AJ87.QJ7.JT.AK92 52.AK2.AKQ84.J73 | 1N-X=1=-P-2D-P-P-3C | Cappelletti, strong
369   S  3D-S       110          J6.AT72.98542.98 8752.J953..J7643 Q9.K86.AKQT7.KT2 AKT43.Q4.J63.AQ5 | 1N-X=1=-P-2C-2D-P-3D | Cappelletti, strong
370   S  2H-E      -140          962.92.JT532.J72 843.T654.9764.KQ QJT5.KQ8.K8.A964 AK7.AJ73.AQ.T853 | 1N-X=1=-P-2H | Cappelletti, strong
371   S  2S-E      -140          T5.J863.Q9842.J2 J8763.94.63.KT85 Q4.A752.KT5.AQ96 AK92.KQT.AJ7.743 | 1N-X=1=-P-2S | Cappelletti, strong
372   S  1NX-S     -200          9.T872.943.QJ872 J875.Q64.QT7.964 Q63.AK5.A652.KT3 AKT42.J93.KJ8.A5 | 1N-X=1= | Cappelletti, strong
373   S  2D-N        90          QJ97.432.JT654.8 83.9865.98.K9632 AKT2.K7.A72.JT54 654.AQJT.KQ3.AQ7 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
374   S  3S-E      -170          Q6.983.T9753.T87 K7432.54.J86.K54 98.AKJ6.42.AQJ96 AJT5.QT72.AKQ.32 | 1C-X-P-2S-P-3S
375   S  3C-E      -110          KJ9.JT97.98753.9 T65.65.K6.JT8732 8742.K82.QJ.AKQ5 AQ3.AQ43.AT42.64 | 1N-X=1=-P-2C-P-P-2D-3C | Cappelletti, strong
376   S  2S-E        50          J832.73.87542.A6 T9654.982..Q8532 AK.QJ5.KQJT6.J74 Q7.AKT64.A93.KT9 | 1N-X=1=-P-2S | Cappelletti, strong
377   S  4C-S      -100          J874.8.QJT.87642 Q52.QJT653.94.T5 T93.K4.K853.AKQ3 AK6.A972.A762.J9 | 1N-X=1=-P-2H-P-P-X-P-3C-P-P-3H-P-P-4C | Cappelletti, strong
378   S  2N-W      -120          85.87632.T9642.Q Q432.J94.Q53.874 AJ97.QT5.KJ.KJ63 KT6.AK.A87.AT952 | 1N-X=1=-2D-X-2H-2N | Cappelletti, strong
379   S  2S-S       170          KT843.J.T2.J9742 96.QT654.97643.6 J75.A93.AQJ.KQT8 AQ2.K872.K85.A53 | 1N-X=1=-2H-P-2S | Cappelletti, strong
380   S  2S-E      -170          7.7653.542.QT954 KT962.J8.T873.J6 843.KQ92.AK9.K72 AQJ5.AT4.QJ6.A83 | 1N-X=1=-P-2S | Cappelletti, strong
381   S  2S-N       110          KJ94.986.5.JT976 632.543.JT42.Q43 AT85.KT7.AQ76.K8 Q7.AQJ2.K983.A52 | 1N-X=1=-P-P-XX=2=-P-2C=3=-P-2D-P-2S | Cappelletti, strong | SOS | Artificial
382   S  2S-E      -140          T2.Q2.JT972.8732 Q8653.9763.54.A4 K97.AJT5.AQ3.J65 AJ4.K84.K86.KQT9 | 1N-X=1=-P-2S | Cappelletti, strong
383   S  2S-E      -140          T.543.QJ863.T974 Q7642.Q982.952.6 AJ83.K76.KT4.A85 K95.AJT.A7.KQJ32 | 1N-X=1=-P-2S | Cappelletti, strong
384   S  2S-E      -110          85.Q4.T9873.QT72 T9732.985.Q52.54 A6.AJT3.KJ6.KJ93 KQJ4.K762.A4.A86 | 1N-X=1=-P-2S | Cappelletti, strong
385   S  3C-S       -50          QJ42.T.864.J7542 K765.985432.52.3 93.AKJ7.T97.AKT9 AT8.Q6.AKQJ3.Q86 | 1N-X=1=-P-2H-P-P-X-P-3C | Cappelletti, strong
386   S  2H-S      -100          76.653.T52.QT843 J94.J74.Q873.K76 Q53.AQT98.K94.A9 AKT82.K2.AJ6.J52 | 1N-X=1=-P-P-2H | Cappelletti, strong
387   S  2S-S       110          J9873.T.AT962.T7 T52.K9863.J3.985 KQ.Q742.K87.KQ62 A64.AJ5.Q54.AJ43 | 1N-X=1=-2H-P-2S | Cappelletti, strong
388   S  2H-E      -140          875.J.T532.KT976 KT6.987542.986.3 AQ43.K63.AQJ4.J4 J92.AQT.K7.AQ852 | 1N-X=1=-P-2H | Cappelletti, strong
389   S  2D-S      -200          8653.72.J2.J7532 T42.J986.K65.QT8 AKJ.Q53.QT874.K4 Q97.AKT4.A93.A96 | 1N-X=1=-P-P-2D | Cappelletti, strong
390   S  3D-N       110          72.T543.AT764.82 984.J9.J85.J9543 AJT6.KQ72.K93.AT KQ53.A86.Q2.KQ76 | 1N-X=1=-P-2C-P-P-2D-P-3C=2=-P-3D | Cappelletti, strong | Limit raise or better in !D
391   S  3D-S       130          73.QT.KT7654.865 QJ962.98742.8.72 AT8.J63.AJ9.AJ43 K54.AK5.Q32.KQT9 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
392   S  3C-E      -110          9652.Q87.KT873.2 JT4.T4.42.JT8654 A73.KJ95.J6.AK97 KQ8.A632.AQ95.Q3 | 1N-X=1=-P-2C-P-P-2D-3C | Cappelletti, strong
393   S  3C-N       130          5.653.A872.J9765 876432.K74.T6.T3 J9.A82.KQ953.AQ8 AKQT.QJT9.J4.K42 | 1N-X=1=-P-2S-P-P-3C | Cappelletti, strong
394   S  4C-S       130          86.542.9.A765432 JT9542.T98.Q753. Q3.A3.AJT84.KQT8 AK7.KQJ76.K62.J9 | 1D-1H-P-P-2C-X-P-2S-3D-P-4C
395   S  2D-N        90          K762.982.QT432.5 953.J4.J76.T9732 T84.AQ7.85.AKQ64 AQJ.KT653.AK9.J8 | 1N-X=1=-P-2C-P-P-2D | Cappelletti, strong
396   S  3D-S       110          9.T542.QJ7632.83 T6532.KJ3.54.T96 K84.AQ9.AT8.QJ54 AQJ7.876.K9.AK72 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
397   S  2S-E      -170          3.QJ98.984.JT952 KT764.6543.J62.7 A52.KT2.A753.KQ6 QJ98.A7.KQT.A843 | 1N-X=1=-P-2S | Cappelletti, strong
398   S  3D-S       110          T87.4.KJT743.982 J963.AT975.86.53 AK4.QJ3.Q92.KT64 Q52.K862.A5.AQJ7 | 1N-X=1=-3C=2=-P-3D=3= | Cappelletti, strong | 1N-3C transfer to diamonds | Automat
399   S  2S-E        50          T93.75.KT976.Q86 Q764.82.532.JT54 A52.QJ43.AJ4.K32 KJ8.AKT96.Q8.A97 | 1N-X=1=-P-2S | Cappelletti, strong
