../bba/Play_Top_Tricks_NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
354   S  3N-S       600          T42.74.AKQT7.954 Q986.865.854.K76 A73.AQ2.J632.AJT KJ5.KJT93.9.Q832 | 1N-P-3N
355   S  3N-S       460          43.KT3.AKQT9.874 862.96.632.KQJ53 AKJ7.A742.J87.A6 QT95.QJ85.54.T92 | 1N-P-3N
356   S  3N-S       630          K52.843.AKQ8.854 QJ943..97532.J63 AT6.AT52.J64.AK7 87.KQJ976.T.QT92 | 1N-P-3N
357   S  3N-S       600          T53.A65.AJ9.9764 QJ9742.87.Q75.K3 AK86.KQJ9.83.A52 .T432.KT642.QJT8 | 1N-P-2N-P-3N
358   S  3N-S       460          T52.Q3.AK954.A64 Q963.52.Q632.Q87 AK87.AK87.T7.K53 J4.JT964.J8.JT92 | 1N-P-3N
359   S  3N-S       600          T52.Q93.AK85.975 J3.JT5.J76.KQJ62 A98.AK64.Q93.AT4 KQ764.872.T42.83 | 1N-P-2N-P-3N
360   S  2N-S       150          T9.52.AJ53.KJT92 K652.Q83.K962.64 A743.AT.Q87.AQ73 QJ8.KJ9764.T4.85 | 1N-P-2N
361   S  3N-S       460          94.T85.AK94.AKT8 JT7.K73.8532.J73 AK53.AJ94.Q6.Q54 Q862.Q62.JT7.962 | 1N-P-3N
362   S  3N-S       600          852.94.AJ43.KJT4 QJ.QJT873.QT6.53 A74.A62.K85.AQ97 KT963.K5.972.862 | 1N-P-2N-P-3N
363   S  3N-S       460          2.853.AK976.KQT8 Q764.KJ6.T432.74 AJ53.A72.QJ.A653 KT98.QT94.85.J92 | 1N-P-3N
364   S  3N-S       600          T83.873.AJ3.KJ75 K742.K94.865.964 A65.AT5.KT9.AQ32 QJ9.QJ62.Q742.T8 | 1N-P-3N
365   S  3N-S       690          T7.Q.AQJT98532.9 5432.KT96432..QJ AJ6.AJ5.K64.A754 KQ98.87.7.KT8632 | 1N-P-3N
366   S  3N-S       400          632.T97.AKQ63.93 Q8.62.874.QJT762 AK5.AJ43.J952.A5 JT974.KQ85.T.K84 | 1N-P-3N
367   S  3N-S       600          74.T92.AKT.JT854 J82.87.J97654.KQ A95.AK64.Q82.A96 KQT63.QJ53.3.732 | 1N-P-3N
368   S  3N-S       460          J64.A9.AJ87.AT85 T972.T43.532.Q73 AK3.KJ62.KQT6.64 Q85.Q875.94.KJ92 | 1N-P-3N
369   S  3N-S       400          J95.76.AJ5.K7542 2.KQ954.963.QJ96 A84.A832.KQ84.AT KQT763.JT.T72.83 | 1N-P-2N-P-3N
370   S  3N-S       600          83.T76.AK97.QT75 QT4.J52.Q642.964 A97.A8.JT83.AKJ3 KJ652.KQ943.5.82 | 1N-P-2N-P-3N
371   S  3H-W       100          872.8.A752.KQ763 KQJ653.52.K9.T52 AT4.AK6.T83.AJ94 9.QJT9743.QJ64.8 | 1N-3H
372   S  3N-S       660          K53.A93.A865.KT6 QT862.J752.2.J54 A97.K86.K43.AQ87 J4.QT4.QJT97.932 | 1N-P-3N
373   S  3N-S       600          KJ5.982.A983.J94 T87.KQJ65.K5.T76 AQ64.AT7.76.AK53 932.43.QJT42.Q82 | 1N-P-2N-P-3N
374   S  3N-S       400          863.65.AK952.JT5 KQT54.K42.T4.982 A97.A983.Q873.AK J2.QJT7.J6.Q7643 | 1N-P-2N-P-3N
375   S  3N-S       660          JT.76.AQ654.KQ73 Q642.K853.9732.5 A87.AJT9.KJ8.A84 K953.Q42.T.JT962 | 1N-P-3N
376   S  3N-S       400          T87.4.AKT42.Q932 KQJ53.9765.83.65 A42.AJ8.QJ96.AJ7 96.KQT32.75.KT84 | 1N-P-2N-P-3N
377   S  2N-S       150          876.JT.A62.KJ952 QJT92.K62.QJ83.4 A53.AQ73.74.AQT7 K4.9854.KT95.863 | 1N-P-2N
378   S  3N-S       630          963.A97.AK4.J765 J8.86432.T932.Q8 A54.KQJ5.865.AK3 KQT72.T.QJ7.T942 | 1N-P-3N
379   S  3N-S       400          986.2.AJT2.KJ743 3.JT8653.K987.65 AK75.A97.54.AQ92 QJT42.KQ4.Q63.T8 | 1N-P-2N-P-3N
380   S  2N-S       150          72.87.AKQ9.T9643 J9854.J52.532.K2 AT6.AK96.J876.A7 KQ3.QT43.T4.QJ85 | 1N-P-2N
381   S  3N-S       600          872.AJ4.A64.QJT7 Q6.Q832.JT9532.8 A43.T965.KQ87.AK KJT95.K7..965432 | 1N-P-3N
382   S  3N-S       460          QT5.754.AK973.T3 842.KQJ83.JT.Q94 AK73.AT96.Q85.A7 J96.2.642.KJ8652 | 1N-P-2N-P-3N
383   S  3N-S       600          KQ4.82.A64.96543 T9873.765.Q.KQJT A5.AKQ9.T975.A72 J62.JT43.KJ832.8 | 1N-P-2N-P-3N
384   S  3N-S       430          T62.A9.AJ3.T9742 9843.QJ65432.Q6. AKQJ.KT8.T942.A3 75.7.K875.KQJ865 | 1N-2C-2N-P-3N
385   S  2N-S       150          T93.95.AJ72.A965 J8754.QT86.T96.Q A62.AK42.KQ53.74 KQ.J73.84.KJT832 | 1N-2C-2N
386   S  3N-S       660          K75.3.AT96.KQJ65 QJT96.974.J872.8 A83.AK85.Q53.A74 42.QJT62.K4.T932 | 1N-P-3N
387   S  1N-S       150          T4.752.A976.KJT9 KJ87.KJ63.T85.Q6 A632.A84.KQ2.A84 Q95.QT9.J43.7532 | 1N
388   S  3N-S       630          974.AT9.A65.AJ43 KQ62.Q8765.732.7 A3.K32.KJT8.KQ86 JT85.J4.Q94.T952 | 1N-P-3N
389   S  3N-S       630          965.T94.AKJT6.K4 J84.J7532.432.J8 AK72.A6.Q875.A76 QT3.KQ8.9.QT9532 | 1N-P-3N
390   S  3N-S       430          KT3.85.A932.QT72 J962.KJ6.J8.J953 AQ4.AT92.T76.AK4 875.Q743.KQ54.86 | 1N-P-2N-P-3N
391   S  3N-S       660          J7.A32.AKT96.Q74 8654.K8.J542.J65 AKQ3.754.Q83.AT8 T92.QJT96.7.K932 | 1N-P-3N
392   S  5D-N       420          Q.4.AQT75432.J92 JT743.KT65.6.KQ6 A86.A83.KJ98.A73 K952.QJ972..T854 | 1N-P-5D
393   S  3N-S       400          62.T62.AQJ75.Q92 KJ8.J87.643.KT76 A54.AQ4.KT92.A54 QT973.K953.8.J83 | 1N-P-2N-P-3N
394   S  3N-S       600          983.654.AJT62.A5 52.73.Q97.KJT942 AKQJ.A98.K43.763 T764.KQJT2.85.Q8 | 1N-P-2N-P-3N
395   S  3N-S       400          8.854.AT54.AJ752 JT764.2.KJ3.QT43 AK93.AKQJ.987.96 Q52.T9763.Q62.K8 | 1N-P-2N-P-3N
396   S  3N-S       600          982.643.A6.AJ964 Q53.JT7.QT874.72 AT64.A82.KJ.KQ53 KJ7.KQ95.9532.T8 | 1N-P-2N-P-3N
397   S  3N-S       690          62.T74.AKQ73.KQ8 T87.QJ96.J42.JT4 AQ95.AK82.986.A7 KJ43.53.T5.96532 | 1N-P-3N
398   S  3N-S       400          6.932.AKT63.Q642 KJT54.KT87.85.K9 A98.AQ5.QJ94.A73 Q732.J64.72.JT85 | 1N-P-2N-P-3N
399   S  3N-S       660          T95.KT4.A95.AQJ8 J7643.J82.J2.754 AQ2.A95.KT64.KT6 K8.Q763.Q873.932 | 1N-P-3N
400   S  3N-S       400          J73.32.AT8.KJ952 T92.K875.QJ3.QT7 AKQ4.A96.7542.A4 865.QJT4.K96.863 | 1N-P-2N-P-3N
401   S  1N-S       150          T7.J65.A943.QJ84 QJ84.T93.QT75.T2 A53.AQ8.862.AK95 K962.K742.KJ.763 | 1N
402   S  2N-S       120          954.AT6.A954.T82 T6.QJ3.J762.KQJ5 A87.K875.KQ8.A94 KQJ32.942.T3.763 | 1N-P-2N
403   S  1N-S       120          J53.T75.AJ63.T85 KQ96.8.872.KJ964 A87.A632.KQ95.A3 T42.KQJ94.T4.Q72 | 1N
404   S  3N-S       600          743.965.AK9.JT98 865.Q84.QJT86.KQ AKQ2.A2.7543.A64 JT9.KJT73.2.7532 | 1N-P-2N-P-3N
405   S  3N-S       630          T3.A95.AJ95.QJT6 QJ854.J42.K2.854 A972.KQT8.83.AK7 K6.763.QT764.932 | 1N-P-3N
406   S  3N-S       460          865.94.AKQT8.KJ6 Q732.QT.5432.T73 AT.AJ86.976.AQ85 KJ94.K7532.J.942 | 1N-P-3N
407   S  3N-S       660          K97.QJ4.A764.KJ7 QJ5.962.QT9852.8 AT83.AKT7.J3.AT4 642.853.K.Q96532 | 1N-P-3N
408   S  3N-S       400          KJ3.85.A876.J653 87642.J62.Q.K942 AQT9.AK93.92.AT7 5.QT74.KJT543.Q8 | 1N-2D-2N-P-3N
409   S  1N-S       120          T7.T52.A965.K963 Q98653.QJ4.J42.Q A42.A86.KQT3.A85 KJ.K973.87.JT742 | 1N
410   S  3N-S       600          32.A54.AJ3.QJ765 QT985.Q76.T842.8 AJ74.K2.975.AKT4 K6.JT983.KQ6.932 | 1N-P-3N
411   S  2N-S       150          3.954.AKT43.Q762 KT9876.Q8.2.KJ53 AJ5.A63.QJ95.AT9 Q42.KJT72.876.84 | 1N-P-2N
412   S  3N-S       630          T6.KT2.AQ86.T754 QJ854.J4.J972.Q6 A972.AQ73.KT4.A9 K3.9865.53.KJ832 | 1N-P-2N-P-3N
413   S  3N-S       630          54.A32.A64.KJ876 QJ63.J8764.K32.4 AK87.Q5.QT8.AQT3 T92.KT9.J975.952 | 1N-P-3N
414   S  3N-S       400          T7.T92.AQ653.Q92 K98652.K653.J4.6 AJ4.A74.987.AKJ8 Q3.QJ8.KT2.T7543 | 1N-P-2N-P-3N
415   S  3N-S       600          876.JT3.A52.A932 J943.Q9654.QJT.5 AKT5.A82.87.KQJ7 Q2.K7.K9643.T864 | 1N-P-2N-P-3N
416   S  3N-S       490          8.A96.AQ874.A864 JT62.KQJ7.J532.3 AK95.53.KT9.KQ75 Q743.T842.6.JT92 | 1N-P-3N
417   S  3N-S       400          J95.543.AKJ4.753 KT862.KJ972.T6.T A73.AT86.Q7.AK92 Q4.Q.98532.QJ864 | 1N-P-2N-P-3N
418   S  2N-S       150          J76.43.A87.KJ952 QT42.QJT97.T6.43 A83.A2.Q543.AQT7 K95.K865.KJ92.86 | 1N-P-2N
419   S  3N-S       460          9.JT9.AKJT3.KJT5 KT2.Q872.42.8764 A864.A63.Q975.AQ QJ753.K54.86.932 | 1N-P-3N
420   S  3N-S       600          J54.T95.A98.AT93 9763.KQ764.Q6.K7 AKQ8.AJ8.KT73.64 T2.32.J542.QJ852 | 1N-P-3N
421   S  2N-S       150          95.72.AT86.AJ762 87.QJ8653.QJ3.53 A642.A9.K742.KQ9 KQJT3.KT4.95.T84 | 1N-P-2N
422   S  3N-S       400          963.T5.AQ32.KT93 T2.K9874.9876.J7 AJ74.A632.KJ5.A2 KQ85.QJ.T4.Q8654 | 1N-P-3N
423   S  3N-S       630          93.AQ8.A65.QT765 QT654.KJ6432.2.8 AJ82.97.KJ8.AKJ4 K7.T5.QT9743.932 | 1N-P-3N
424   S  3N-S       400          843.6.AQ97.KT753 JT5.K9853.T53.94 A9.A74.KJ62.AJ62 KQ762.QJT2.84.Q8 | 1N-P-2N-P-3N
425   S  3N-S       400          765.72.A987.KQ72 984.KT64.K64.JT6 AKQ2.A983.T3.A94 JT3.QJ5.QJ52.853 | 1N-P-2N-P-3N
426   S  2N-S       150          752.74.AKQ4.T754 94.JT2.9872.KQJ9 AKT8.A96.J65.A63 QJ63.KQ853.T3.82 | 1N-P-2N
427   S  3N-S       400          76.Q94.A96.KT965 Q9.KT8653.J7.742 AJ53.AJ.T842.AQJ KT842.72.KQ53.83 | 1N-P-2N-P-3N
428   S  3N-S       660          K5.T32.A984.AQJ4 T98743.K.K72.T85 AQJ.A54.Q653.K76 62.QJ9876.JT.932 | 1N-P-3N
429   S  3N-S       600          753.3.AT63.AJ764 KQJ96.T974.Q42.2 A84.AJ8.K987.KQ9 T2.KQ652.J5.T853 | 1N-P-2N-P-3N
430   S  1N-S       120          984.82.AQ74.JT84 QJ6.KJ654.T2.K62 A75.A93.KJ53.A95 KT32.QT7.986.Q73 | 1N
431   S  2N-S       150          J62.A32.AT65.942 987.KQ97.K72.Q63 AKQ4.T85.983.AK7 T53.J64.QJ4.JT85 | 1N-P-2N
432   S  2N-S       150          T32.AJ5.A876.T54 J54.83.Q32.QJ972 A986.KQT7.K54.A6 KQ7.9642.JT9.K83 | 1N-P-2N
433   S  3N-S       490          965.Q92.A7.AKT83 KQ732.T5.T932.J6 AT4.AK63.KJ8.Q74 J8.J874.Q654.952 | 1N-P-3N
434   S  3N-S       630          K96.85.AJ94.AJ85 8532.KQJ32.862.T AQ74.A6.KQ73.764 JT.T974.T5.KQ932 | 1N-P-3N
435   S  3N-S       460          T32.AK9.AQT83.J7 KQJ75.J3.7642.84 A64.Q542.KJ9.AQ6 98.T876.5.KT9532 | 1N-P-3N
436   S  3N-S       630          J52.AT4.AK754.83 T8.Q8753.Q32.QJ7 AKQ4.K2.JT98.A54 9763.J96.6.KT962 | 1N-P-3N
437   S  3N-S       600          875.AT2.A84.J932 QJ.7654.KQJT2.T7 A93.KQJ9.753.AK5 KT642.83.96.Q864 | 1N-P-2N-P-3N
438   S  3N-S       400          T96.975.AT98.A54 8.JT.QJ76542.Q98 A542.AK42.K3.KT3 KQJ73.Q863..J762 | 1N-P-2N-P-3N
439   S  3N-S       600          J.A43.AT983.9643 K9532.KT5.54.KT5 AQ86.J972.KQJ.A7 T74.Q86.762.QJ82 | 1N-P-2N-P-3N
440   S  3N-S       460          T94.AQ6.AJ6.K853 82.T98432.T532.7 AJ76.KJ75.84.AQJ KQ53..KQ97.T9642 | 1N-P-3N
441   S  3N-S       400          632.AJT.A54.T762 985.K8.932.KQJ94 AKT4.652.KQJ8.A5 QJ7.Q9743.T76.83 | 1N-P-2N-P-3N
442   S  3N-S       600          T97.AJT.A872.973 653.64.KQT.QJ542 AK8.KQ53.953.AT6 QJ42.9872.J64.K8 | 1N-P-3N
443   S  3N-S       430          T32.A5.AT75.KJT3 Q975.QJT92.32.85 AK86.K8.984.AQ76 J4.7643.KQJ6.942 | 1N-P-3N
444   S  1N-S       120          976.986.AQ754.J8 KJ83.Q432.KJ3.94 AT4.AT75.96.AKQ6 Q52.KJ.T82.T7532 | 1N
445   S  3N-S       660          J82.K87.AQT95.A5 963.Q643.72.J764 AT7.AT92.K8.KQT8 KQ54.J5.J643.932 | 1N-P-3N
446   S  3N-S       430          T64.72.AQJ.AT853 QJ2.QT85.T9832.7 A9.AK63.765.KQJ6 K8753.J94.K4.942 | 1N-P-3N
447   S  3N-S       660          K32.832.AQ4.AT86 J75.KQJ4.T7532.4 AT9.AT6.K986.KQ7 Q864.975.J.J9532 | 1N-P-3N
448   S  3N-S       460          J7.A53.AK85.QT53 96.KQT2.J7432.74 AKQ2.J984.Q96.A8 T8543.76.T.KJ962 | 1N-P-3N
449   S  2N-S       120          954.JT8.AK73.T65 8763.KQ542.T8.K9 A2.A976.QJ54.AJ8 KQJT.3.962.Q7432 | 1N-P-2N
450   S  3N-S       660          KQ4.AT3.AT63.JT5 873.964.J952.KQ7 AT96.K85.KQ74.A8 J52.QJ72.8.96432 | 1N-P-3N
451   S  2N-S       120          3.J93.AQJT.T9864 Q9652.KQ7.5432.K AT87.AT6.K7.AJ53 KJ4.8542.986.Q72 | 1N-P-2N
452   S  3N-S       660          KT3.72.AKJ53.QT8 QJ975.953.842.65 A82.AQJ.QT76.A74 64.KT864.9.KJ932 | 1N-P-3N
453   S  3N-S       660          Q3.Q54.AT74.KQ85 JT64.JT86.932.T6 AK98.A92.J8.AJ74 752.K73.KQ65.932 | 1N-P-3N
454   S  1N-S       150          63.T98.A964.A542 KT97.K2.KJT72.86 A54.AJ7.Q83.KQJ9 QJ82.Q6543.5.T73 | 1N
455   S  3N-S       660          Q54.AJ2.AKT6.T85 732.8654.732.J74 AK9.T93.QJ54.AK3 JT86.KQ7.98.Q962 | 1N-P-3N
456   S  3N-S       400          842.83.AJT3.A954 KT6.Q962.8754.73 AJ53.AT5.KQ.KT62 Q97.KJ74.962.QJ8 | 1N-P-2N-P-3N
457   S  2N-S       120          T75.T75.AT73.A82 J986.KQ642.K84.6 AK3.A9.9652.KQ95 Q42.J83.QJ.JT743 | 1N-P-2N
458   S  3N-S       660          765.Q3.A76.AKJ84 K843.T965.J952.7 AQT2.AJ72.K84.QT J9.K84.QT3.96532 | 1N-P-3N
459   S  1N-S       150          T7.AT5.A853.9654 QJ864.QJ873.T6.8 A9.K94.J974.AKQT K532.62.KQ2.J732 | 1N
460   S  3N-S       660          T9.T5.AKQ75.T973 QJ54.Q93.T.J6542 A76.A84.9842.AKQ K832.KJ762.J63.8 | 1N-P-2N-P-3N
461   S  3N-S       600          72.A52.A852.J975 KT983.Q64.93.KQ3 A65.K983.KQJ6.A2 QJ4.JT7.T74.T864 | 1N-P-2N-P-3N
462   S  3N-S       430          743.AQ8.AK94.875 T865.9764.Q7532. AJ92.KJ32.T8.AK6 KQ.T5.J6.QJT9432 | 1N-3C-3N
463   S  3N-S       600          T52.943.AKQ84.64 K83.J8.T532.QT97 A4.AT7.J976.AK32 QJ976.KQ652..J85 | 1N-P-3N
464   S  3N-S       400          JT6.75.A64.KJ743 K9873.QT.JT972.5 A42.A83.K83.AQ92 Q5.KJ9642.Q5.T86 | 1N-P-2N-P-3N
465   S  2N-S       150          T74.J7.A54.AT762 QJ92.98654.J.QJ3 A5.AKQT.9632.K94 K863.32.KQT87.85 | 1N-P-2N
466   S  3N-S       630          J43.Q.A9863.KQ75 Q7.J9652.K72.864 A965.AKT3.T54.AJ KT82.874.QJ.T932 | 1N-P-3N
467   S  3N-S       430          KQ7.T3.AT94.QJT3 T62.9742.Q8532.8 A943.A85.J76.AK7 J85.KQJ6.K.96542 | 1N-P-3N
468   S  3N-S       600          83.T63.AQJ83.J65 KT652.K.T642.K82 A74.A92.K75.AQ94 QJ9.QJ8754.9.T73 | 1N-P-2N-P-3N
469   S  1N-S       120          854.762.A8752.K6 QT.KQT843.Q3.J82 AK32.A95.T9.AQT9 J976.J.KJ64.7543 | 1N
470   S  3N-S       460          KT9.Q87.A54.AJ65 8764.KT642.Q2.87 A3.AJ95.K87.KQT4 QJ52.3.JT963.932 | 1N-P-3N
471   S  3N-S       600          764.A87.AJ64.T42 T932.KQJ.9832.63 AKJ8.94.KQT7.A97 Q5.T6532.5.KQJ85 | 1N-P-2N-P-3N
472   S  2N-S       150          93.86.A8654.KQ42 J842.KQT5.QJ.T65 A6.A932.K92.AJ97 KQT75.J74.T73.83 | 1N-P-2N
473   S  3N-S       400          32.Q43.AK83.T732 KQ964.J82.T2.Q94 AT85.AK6.Q76.A65 J7.T975.J954.KJ8 | 1N-P-2N-P-3N
474   S  3N-S       630          KJ3.T.AQ73.K8765 Q642.QJ743.82.Q4 A95.A962.KJT6.AT T87.K85.954.J932 | 1N-P-3N
475   S  3N-S       430          Q94.A2.A9863.K85 6532.JT84.KT2.JT AKJ8.K765.74.A76 T7.Q93.QJ5.Q9432 | 1N-P-3N
476   S  3N-S       660          T52.52.AT64.AKQ5 J974.97.98532.T8 A863.AKQ4.QJ.J76 KQ.JT863.K7.9432 | 1N-P-3N
477   S  3N-S       660          T.QT4.AJ96.AJT74 KQ8753.63.732.65 A64.AK75.T5.KQ83 J92.J982.KQ84.92 | 1N-P-3N
478   S  1N-S       120          95.874.A976.KJ98 KQ432.KJ6.JT54.T AT76.A532.Q3.AQ4 J8.QT9.K82.76532 | 1N
479   S  3N-S       600          T84.5.A7653.KQ95 K5.T732.KT94.J32 A63.AKQ8.82.AT76 QJ972.J964.QJ.84 | 1N-P-2N-P-3N
480   S  3N-S       460          KT7.A82.AKT6.874 J4.KQ654.9732.T3 AQ52.J97.84.AKQJ 9863.T3.QJ5.9652 | 1N-P-3N
481   S  3N-S       400          52.T52.AQT9.K962 KT.KQJ76.J873.T7 A983.A84.K42.AQ4 QJ764.93.65.J853 | 1N-P-2N-P-3N
482   S  3N-S       660          83.T8.AKJ86.KQJ4 J652.Q974.732.85 AQT9.AK3.T95.AT7 K74.J652.Q4.9632 | 1N-P-3N
483   S  3N-S       430          T3.Q54.AK6.QJT65 KJ652.K8.J52.874 A874.A963.Q87.AK Q9.JT72.T943.932 | 1N-P-3N
484   S  3N-S       660          K96.83.AK83.KT87 752.KQ9.Q9752.54 AQJ8.AJ65.JT4.A6 T43.T742.6.QJ932 | 1N-P-3N
485   S  3N-S       600          T86.T2.AKT92.Q65 Q95.Q864.53.K742 A43.AJ95.QJ4.AJ9 KJ72.K73.876.T83 | 1N-P-3N
486   S  2N-S       120          64.T6.AT85.AJT62 JT87.K3.KQ96.743 A52.AQ95.73.KQ95 KQ93.J8742.J42.8 | 1N-P-2N
487   S  3N-S       630          532.JT9.AK85.KQT 64.Q43.9432.J543 AT8.A865.QJ.A876 KQJ97.K72.T76.92 | 1N-P-3N
488   S  3N-S       400          T6.98.A974.KQ765 KJ987.T72.Q3.T92 A532.AK53.JT2.AJ Q4.QJ64.K865.843 | 1N-P-2N-P-3N
489   S  1N-S        90          32.984.A973.QJ63 KQJ876.5.KT2.954 A54.AT73.864.AK8 T9.KQJ62.QJ5.T72 | 1N
490   S  1N-S       150          T8.T43.A962.AT84 KQ7542.J.Q875.J9 A3.AK72.J43.KQ62 J96.Q9865.KT.753 | 1N
491   S  1N-S       150          J8.KT7.AT853.T65 KQ642.98.J76.Q92 A975.AQ63.K94.A8 T3.J542.Q2.KJ743 | 1N
492   S  3N-S       660          K9.63.AKJT8.K863 65.954.Q432.QJ75 AQJT.AQ72.975.AT 87432.KJT8.6.942 | 1N-P-3N
493   S  3N-S       660          932.J93.A74.AKJ7 K4.T8542.98532.8 AQ6.AKQ7.T6.QT63 JT875.6.KQJ.9542 | 1N-P-3N
494   S  1N-S       150          852.A54.A64.9842 QT9643.KQ962.Q.T A7.J83.KT97.AKQ5 KJ.T7.J8532.J763 | 1N
495   S  3N-S       600          854.A63.AJ74.973 QT97.QJ85.T92.QT AJ6.KT94.KQ85.A4 K32.72.63.KJ8652 | 1N-P-2N-P-3N
496   S  3N-S       400          863.92.AQ97.K732 JT54.QJ54.J42.94 A72.A876.K83.AQ5 KQ9.KT3.T65.JT86 | 1N-P-2N-P-3N
497   S  2C-W        50          983.987.AQ763.Q8 KQ74.Q32.9842.T2 AT62.AT54.KJ.A96 J5.KJ6.T5.KJ7543 | 1N-2C
498   S  3N-S       660          J93.985.AQT.AQJ7 Q72.Q632.9632.T8 A84.AK74.K54.K54 KT65.JT.J87.9632 | 1N-P-3N
499   S  3N-S       430          J94.974.AKQT.QJ6 Q863.Q652.932.T7 AT52.AJ3.75.AK85 K7.KT8.J864.9432 | 1N-P-3N
500   S  3N-S       660          Q32.J95.A95.AQT6 J954.83.KQ42.K74 AK7.AKQT.JT87.85 T86.7642.63.J932 | 1N-P-3N

             -- Sorted Summary of Bidding Sequences --

   34  1N
    1  1N-2C
    1  1N-2C-2N
    1  1N-2C-2N-P-3N
    1  1N-2C-3N
    1  1N-2D-2N-P-3N
    1  1N-2D-3N
    3  1N-2H
    2  1N-2H-2N-P-3N
    1  1N-2H-3D-P-5D
    3  1N-2S
    1  1N-2S-3C-P-3N
    1  1N-3C-3N
    2  1N-3H
    1  1N-3S-X-P-4H
   66  1N-P-2N
  145  1N-P-2N-P-3N
  228  1N-P-3N
    3  1N-P-5D
    2  1N-P-6D
    1  1N-P-P-2D
    1  1N-P-P-2H-P-P-3D

   -- Sorted Summary of Notes (the first character is forced to upper case) --

