../bba/Last_Train_GT2.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
318   S  4S-N                    T653.K62.K654.KQ J97.AT94.QJ82.T5 A842.J87.A.A9832 KQ.Q53.T973.J764 | 1C-P-1S-P-2S-P-3S-P-4S
319   S  2H-N                    AK54.T854.Q653.T T986.A76.J4.KJ76 7.KJ32.AK7.Q9532 QJ32.Q9.T982.A84 | 1C-P-1H-P-2H
320   S  3N-N                    JT5.KJ5.QT976.KJ K632.Q732.54.AT4 A84.T.AKJ2.Q8752 Q97.A9864.83.963 | 1C-P-1D-P-2D-P-2N-P-3N
321   S  4S-S                    QJ97.A73.KJ964.6 T8.KJ92.875.K842 K652.QT.A2.AJT53 A43.8654.QT3.Q97 | 1C-P-1D-P-1S-P-3S-P-4S
322   S  4S-N                    QT84.KJ5.AJ96.95 763.T964.KT53.A3 AJ52.A7.Q7.QJ864 K9.Q832.842.KT72 | 1C-P-1S-P-2S-P-3S-P-4S
323   S  4H-S                    A85.8632.AQT52.T JT94.AJ.J98.Q742 32.KQT9.76.AKJ53 KQ76.754.K43.986 | 1C-P-1D-P-1H-P-3H-P-4H
324   S  2H-N                    JT32.QJT9.KQ2.Q6 A986.76.A974.T98 K54.AK83.T.KJ732 Q7.542.J8653.A54 | 1C-P-1H-P-2H
325   S  2H-N                    J852.AJ54.A74.J5 Q73.T.JT862.A972 T4.KQ32.KQ.Q8643 AK96.9876.953.KT | 1C-P-1H-P-2H
326   S  4S-N                    AT842.A986.Q2.54 J3.T52.JT743.AT3 KQ95.QJ.65.KQJ62 76.K743.AK98.987 | 1C-P-1S-P-2S-P-4S
327   S  4S-N                    JT942.AT7.A965.4 K3.Q95.QT43.JT73 A875.K63.8.AQ982 Q6.J842.KJ72.K65 | 1C-P-1S-P-2S-P-4S
328   S  2H-N                    AQ53.AJ96.532.98 K82.T74.Q986.KT3 74.KQ32.J4.AQJ76 JT96.85.AKT7.542 | 1C-P-1H-P-2H
329   S  3H-S                    Q4.AT82.AJ952.75 KJ63.K763.Q84.J2 AT.QJ94.63.KQT64 98752.5.KT7.A983 | 1C-P-1D-P-1H-P-3H
330   S  4H-N                    A3.KT85.942.AT42 JT864.A64.Q765.3 K7.9732.A8.KQ976 Q952.QJ.KJT3.J85 | 1C-P-1H-P-2H-P-3H-P-4H
331   S  3S-N                    AKJ95.864.QT4.96 Q8.KT92.A832.J42 T743.A5.J6.AKT75 62.QJ73.K975.Q83 | 1C-P-1S-P-2S-P-3S
332   S  4S-N                    K742.K32.AJ97.84 T3.Q764.KT2.Q975 AQJ6.J9.Q5.KJT62 985.AT85.8643.A3 | 1C-P-1S-P-2S-P-3S-P-4S
333   S  4H-S                    AT5.JT62.KQ843.3 962.K9.AJ65.JT42 Q84.A873.9.AK976 KJ73.Q54.T72.Q85 | 1C-P-1D-P-1H-P-3H-P-4H
334   S  4S-S                    9872.K84.AKJT75. 654.AJ97.32.KQ87 AQJ3.652.8.AJT92 KT.QT3.Q964.6543 | 1C-P-1D-P-1S-P-4S
335   S  2S-S                    K743.Q6.K6542.Q5 Q95.K942.JT98.K6 AT86.853.A.AT842 J2.AJT7.Q73.J973 | 1C-P-1D-P-1S-P-2S
336   S  2H-N                    T43.AQ32.9762.A8 AJ72.9764.AJ8.32 Q86.KJT5.Q.KQ965 K95.8.KT543.JT74 | 1C-P-1H-P-2H
337   S  2H-N                    K42.Q975.AQ2.974 QT95.862.JT853.A 76.AT43.K4.KQT53 AJ83.KJ.976.J862 | 1C-P-1H-P-2H
338   S  4S-N                    QJ962.KT4.QJ4.Q3 A53.862.K852.J96 KT74.AQJ.3.A8752 8.9753.AT976.KT4 | 1C-P-1S-P-3S-P-3N-P-4S
339   S  4S-N                    AJ986.JT5.K92.85 Q5.K962.JT53.A64 KT72.A7.Q4.KJ972 43.Q843.A876.QT3 | 1C-P-1S-P-2S-P-3S-P-4S
340   S  2H-N                    KQ7.Q874.Q64.J87 AT2.J62.JT752.95 J54.A953.3.AKQT6 9863.KT.AK98.432 | 1C-P-1H-P-2H
341   S  3S-N                    KQ853.AJ.9876.94 T2.Q952.AQT3.Q72 J974.K63.5.AKJ63 A6.T874.KJ42.T85 | 1C-P-1S-P-2S-P-3S
342   S  4H-N                    JT8.AK987.Q863.T K976.Q3.T94.Q875 Q5.T652.A5.AKJ92 A432.J4.KJ72.643 | 1C-P-1H-P-3H-P-4C-P-4H
343   S  3S-S                    AKT5.Q93.QT875.6 Q8.JT72.A64.KT54 J432.A.K92.AJ872 976.K8654.J3.Q93 | 1C-P-1D-P-1S-P-3S
344   S  2H-N                    7642.KJ74.87.AK3 K93.T3.Q9643.962 Q5.AQ85.KT.QJT87 AJT8.962.AJ52.54 | 1C-P-1H-P-2H
345   S  4D-N                    J92.QJ7.KJ75.Q92 8754.A954.32.A73 AQ.82.AT86.KJT64 KT63.KT63.Q94.85 | 1C-P-1D-P-2D-P-3C-P-4C-P-4D
346   S  2S-S                    KJT3.J5.KJT75.54 972.K862.Q42.KT2 AQ85.AQT.9.Q9863 64.9743.A863.AJ7 | 1C-P-1D-P-1S-P-2S
347   S  2H-N                    AKJ7.J743.T32.86 9832.T9.K986.A75 Q5.AKQ6.54.QJ432 T64.852.AQJ7.KT9 | 1C-P-1H-P-2H
348   S  4S-N                    KT763.J42.KT63.A J8.K763.Q742.764 AQ42.AT.85.KJT98 95.Q985.AJ9.Q532 | 1C-P-1S-P-2S-P-3S-P-4S
349   S  3D-N                    A62.Q53.KJT765.3 QJT.AJT9.43.Q874 K54.8.Q982.AKJT6 9873.K7642.A.952 | 1C-P-1D-P-2D-P-3D
350   S  3S-N                    JT86.QJ3.K742.A9 974.AT75.Q953.Q4 KQ53.K98.J.KJ832 A2.642.AT86.T765 | 1C-P-1S-P-2S-P-3S
351   S  4D-N                    QJ4.JT3.K874.A32 K753.KQ64.J5.964 A96.7.AT62.KQJT7 T82.A9852.Q93.85 | 1C-P-1D-P-2D-P-3C-P-4C-P-4D
352   S  2H-N                    95.QJ92.KQ63.J76 KT743.T84.AT94.4 J82.AK53.2.AQ953 AQ6.76.J875.KT82 | 1C-P-1H-P-2H
353   S  2S-N                    Q975.K62.A643.43 J62.JT87.Q97.A75 AK84.Q5.JT.QJT82 T3.A943.K852.K96 | 1C-P-1S-P-2S
354   S  2H-N                    K72.KJ86.Q52.Q87 9864.Q7.K943.K92 AT.A953.J6.A6543 QJ53.T42.AT87.JT | 1C-P-1H-P-2H
355   S  4S-N                    A874.KT6.A632.74 T2.Q854.K984.AJ8 KQJ5.A9.JT.KT652 963.J732.Q75.Q93 | 1C-P-1S-P-2S-P-4S
356   S  2H-N                    KQ95.QJ98.Q97.42 JT8.75.A862.AJ93 32.AK42.J4.KQT75 A764.T63.KT53.86 | 1C-P-1H-P-2H
357   S  2H-N                    Q964.Q964.KQ2.63 AT8.73.T965.KQ98 72.KJT2.A4.AJT72 KJ53.A85.J873.54 | 1C-P-1H-P-2H
358   S  2H-N                    AJ52.Q642.Q853.4 T964.J7.A42.AJT6 Q3.A983.K6.K7532 K87.KT5.JT97.Q98 | 1C-P-1H-P-2H
359   S  3H-S                    K92.AQ74.J7532.4 J864.62.AQ64.Q62 QT3.T853.K.AKJ53 A75.KJ9.T98.T987 | 1C-P-1D-P-1H-P-3H
360   S  3H-N                    J65.AJ985.QJT96. Q742.T6.875.AQJ7 K9.K742.K2.K6432 AT83.Q3.A43.T985 | 1C-P-1H-P-2H-P-3H
361   S  4S-N                    AKJ92.532.K87.T5 86.AJ87.Q643.K92 Q753.Q9.J9.AQJ73 T4.KT64.AT52.864 | 1C-P-1S-P-2S-P-4S
362   S  4S-S                    9862.Q2.KT8732.A A74.JT974.J4.JT6 KQJT.K5.65.KQ732 53.A863.AQ9.9854 | 1C-P-1D-P-1S-P-3S-P-4S
363   S  2H-N                    KT9.K742.K963.Q2 A842.96.T84.AJT3 J5.AQT5.Q5.K7654 Q763.J83.AJ72.98 | 1C-P-1H-P-2H
364   S  2H-N                    AQ8.J763.32.A964 J752.A82.T9654.J T9.KQT9.AJ.K8753 K643.54.KQ87.QT2 | 1C-P-1H-P-2H
365   S  4H-N                    K82.JT976.KQ97.2 J653..A8632.Q863 T9.AQ82.J4.AKT54 AQ74.K543.T5.J97 | 1C-P-1H-P-3H-P-4H
366   S  2H-S                    JT9.AK43.J9842.8 8732.T98.AKQ.543 KQ4.QJ76.5.AQ962 A65.52.T763.KJT7 | 1C-P-1D-P-1H-P-2H
367   S  4H-N                    AK95.Q875.JT4.52 T763.4.K863.AT94 QJ.J932.A2.KQJ86 842.AKT6.Q975.73 | 1C-P-1H-P-3H-P-4H
368   S  2H-N                    K53.A964.J95.Q63 Q942.J83.KT84.K8 86.KQ75.A6.AT975 AJT7.T2.Q732.J42 | 1C-P-1H-P-2H
369   S  4H-N                    AJ76.JT97.K8.T54 Q953.KQ5.T752.K7 K.6432.AQ6.AJ632 T842.A8.J943.Q98 | 1C-P-1H-P-3H-P-4H
370   S  2H-N                    Q76.J985.A75.A84 AT92.Q62.J92.QT6 K3.AT73.Q6.KJ972 J854.K4.KT843.53 | 1C-P-1H-P-2H
371   S  2S-N                    T862.KQ9.9765.A4 J54.A652.KT82.85 AQ73.73.J3.KQJ96 K9.JT84.AQ4.T732 | 1C-P-1S-P-2S
372   S  4H-N                    KJ42.KQ75.J943.7 T986.T2.AKT8.KT5 AQ7.J984.5.AQJ32 53.A63.Q762.9864 | 1C-P-1H-P-3H-P-3S-P-4C-P-4H
373   S  4H-N                    T73.J953.AK93.Q6 852.KQ8.QJ64.JT8 AQJ.AT74.7.K9542 K964.62.T852.A73 | 1C-P-1H-P-3H-P-4H
374   S  4H-S                    A753.KT54.AT875. K842.A3.64.98764 T.QJ92.KJ2.AQJT3 QJ96.876.Q93.K52 | 1C-P-1D-P-1H-P-4H
375   S  4H-N                    AQT3.QT852.Q973. KJ74.96.KJ62.J75 982.AJ74.A.KQT98 65.K3.T854.A6432 | 1C-P-1H-P-2H-P-4H
376   S  2H-S                    Q7.KJ72.AT854.84 T843.643.QJ2.AQ5 K96.AQ98.9.KJT63 AJ52.T5.K763.972 | 1C-P-1D-P-1H-P-2H
377   S  2H-N                    KJ9.AK95.962.543 AT73.J42.QT43.Q6 64.Q763.A5.AK972 Q852.T8.KJ87.JT8 | 1C-P-1H-P-2H
378   S  4H-N                    52.AQT5.K73.9753 AT976.J62.Q984.6 K8.K743.62.AKJT8 QJ43.98.AJT5.Q42 | 1C-P-1H-P-3H-P-4H
379   S  3D-N                    Q64.K54.KQT52.62 AT32.T832.A7.JT8 K8.A6.J643.AQ743 J975.QJ97.98.K95 | 1C-P-1D-P-2D-P-3D
380   S  4S-S                    KJ87.Q96.AJ932.T Q5.KT43.T87.Q963 A932.85.Q6.AK872 T64.AJ72.K54.J54 | 1C-P-1D-P-1S-P-3S-P-4S
381   S  4H-N                    K842.Q432.AJ4.J4 QJ3.AK8.T765.T86 65.T976.KQ.AKQ75 AT97.J5.9832.932 | 1C-P-1H-P-3H-P-3N-P-4H
382   S  4H-N                    A632.AJT73.96.65 KJT4.96.AQ83.T97 Q7.Q852.J7.AKQ42 985.K4.KT542.J83 | 1C-P-1H-P-3H-P-4H
383   S  2H-N                    J743.J874.AJT3.K A98.965.Q762.Q72 K65.AK32.8.A8543 QT2.QT.K954.JT96 | 1C-P-1H-P-2H
384   S  2H-N                    KT4.QJ84.J865.Q2 Q873.952.A9.A543 J2.AK76.Q4.KJT97 A965.T3.KT732.86 | 1C-P-1H-P-2H
385   S  3D-N                    A83.QT8.QJT96.Q4 K7652.K97.85.JT2 Q.AJ6.K432.K9865 JT94.5432.A7.A73 | 1C-P-1D-P-2D-P-3D
386   S  2H-N                    Q64.QT82.AQ2.872 KT72.A95.T9863.5 J3.K763.K4.AQT96 A985.J4.J75.KJ43 | 1C-P-1H-P-2H
387   S  3S-S                    A982.Q93.KJT86.J T3.KT85.Q743.KT5 Q654.A76.5.AQ986 KJ7.J42.A92.7432 | 1C-P-1D-P-1S-P-3S
388   S  2H-N                    K964.KJ87.QT3.T3 J873.Q43.KJ6.J87 5.A652.A72.KQ642 AQT2.T9.9854.A95 | 1C-P-1H-P-2H
389   S  2H-N                    Q6.AT94.QJ93.Q98 A43.76.AT82.JT43 J75.KQ32.4.AK765 KT982.J85.K765.2 | 1C-P-1H-P-2H
390   S  4S-N                    AJ43.J97.Q52.Q52 K97.Q8543.J974.6 QT65.K.AT8.AJ843 82.AT62.K63.KT97 | 1C-P-1S-P-3S-P-4S
391   S  2H-N                    Q53.9864.KQ53.Q5 JT76.KT5.AJ84.J9 AK4.AJ73.6.T8432 982.Q2.T972.AK76 | 1C-P-1H-P-2H
392   S  2S-N                    A952.K65.Q874.J2 T74.AJT3.T92.KQT QJ83.Q8.K5.A8765 K6.9742.AJ63.943 | 1C-P-1S-P-2S
393   S  2H-N                    A743.J652.J7.K94 KT92.84.QT82.QJ5 Q.AK97.963.AT876 J865.QT3.AK54.32 | 1C-P-1H-P-2H
394   S  4H-N                    AQ73.9542.KT8.Q6 K85.T.96532.AT43 J94.AQJ7.Q.KJ975 T62.K863.AJ74.82 | 1C-P-1H-P-2H-P-3H-P-4H
395   S  4H-S                    T4.Q986.AKQ87.83 AQJ8.T2.964.K654 53.AK43.53.AQT72 K9762.J75.JT2.J9 | 1C-P-1D-P-1H-P-3H-P-4H
396   S  4H-N                    A987.QJ943.K32.6 JT5.AT2.T95.A754 Q3.K875.QJ.KQJ92 K642.6.A8764.T83 | 1C-P-1H-P-2H-P-4H
397   S  2S-N                    K942.KQJ.T83.Q86 AJ5.7432.Q654.J4 T763.T8.AJ.AK753 Q8.A965.K972.T92 | 1C-P-1S-P-2S
398   S  3H-S                    K98.Q754.AJ864.7 T743.JT2.KT2.K42 QJ5.AK96.7.QJ953 A62.83.Q953.AT86 | 1C-P-1D-P-1H-P-3H
399   S  4H-N                    A32.Q985.J6.Q873 KJ86.764.AQ95.95 95.AKT2.T4.AKT64 QT74.J3.K8732.J2 | 1C-P-1H-P-3H-P-4H
400   S  2S-N                    A843.T85.QT65.K7 KT.J764.KJ98.T64 QJ96.93.A2.AQ932 752.AKQ2.743.J85 | 1C-P-1S-P-2S
401   S  4H-N                    KT74.QJ87.KJ96.3 862.954.A752.Q64 95.AK32.84.AKT75 AQJ3.T6.QT3.J982 | 1C-P-1H-P-3H-P-4H
402   S  3DX-W                   AJ96.873.KQT2.T4 T7.AJ64.AJ76.952 K854.KQ9.3.AJ873 Q32.T52.9854.KQ6 | 1C-P-1S-P-2S-P-P-X-P-3D-X
403   S  4S-S                    AJT8.T94.AQT82.5 Q52.QJ83.J94.J92 K943.76.K5.AKT83 76.AK52.763.Q764 | 1C-P-1D-P-1S-P-4S
404   S  4H-N                    82.AKJ93.J72.J43 J954.752.AKQ8.76 AQ.QT84.94.KQT85 KT763.6.T653.A92 | 1C-P-1H-P-2H-P-3H-P-4H
405   S  4H-N                    A983.KJ986.J92.6 QT75.Q5.Q65.KJ74 J.T732.AK4.AQT98 K642.A4.T873.532 | 1C-P-1H-P-3H-P-4H
406   S  4H-N                    K864.AJ73.Q972.T AT53.92.A83.Q872 9.KQT5.JT4.AKJ95 QJ72.864.K65.643 | 1C-P-1H-P-3H-P-4H
407   S  4S-N                    Q643.J94.AQJ8.T4 JT82.AQ76.75.QJ9 AK75.5.T64.AK872 9.KT832.K932.653 | 1C-P-1S-P-3S-P-4S
408   S  4S-N                    J974.K98.QT3.A97 K52.Q765.A876.T4 AT86.A.J42.KQ632 Q3.JT432.K95.J85 | 1C-P-1S-P-3S-P-4S
409   S  4S-N                    JT862.AKT9.642.J 75.8763.A95.AT95 AQ94.4.Q87.KQ832 K3.QJ52.KJT3.764 | 1C-P-1S-P-2S-P-3S-P-4S
410   S  4S-N                    QT982.J52.KT65.A 64.Q84.AJ98.QJ62 AK53.KT3.Q.98543 J7.A976.7432.KT7 | 1C-P-1S-P-2S-P-4S
411   S  4S-N                    KQ985.AQ9.T874.8 43.KJ2.A962.JT74 AJ72.643.J.AQ965 T6.T875.KQ53.K32 | 1C-P-1S-P-2S-P-4S
412   S  4H-N                    AQ54.9742.QT6.KT J732.8.K9732.Q86 T.AJ65.A85.A7532 K986.KQT3.J4.J94 | 1C-P-1H-P-2H-P-3H-P-4H
413   S  4S-N                    Q8543.AJ4.KT8.64 K2.Q9532.9653.Q8 AJ97.7.QJ4.AJ732 T6.KT86.A72.KT95 | 1C-P-1S-P-2S-P-3S-P-4S
414   S  2S-N                    QJ97.A74.T942.A2 KT.JT52.J763.J64 A842.93.KQ.KQT75 653.KQ86.A85.983 | 1C-P-1S-P-2S
415   S  3D-N                    QT2.Q74.AT76.Q95 K653.KT63.K5.T32 A9.J5.9842.AK864 J874.A982.QJ3.J7 | 1C-P-1D-P-2D-P-3C-P-3D
416   S  4H-S                    8.Q843.AKJ32.J63 AK32.T95.Q975.T2 QT9.AK62.8.KQ875 J7654.J7.T64.A94 | 1C-P-1D-P-1H-P-3H-P-4H
417   S  4S-S                    KQJ4.A6.T7653.J7 932.9875.AJ98.AT AT65.KQT.K.Q9543 87.J432.Q42.K862 | 1C-P-1D-P-1S-P-3S-P-4S
418   S  4H-N                    AJ74.J532.KQ3.63 QT62.Q8.87642.K8 K5.AT74.J5.AQ542 983.K96.AT9.JT97 | 1C-P-1H-P-3H-P-3N-P-4H
419   S  2H-N                    K94.J432.AJ62.64 A86.76.9754.KT98 JT5.KQ85.K.AJ732 Q732.AT9.QT83.Q5 | 1C-P-1H-P-2H
420   S  3S-N                    AJ753.K875.J6.84 T4.QT93.KQ74.Q62 KQ82.4.AT3.KT973 96.AJ62.9852.AJ5 | 1C-P-1S-P-2S-P-3S
421   S  2S-N                    KT87.965.A642.Q5 962.KT83.JT8.AT9 AJ53.AQ.93.K7632 Q4.J742.KQ75.J84 | 1C-P-1S-P-2S
422   S  4S-N                    T842.J65.AQJ5.QT Q65.A873.T84.J43 AJ97.QT.K7.K9852 K3.K942.9632.A76 | 1C-P-1S-P-2S-P-3S-P-4S
423   S  2S-N                    T964.K73.KJ93.Q6 75.J864.Q854.A74 KJ82.Q9.A7.KJT95 AQ3.AT52.T62.832 | 1C-P-1S-P-2S
424   S  4S-S                    AQ75.852.A8653.9 832.Q943.QT2.KQT KT64.AK7.K.65432 J9.JT6.J974.AJ87 | 1C-P-1D-P-1S-P-3S-P-4S
425   S  4H-S                    KQ642.AQ862.98.4 9875.K74.J52.AT8 A.JT53.KQ4.KJ952 JT3.9.AT763.Q763 | 1C-P-1S-P-1N-P-2D=1=-P-3H-P-4H | New Minor Forcing
426   S  4S-S                    AQT3.6.KJ8732.97 K54.J954.AQ64.85 J982.AQT.5.AQJT6 76.K8732.T9.K432 | 1C-P-1D-P-1S-P-3S-P-4S
427   S  3S-S                    AKT4.Q6.QT7632.T Q5.J987.AJ98.953 J762.A52.5.AK842 983.KT43.K4.QJ76 | 1C-P-1D-P-1S-P-3S
428   S  4H-N                    A64.J952.A93.J87 QJT5.A8.T742.K95 K9.KQT6.86.AQT32 8732.743.KQJ5.64 | 1C-P-1H-P-2H-P-P-X-P-2S-3H-P-4H
429   S  4H-N                    KQ86.A765.QT62.7 AT54.QJ.7543.853 J2.9432.A9.AKQT6 973.KT8.KJ8.J942 | 1C-P-1H-P-3H-P-3N-P-4H
430   S  4H-S                    Q5.QT93.AQJ82.63 AT93.872.T94.K85 K84.AJ54.7.AQT92 J762.K6.K653.J74 | 1C-P-1D-P-1H-P-3H-P-4H
431   S  4H-N                    KJT5.AT953.J65.5 A64.74.K983.QJT4 92.KQJ2.A7.A7632 Q873.86.QT42.K98 | 1C-P-1H-P-2H-P-3H-P-4H
432   S  2H-N                    A64.KT95.Q975.Q9 J732.84.AT82.AT4 KT9.AQ73.4.K8732 Q85.J62.KJ63.J65 | 1C-P-1H-P-2H
433   S  3H-S                    J7.AKT9.QJ754.54 KT93.J6.K92.T973 AQ4.7542.3.KQJ82 8652.Q83.AT86.A6 | 1C-P-1D-P-1H-P-3H
434   S  2S-N                    T865.KT4.QT42.AT Q4.8752.953.KQ74 AKJ7.J3.A6.J9852 932.AQ96.KJ87.63 | 1C-P-1S-P-2S
435   S  2S-N                    9853.K3.QJ64.KQT J64.A542.T873.J8 AKT2.QJ7.5.A9742 Q7.T986.AK92.653 | 1C-P-1S-P-2S
436   S  4S-N                    A932.K72.A943.85 QJ7.T43.KT87.Q96 K854.A96.5.AJT73 T6.QJ85.QJ62.K42 | 1C-P-1S-P-2S-P-4S
437   S  4S-N                    KQJT43.QT4.K98.7 72.J963.AJ73.KJ8 A985.K7.42.AQT53 6.A852.QT65.9642 | 1C-P-1S-P-2S-P-4S
438   S  4H-N                    K32.KT632.KJ832. Q984.J.Q765.Q853 J5.Q854.AT.AK764 AT76.A97.94.JT92 | 1C-P-1H-P-3H-P-3S-P-4C-P-4H
439   S  3H-S                    K54.JT82.AQJ64.T T963.A74.K97.765 82.KQ63.53.AK983 AQJ7.95.T82.QJ42 | 1C-P-1D-P-1H-P-3H
440   S  4C-S                    K6.J32.KT72.AT82 QT95.KQT6.43.K65 AJ7.9.AQ96.QJ943 8432.A8754.J85.7 | 1C-P-1D-P-2D-P-3C-P-4C
441   S  2S-N                    J863.653.AT4.A72 52.KQ42.J983.K53 AQ74.AJ.76.QJT94 KT9.T987.KQ52.86 | 1C-P-1S-P-2S
442   S  4S-N                    QJ985.7652.AQJ2. 62.AT98.K73.9762 AT43.K.964.KQJT5 K7.QJ43.T85.A843 | 1C-P-1S-P-2S-P-4S
443   S  4H-N                    KT73.AJT4.JT94.T AQ84.Q63.32.9862 5.K982.KQ5.AQ753 J962.75.A876.KJ4 | 1C-P-1H-P-3H-P-4H
444   S  2H-N                    K642.J863.J853.A 973.K92.AQT4.J53 AJ5.AQ74.7.Q8764 QT8.T5.K962.KT92 | 1C-P-1H-P-2H
445   S  2H-N                    KQ74.9832.A.J653 J832.QJT.KJ65.Q2 T.A654.Q93.AKT87 A965.K7.T8742.94 | 1C-P-1H-P-2H
446   S  2D-N                    A75.Q87.QJ97.T85 Q832.AT963.83.J9 T9.J4.A654.AKQ63 KJ64.K52.KT2.742 | 1C-P-1D-P-2D
447   S  3N-N                    J95.A92.QJ83.K73 A72.J653.A2.8652 Q8.K8.KT96.AJT94 KT643.QT74.754.Q | 1C-P-1D-P-2D-P-2N-P-3N
448   S  4H-N                    K87.AT753.43.K86 J942.J6.KT875.Q5 Q5.KQ92.J9.AJ974 AT63.84.AQ62.T32 | 1C-P-1H-P-2H-P-3H-P-4H
449   S  4H-N                    QT95.Q965.KT5.A9 J873.J7.J943.KJ4 A4.AKT4.72.QT852 K62.832.AQ86.763 | 1C-P-1H-P-2H-P-3H-P-4H
450   S  2H-N                    AT5.QJT5.K763.J4 KJ64.83.AJT9.T62 83.AK94.Q2.KQ973 Q972.762.854.A85 | 1C-P-1H-P-2H
451   S  3H-S                    QT7.AQ63.Q9876.J K643.84.AJ4.T752 AJ8.JT95.5.AQ863 952.K72.KT32.K94 | 1C-P-1D-P-1H-P-3H
452   S  2H-N                    KT2.Q432.JT32.K8 9764.KT6.AQ6.J95 A5.J987.K5.AT632 QJ83.A5.9874.Q74 | 1C-P-1H-P-2H
453   S  2H-N                    97.KT65.JT76.AK6 KT643.97.A42.983 Q8.AQ84.K8.QJ742 AJ52.J32.Q953.T5 | 1C-P-1H-P-2H
454   S  2H-N                    K42.K873.KJ95.94 JT97.642.AT73.QJ Q53.QJT5.8.AKT76 A86.A9.Q642.8532 | 1C-P-1H-P-2H
455   S  2H-N                    A942.K842.QJ82.9 KT86.65.T74.AKT6 QJ.JT73.AK.J8542 753.AQ9.9653.Q73 | 1C-P-1H-P-2H
456   S  4H-N                    T984.AKQ82.T75.J Q653.65.AK42.T64 AJ.JT97.J6.KQ873 K72.43.Q983.A952 | 1C-P-1H-P-2H-P-4H
457   S  2H-N                    QT76.T852.AK3.T2 A853.964.QJ4.763 K.KQJ7.T95.KQ984 J942.A3.8762.AJ5 | 1C-P-1H-P-2H
458   S  4H-N                    972.A543.K92.K82 AQ64.97.Q765.T94 KJ.QJT2.A4.QJ763 T853.K86.JT83.A5 | 1C-P-1H-P-3H-P-4H
459   S  4S-N                    KJ72.Q62.K542.54 A8.AJ83.T873.987 Q943.T9.QJ.AKQT3 T65.K754.A96.J62 | 1C-P-1S-P-3S-P-4S
460   S  2H-N                    K932.QT94.A94.T6 A654.83.KT32.Q43 J7.AJ62.Q8.AJ875 QT8.K75.J765.K92 | 1C-P-1H-P-2H
461   S  4S-N                    KJT6.K72.A643.62 5.A865.T872.Q987 9742.Q9.KJ.AKT53 AQ83.JT43.Q95.J4 | 1C-P-1S-P-2S-P-4S
462   S  2H-N                    AQ7.K652.T965.J8 K543.J3.K842.KT5 96.AQT9.Q3.A9632 JT82.874.AJ7.Q74 | 1C-P-1H-P-2H
463   S  2H-N                    KT82.K873.J96.QJ AQ6.J52.T743.432 93.A964.AQ.KT975 J754.QT.K852.A86 | 1C-P-1H-P-2H
464   S  4H-N                    KT32.AT32.874.Q7 J95.Q8.QJ63.K854 Q8.K764.A9.AJT92 A764.J95.KT52.63 | 1C-P-1H-P-3H-P-4H
465   S  4D-N                    J83.QJ5.AQJT6.84 K654.T73.K3.Q932 QT.A2.9842.AKJ75 A972.K9864.75.T6 | 1C-P-1D-P-2D-P-2N-P-3N-P-4D
466   S  2S-W                    KJ3.KT75.Q65.JT6 QT54.93.JT74.AK9 96.AQ64.A2.Q8742 A872.J82.K983.53 | 1C-P-1H-P-2H-P-P-X-P-2S
467   S  4S-N                    QJ984.A64.A432.6 5.JT872.KT97.Q97 T763.KQ5.J.AKT42 AK2.93.Q865.J853 | 1C-P-1S-P-2S-P-4S
468   S  2H-N                    KJT2.K432.K32.JT 8754.Q75.AQT6.75 A6.AJT8.98.K9632 Q93.96.J754.AQ84 | 1C-P-1H-P-2H
469   S  3N-N                    AT5.K54.JT63.KT8 Q763.QJ96.85.Q75 K8.A3.A942.J6432 J942.T872.KQ7.A9 | 1C-P-1D-P-2D-P-2N-P-3N
470   S  4H-N                    9652.KQ94.62.KJ7 K843.T53.AK53.T3 A.A762.Q87.A9854 QJT7.J8.JT94.Q62 | 1C-P-1H-P-3H-P-4H
471   S  2H-N                    QJ8.J543.KJ8.K82 KT92.Q87.A764.74 53.AKT6.92.AQT93 A764.92.QT53.J65 | 1C-P-1H-P-2H
472   S  2H-N                    A3.AJ54.982.J764 JT762.Q87.T653.A K8.K962.Q7.KQ532 Q954.T3.AKJ4.T98 | 1C-P-1H-P-2H
473   S  4H-N                    AQ83.AJ874.94.T5 JT974.92.QT62.K8 K.KQT5.AJ3.J7642 652.63.K875.AQ93 | 1C-P-1H-P-2H-P-4H
474   S  4S-N                    KQ85.T76.A653.Q7 J97.A53.JT84.832 AT64.842.Q.AKJT9 32.KQJ9.K972.654 | 1C-P-1S-P-3S-P-3N-P-4S
475   S  2S-N                    86432.K87.K86.K2 JT.AT63.Q9732.T5 KQ97.J4.JT.AQJ83 A5.Q952.A54.9764 | 1C-P-1S-P-2S
476   S  3N-N                    AQ6.QT3.Q874.JT8 JT943.8654.J6.A7 52.AK.K532.K9652 K87.J972.AT9.Q43 | 1C-P-1D-P-2D-P-2N-P-3N
477   S  2H-N                    KJT2.JT84.K2.QT9 A965.K53.8764.J8 Q.A962.A95.K5432 8743.Q7.QJT3.A76 | 1C-P-1H-P-2H
478   S  2H-N                    53.J976.A875.AJ2 9874.A32.9643.K5 AKJ.KQ54.J.98743 QT62.T8.KQT2.QT6 | 1C-P-1H-P-2H
