../bba/All_Pass.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
378   W  1N-S                    AQT2.Q752.QJ43.7 J98.AT.A762.JT85 74.K84.K85.Q9432 K653.J963.T9.AK6 | 1C-X-XX-1N
379   W  Pass-?                  KJ65.JT9.K5.K862 A93.83.A962.QJT5 T.K765.J84.A9743 Q8742.AQ42.QT73. | P
380   W  Pass-?                  Q863.K95.J932.K7 A52.QT62.K76.Q53 KJT.A843.84.J982 974.J7.AQT5.AT64 | P
381   W  Pass-?                  A865.96432.T2.A4 942.K5.KQ65.Q762 K3.QJ87.J83.KJ98 QJT7.AT.A974.T53 | P
382   W  Pass-?                  AQT6.98.T642.KJ5 K854.7632.K7.A92 J.JT54.AQJ3.T864 9732.AKQ.985.Q73 | P
383   W  Pass-?                  KJ9.KQ64.J6.9632 Q53.83.8542.AKQT T874.JT75.AK7.85 A62.A92.QT93.J74 | P
384   W  Pass-?                  9543.987.JT.AKQ2 AQ.AJT4.9876.986 J87.K632.KQ53.54 KT62.Q5.A42.JT73 | P
385   W  Pass-?                  T85.AK96.JT97.Q8 A93.JT3.K86.J752 J62.Q4.A542.KT94 KQ74.8752.Q3.A63 | P
386   W  Pass-?                  T93.QJ95.A92.A95 AQ5.K742.543.QT6 K82.T8.QJ87.J872 J764.A63.KT6.K43 | P
387   W  1N-S                    9653.J763.K7.AK8 KQT8.AT4.8432.T5 A2.Q85.QJT5.J964 J74.K92.A96.Q732 | P-1C-P-1D-P-1H-P-1N
388   W  Pass-?                  KT.K32.T863.KT97 J752.Q96.AK52.32 AQ86.A875.7.8654 943.JT4.QJ94.AQJ | P
389   W  Pass-?                  AJ.K984.KT75.964 Q74.732.AJ92.KJ8 K963.AJ5.63.QT72 T852.QT6.Q84.A53 | P
390   W  Pass-?                  J643.Q62.AT82.QJ A82.A874.964.743 Q97.KJ.J753.AT86 KT5.T953.KQ.K952 | P
391   W  Pass-?                  QT.KJ6.T765.AJ73 K982.T9.AK2.T954 A76.Q875.94.KQ82 J543.A432.QJ83.6 | P
392   W  Pass-?                  J963.Q74.A3.QJT8 Q54.AK83.Q985.42 T872.96.JT2.AK63 AK.JT52.K764.975 | P
393   W  Pass-?                  QJ6.J94.Q854.A54 9852.AQ75.T3.K63 A74.T82.KJ2.QT87 KT3.K63.A976.J92 | P
394   W  Pass-?                  KJ64.872.KT85.KT AQ8.Q653.QJ6.976 932.KJ9.974.AQJ2 T75.AT4.A32.8543 | P
395   W  1N-S                    Q932.AJT6.432.AT 864.K87.KT87.KJ3 AK.943.QJ95.9876 JT75.Q52.A6.Q542 | P-1D-P-1N
396   W  Pass-?                  KT6.K985.AT7.J32 J872.A3.QJ983.94 943.QT76.K6.KQ85 AQ5.J42.542.AT76 | P
397   W  Pass-?                  QJ43.J983.AT6.K2 865.KT42.Q97.A86 K72.A76.543.Q954 AT9.Q5.KJ82.JT73 | P
398   W  Pass-?                  AT87.93.QT3.AJ72 62.K62.K652.QT43 K94.AT87.J98.K85 QJ53.QJ54.A74.96 | P
399   W  Pass-?                  T432.A632.82.A98 AJ7.K74.9653.QJ2 KQ96.QT8.KT4.T63 85.J95.AQJ7.K754 | P
400   W  Pass-?                  A985.KJT4.QJ8.63 JT2.9875.K2.AJT5 64.A632.A753.Q82 KQ73.Q.T964.K974 | P
401   W  Pass-?                  AQ85.T6.743.QJ82 J642.AKQ.J6.9754 97.J872.AQT5.KT6 KT3.9543.K982.A3 | P
402   W  Pass-?                  AT742.T82.AT9.93 J86.A743.J73.KJT 953.KQ9.Q86.A654 KQ.J65.K542.Q872 | P
403   W  Pass-?                  KJ53.QT9.J92.A54 AT2.8763.KQ75.T3 9876.A52.A4.Q972 Q4.KJ4.T863.KJ86 | P
404   W  Pass-?                  QT8.J43.J98.AJ52 952.KT9.A632.KT6 K43.A652.Q754.Q3 AJ76.Q87.KT.9874 | P
405   W  Pass-?                  9842.AK6.T5.JT97 Q5.T74.AK97.Q432 J76.Q832.862.AK6 AKT3.J95.QJ43.85 | P
406   W  2H-N                    954.QJ74.J52.KQ4 A82.T65.KQ64.T32 K76.AK32.87.J865 QJT3.98.AT93.A97 | P-P-P-1C-P-1H-P-2H
407   W  1N-E                    762.AQ9.J63.K952 KQT.T654.Q8.Q874 943.K32.AK54.T63 AJ85.J87.T972.AJ | 1D-P-1H-P-1S-P-1N
408   W  Pass-?                  KT86.K987.A54.95 53.Q42.KJ62.A874 A974.JT6.T8.KQ62 QJ2.A53.Q973.JT3 | P
409   W  Pass-?                  KJ4.AT932.42.T87 92.KJ7.QJ83.A652 A753.86.K765.QJ4 QT86.Q54.AT9.K93 | P
410   W  Pass-?                  A83.AQT.J43.7632 J965.74.AT8.AJT9 742.K953.K976.K5 KQT.J862.Q52.Q84 | P
411   W  Pass-?                  A763.54.T75.AQ82 QJT8.QT32.AQ.975 954.K98.K862.KT4 K2.AJ76.J943.J63 | P
412   W  Pass-?                  KQ85.T5.A985.Q76 AT92.J93.KQ3.JT9 J73.AKQ2.JT6.854 64.8764.742.AK32 | P
413   W  Pass-?                  865.A96.AQ65.J97 J972.J842.KJ.KQ2 K3.QT75.T94.A854 AQT4.K3.8732.T63 | P
414   W  Pass-?                  9653.AJT6.KQ.T98 K4.KQ87.8762.J72 AT2.943.AT95.Q64 QJ87.52.J43.AK53 | P
415   W  Pass-?                  A52.6432.KT8.KT5 K43.AK85.6542.96 QJT6.97.AJ9.J843 987.QJT.Q73.AQ72 | P
416   W  Pass-?                  743.J95.A94.AQT5 AJT9.A832.83.872 K85.K74.Q762.K94 Q62.QT6.KJT5.J63 | P
417   W  Pass-?                  AJ6.KT92.J753.Q7 85.Q8.KT84.K6532 T972.J73.A2.AJ98 KQ43.A654.Q96.T4 | P
418   W  Pass-?                  JT9.K93.AT53.J95 A764.QT72.94.A72 Q82.A64.K82.Q864 K53.J85.QJ76.KT3 | P
419   W  Pass-?                  K832.984.A3.K843 JT95.AT62.J54.A2 A74.QJ7.QT87.Q65 Q6.K53.K962.JT97 | P
420   W  3S-N                    K87532.96.Q.QJ65 AT9.KJ8.KT32.T73 Q64.A742.A965.84 J.QT53.J874.AK92 | P-2S-P-3S
421   W  1N-E                    A875.KJ2.752.Q63 Q9.976.AT98.KT95 KJT4.543.KQ.J842 632.AQT8.J643.A7 | 1D-P-1N
422   W  Pass-?                  A653.QJ7.T4.QJ64 Q2.K852.K982.K83 JT7.T96.AQ75.A75 K984.A43.J63.T92 | P
423   W  Pass-?                  QJT9.QJ4.KT6.Q64 A7532.96.52.K987 64.AT52.QJ43.A53 K8.K873.A987.JT2 | P
424   W  1N-W                    874.Q842.AKQ.763 QJ63.AT9.9874.AT AT9.J73.632.KQ84 K52.K65.JT5.J952 | P-P-1D-P-1N
425   W  1N-W                    T43.AT94.95.AQ42 K875.K5.K62.9765 Q96.Q86.QJT7.KT3 AJ2.J732.A843.J8 | 1D-P-1S-P-1N
426   W  1N-W                    JT84.Q94.Q43.AQ5 K765.AT3.52.KJ72 A932.852.AJT8.94 Q.KJ76.K976.T863 | P-P-1C-P-1H-P-1S-P-1N
427   W  Pass-?                  KJ85.QJ74.52.A75 Q432.65.KJ73.KJT T96.K82.A84.Q943 A7.AT93.QT96.862 | P
428   W  Pass-?                  KQ54.KQ72.84.J43 A7.J864.K95.KT52 J92.A9.QT72.Q987 T863.T53.AJ63.A6 | P
429   W  Pass-?                  K32.Q97.A84.Q832 A985.85.Q75.KJ74 764.JT43.KJ96.AT QJT.AK62.T32.965 | P
430   W  Pass-?                  J6.K62.QJ52.KJ52 9753.AQJ.T98.AT6 AT82.8743.A7.984 KQ4.T95.K643.Q73 | P
431   W  Pass-?                  QJT5.T94.AJ4.QJ4 AK87.J52.963.K73 93.AK86.QT75.T86 642.Q73.K82.A952 | P
432   W  Pass-?                  KJ6.T3.KT42.KJ86 Q753.A987.J3.QT3 AT4.Q64.A976.742 982.KJ52.Q85.A95 | P
433   W  2H-E                    73.985.AJ76.AJ83 A98.K743.Q84.642 QT54.QJ.K95.Q975 KJ62.AT62.T32.KT | 1D-P-1H-P-2H
434   W  1S-N                    AQ75.A63.T43.865 643.74.AQJ7.K942 KT9.KT52.62.AJT7 J82.QJ98.K985.Q3 | P-P-P-1C-P-1S
435   W  Pass-?                  A983.52.A742.T73 Q2.Q976.985.AQJ6 KJ7.A843.QJT6.84 T654.KJT.K3.K952 | P
436   W  1S-N                    AT64.83.A74.Q987 K32.AJ75.63.JT64 975.K962.KJT8.A2 QJ8.QT4.Q952.K53 | P-P-P-1D-P-1S
437   W  1N-W                    Q2.Q82.KQT4.J987 KJ64.T5.A85.Q642 T853.A643.J7.A53 A97.KJ97.9632.KT | 1D-P-1S-P-1N
438   W  Pass-?                  AQJ.T987.KJ4.876 75.QJ2.A532.KJT2 9864.K63.QT87.A5 KT32.A54.96.Q943 | P
439   W  Pass-?                  Q8.K874.943.KQT6 AK4.92.KT52.J432 9762.AQT5.A876.9 JT53.J63.QJ.A875 | P
440   W  Pass-?                  A64.Q95.T972.KT5 J92.74.AQJ3.QJ43 KT5.AKJ2.864.987 Q873.T863.K5.A62 | P
441   W  Pass-?                  J74.KT3.K96.AT93 A63.QJ94.QJT5.85 Q98.A752.874.K72 KT52.86.A32.QJ64 | P
442   W  Pass-?                  AQ94.J74.T43.A98 K83.KT96.J2.Q732 J62.AQ85.K765.54 T75.32.AQ98.KJT6 | P
443   W  Pass-?                  K64.JT.AK74.T874 852.Q874.Q632.A6 JT73.K965.J9.KQ9 AQ9.A32.T85.J532 | P
444   W  1N-S                    KT42.KJ5.43.A532 QJ5.A92.Q52.J987 973.873.AK76.K64 A86.QT64.JT98.QT | P-1C-P-1D-P-1S-P-1N
445   W  Pass-?                  QJ3.T854.A95.KJ6 K85.AQ93.763.842 AT2.J76.KT8.Q975 9764.K2.QJ42.AT3 | P
446   W  2S-S                    KT97.AK92.84.J53 A52.QJ54.AT95.84 J864.86.Q732.AK7 Q3.T73.KJ6.QT962 | P-1C-P-1S-P-2S
447   W  1N-E                    JT2.T97.K942.KQJ Q76.J42.QT8.A653 K94.K53.A65.T874 A853.AQ86.J73.92 | 1D-P-1N
448   W  Pass-?                  QT54.KT.AT87.T96 K73.8632.QJ.AJ53 A8.Q975.9643.K82 J962.AJ4.K52.Q74 | P
449   W  Pass-?                  743.AT54.85.AQ65 QT6.J863.AK72.T2 KJ92.KQ9.T94.973 A85.72.QJ63.KJ84 | P
450   W  Pass-?                  J832.KJ976.K64.9 Q975.82.973.AKQ8 AT.AT53.Q82.T542 K64.Q4.AJT5.J763 | P
451   W  Pass-?                  852.KQ9.975.AQ53 K73.AT53.KJ4.842 QJT4.87.Q82.KT97 A96.J642.AT63.J6 | P
452   W  Pass-?                  JT98.AK9.QJT5.54 54.J83.A763.AQT2 KQ7.742.K984.J97 A632.QT65.2.K863 | P
453   W  Pass-?                  875.A732.864.AJ2 J3.KJT8.AQ72.764 AQ42.9654.J5.QT8 KT96.Q.KT93.K953 | P
454   W  1N-S                    A962.A932.9.QJ74 QJ5.J6.KT32.A652 KT.874.A764.T983 8743.KQT5.QJ85.K | P-1C-P-1D-P-1H-P-1N
455   W  Pass-?                  K97.QJ95.A96.T92 A643.AT4.T7.Q543 QJ2.62.QJ52.A876 T85.K873.K843.KJ | P
456   W  Pass-?                  A84.T952.AT3.986 T65.AK87.QJ.J432 Q972.3.K742.KQ75 KJ3.QJ64.9865.AT | P
457   W  2N-W                    K54.K62.JT84.T94 QJT7.A9.Q73.Q832 932.Q754.A6.AJ65 A86.JT83.K952.K7 | 1D-P-1S-P-1N-P-2N
458   W  Pass-?                  986.KQ3.T32.AQT2 KJ3.A54.QJ94.875 Q75.JT972.A75.J4 AT42.86.K86.K963 | P
459   W  Pass-?                  JT2.A93.Q976.A82 876.Q72.KT5.K973 K954.J654.A8.QT6 AQ3.KT8.J432.J54 | P
460   W  Pass-?                  AT7.KQ2.763.J762 KQJ.A874.T842.T5 9632.96.KQJ.A984 854.JT53.A95.KQ3 | P
461   W  Pass-?                  92.AQ86.AJ63.T53 KT4.KT43.72.Q864 QJ86.95.T54.AK72 A753.J72.KQ98.J9 | P
462   W  Pass-?                  853.AK7.QT75.Q62 QJ7.8654.J3.AKT8 AK2.Q9.9642.7543 T964.JT32.AK8.J9 | P
463   W  1N-W                    QJ42.Q93.Q5.A762 K763.K854.AJ97.9 A98.J62.T32.KT84 T5.AT7.K864.QJ53 | P-P-1D-P-1N
464   W  Pass-?                  K843.76.AK4.J754 QT95.K982.62.A32 AJ7.QJ5.QJT7.T96 62.AT43.9853.KQ8 | P
465   W  Pass-?                  A952.76.A83.8654 K643.A84.652.KJ2 JT.QT92.QJ94.AT7 Q87.KJ53.KT7.Q93 | P
466   W  Pass-?                  KQJ6.984.Q7.KT75 T3.752.A865.AJ32 972.AKJT.J94.964 A854.Q63.KT32.Q8 | P
467   W  Pass-?                  KQJT.QJ5.875.763 A74.T4.QJ96.KT52 96.A962.AT2.QJ84 8532.K873.K43.A9 | P
468   W  1N-N                    J92.AJ63.T3.AJ64 K8.K975.KQ6.7532 T764.QT4.J984.KQ AQ53.82.A752.T98 | P-1C-P-1S-P-1N
469   W  1N-W                    K74.J75.KQT5.J63 QT93.K6.J872.K87 A85.Q984.A94.T92 J62.AT32.63.AQ54 | 1C-P-1S-P-1N
470   W  Pass-?                  KJ974.T6.A84.976 A62.Q543.JT2.A82 QT8.AK2.9653.JT4 53.J987.KQ7.KQ53 | P
471   W  Pass-?                  JT84.A7.QT82.AT6 72.KQ65.965.KQ75 AQ63.843.J74.J82 K95.JT92.AK3.943 | P
472   W  Pass-?                  A972.85.QJT8.A93 KJ4.AQJ4.532.872 QT53.KT6.764.KJ4 86.9732.AK9.QT65 | P
473   W  1N-E                    JT83.K6.KQ96.Q94 KQ.A73.JT32.T632 762.J952.A74.K75 A954.QT84.85.AJ8 | 1C-P-1D-P-1H-P-1N
474   W  Pass-?                  T983.J6.AQT.AT93 KQ54.AT97.87.J74 J76.K85.KJ52.852 A2.Q432.9643.KQ6 | P
475   W  Pass-?                  KQ9.J63.QJ83.Q95 8753.97.AK2.K642 AJ2.AQT8.976.873 T64.K542.T54.AJT | P
476   W  Pass-?                  J852.QT7.K8.AJ54 Q94.K985.A95.Q98 A763.A3.T432.T72 KT.J642.QJ76.K63 | P
477   W  Pass-?                  K92.JT2.J872.K97 Q75.KQ85.AT4.T83 A63.7643.Q3.AJ42 JT84.A9.K965.Q65 | P
478   W  1N-S                    JT92.AK73.K82.T3 KQ87.JT6.JT3.A82 543.942.A65.K976 A6.Q85.Q974.QJ54 | P-1D-P-1N
479   W  2H-E                    T976.A43.AQ62.73 Q5.KQJ5.JT9.QT95 J43.76.8543.AK82 AK82.T982.K7.J64 | 1C-P-1H-P-2H
480   W  Pass-?                  T4.A953.AJ2.8642 Q952.Q76.KQ3.J53 J87.T82.T965.AKQ AK63.KJ4.874.T97 | P
481   W  Pass-?                  QT2.K874.T93.AQ7 983.T32.AQJ7.KJ5 J74.A96.K652.843 AK65.QJ5.84.T962 | P
482   W  Pass-?                  QJ85.AK62.T5.732 K76.QT5.9873.AQ4 942.J983.AJ6.KJ9 AT3.74.KQ42.T865 | P
483   W  Pass-?                  J643.KQ54.JT4.KT AKT9.J6.982.J832 72.A82.Q653.A764 Q85.T973.AK7.Q95 | P
484   W  1N-E                    876.43.Q942.AK74 952.A96.KJ76.JT6 KQ3.Q872.AT85.53 AJT4.KJT5.3.Q982 | 1C-P-1D-P-1H-P-1N
485   W  Pass-?                  T763.K53.K7.KQ32 852.QJ97.A86.T96 QJ4.AT.9542.A874 AK9.8642.QJT3.J5 | P
486   W  2N-W                    A432.KQ9.75.QT95 85.T82.QJT9.AK76 KT9.543.A32.J842 QJ76.AJ76.K864.3 | 1D-P-2D=1=-P-2N | Inverted minors
487   W  Pass-?                  Q84.KQ6.976.KJ42 A975.A53.83.QT95 KJ3.942.AJT4.876 T62.JT87.KQ52.A3 | P
488   W  Pass-?                  AT.K963.K542.JT5 K876.AT4.T86.Q98 J532.J5.A97.A763 Q94.Q872.QJ3.K42 | P
489   W  Pass-?                  A7532.62.JT2.K32 J96.AK7.Q763.987 KQ8.T843.A54.QT5 T4.QJ95.K98.AJ64 | P
490   W  Pass-?                  854.KQT8.A32.JT5 KJ2.963.K87.Q876 AQ93.72.965.A432 T76.AJ54.QJT4.K9 | P
491   W  Pass-?                  J7653.732.K73.AT AK.QT5.J652.8643 Q4.AJ98.QT8.Q975 T982.K64.A94.KJ2 | P
492   W  Pass-?                  A542.Q8.J87.K943 Q63.AK92.Q954.T5 J7.J73.AK62.Q876 KT98.T654.T3.AJ2 | P
493   W  Pass-?                  T872.A65.KQ76.76 AQ5.974.T93.KJ42 KJ6.QJ32.852.AT5 943.KT8.AJ4.Q983 | P
494   W  Pass-?                  T8.K765.J963.AK2 A943.83.AT87.J84 K765.Q94.K2.QT95 QJ2.AJT2.Q54.763 | P
495   W  Pass-?                  K43.J87.J943.AT9 A65.942.A87.QJ76 QT72.Q63.K2.K432 J98.AKT5.QT65.85 | P
496   W  Pass-?                  AKT.Q86.952.T874 9542.K974.K84.A9 QJ6.A32.QT3.J653 873.JT5.AJ76.KQ2 | P
497   W  3S-E                    A3.T962.J432.K73 Q876.Q8.Q96.A842 K92.KJ5.K85.J965 JT54.A743.AT7.QT | 1D-P-1S-P-2S-P-3S
498   W  Pass-?                  J43.A4.Q874.K982 A52.K962.KJ5.T53 K96.JT85.AT3.764 QT87.Q73.962.AQJ | P
499   W  Pass-?                  AT98.Q2.K765.982 Q753.K984.Q3.A74 J6.AJT5.942.QJT5 K42.763.AJT8.K63 | P
500   W  Pass-?                  AJ3.K86.953.QJ85 9762.J2.AT4.KT76 KQT.AT93.J872.32 854.Q754.KQ6.A94 | P

             -- Sorted Summary of Bidding Sequences --

    4  1C-P-1D-P-1H-P-1N
    1  1C-P-1D-P-1H-P-2N
    2  1C-P-1H-P-2H
    1  1C-P-1H-P-2H-P-P-X-P-3D-3H
    2  1C-P-1N
    1  1C-P-1S-P-1N
    1  1C-P-1S-P-1N-P-2N
    1  1C-P-1S-P-2S
    1  1C-P-1S-P-2S-P-3S
    1  1C-X-XX-1N
    3  1D-P-1H-P-1S-P-1N
    1  1D-P-1H-P-1S-P-2S
    4  1D-P-1H-P-2H
    1  1D-P-1H-P-2H-P-3H
    5  1D-P-1N
    3  1D-P-1S-P-1N
    1  1D-P-1S-P-1N-P-2N
    1  1D-P-1S-P-2C-P-2D
    1  1D-P-1S-P-2C-P-2N
    2  1D-P-1S-P-2S
    1  1D-P-1S-P-2S-P-3S
    1  1D-P-1S-P-2S-P-P-X-P-3H-X
    1  1D-P-2D=1=-P-2N | Inverted minors
    1  1D-X-XX-1S-P-P-2D
    1  1H-P-1N=1=-P-2C-P-3H-P-4H | Forcing 1NT
    1  1H-P-1N=1=-P-2D-P-3H | Forcing 1NT
    1  2D
  395  P
    4  P-1C-P-1D-P-1H-P-1N
    1  P-1C-P-1D-P-1S-P-1N
    1  P-1C-P-1H-P-1S-P-2C
    3  P-1C-P-1H-P-1S-P-2N
    1  P-1C-P-1H-P-1S-P-2S-P-P-X-P-2N
    3  P-1C-P-1H-P-2H
    1  P-1C-P-1H-P-2H-P-3H
    1  P-1C-P-1S-P-1N
    2  P-1C-P-1S-P-2S
    2  P-1D-P-1H-P-1S-P-1N
    1  P-1D-P-1H-P-1S-P-2N
    2  P-1D-P-1H-P-2H
    2  P-1D-P-1H-P-2H-P-3H
    1  P-1D-P-1H-P-2H-P-P-X-P-2S-3H
    5  P-1D-P-1N
    1  P-1D-P-1N-P-2C-P-2D-P-P-X-P-2H-P-P-4C-P-4D
    1  P-1D-P-1S-P-2C-P-2D
    1  P-2S-P-3S
    1  P-P-1C-P-1D-P-1H-P-1N
    1  P-P-1C-P-1H-P-1S-P-1N
    1  P-P-1C-P-1N
    1  P-P-1C-P-1S-P-2S
    1  P-P-1C-P-1S-P-2S-P-P-X-P-3C-X
    1  P-P-1C-P-1S-P-P-X-XX
    1  P-P-1C-X-P-1D-P-2D-P-3N
    2  P-P-1D-P-1H-P-1S-P-1N
    1  P-P-1D-P-1H-P-1S-P-3S
    1  P-P-1D-P-1H-P-2H
    3  P-P-1D-P-1N
    1  P-P-1D-P-1S
    2  P-P-1D-P-1S-P-2S
    1  P-P-1D-P-1S-P-P-X-XX-2C
    1  P-P-1D-P-2C-P-2N
    1  P-P-2S-X-P-3C
    1  P-P-P-1C-P-1H-P-2H
    2  P-P-P-1C-P-1S
    1  P-P-P-1C-P-1S-X-XX-2H
    1  P-P-P-1D-P-1H-1S-2H-2S
    1  P-P-P-1D-P-1N
    2  P-P-P-1D-P-1S

   -- Sorted Summary of Notes (the first character is forced to upper case) --

    2  Forcing 1NT
    1  Inverted minors
