../bba/Scrambling_2NT.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
349   W  2H-W                    T8.874.982.AT732 J643.A62.KJT64.6 KQ72.93.AQ5.QJ98 A95.KQJT5.73.K54 | 1H-P-2H
350   W  2S-W                    854.JT732.52.K73 KQ9.Q94.T876.JT8 JT.A865.AJ93.A62 A7632.K.KQ4.Q954 | 1S-P-2S
351   W  2H-W                    J73.KJ8.QJT987.6 QT6.T654.A.T9543 A952.9.K643.AK87 K84.AQ732.52.QJ2 | 1H-P-2H
352   W  2H-W                    984.J5.J43.QT642 J765.AT43.Q82.83 AT32.Q2.AK75.K75 KQ.K9876.T96.AJ9 | 1H-P-2H
353   W  2S-W                    QT3.843.KT96.T84 KJ6.QT92.Q54.962 5.KJ76.AJ73.AJ73 A98742.A5.82.KQ5 | 1S-P-2S
354   W  2H-W                    JT42.J92.JT84.94 K93.T75.76.AJ876 AQ76.K3.AQ53.QT2 85.AQ864.K92.K53 | 1H-P-2H
355   W  2N-N                    A742.Q92.95.T954 QJ86.863.7643.QJ .AKT4.KQJ2.K7632 KT953.J75.AT8.A8 | 1S-P-2S-X-P-2N
356   W  2H-W                    J764.JT.K9753.53 QT82.9873.JT6.K7 AK95.K5.Q82.AJ64 3.AQ642.A4.QT982 | 1H-P-2H
357   W  2S-W                    T96.Q73.J3.QJ832 8543.A82.T642.K7 A.KT64.A987.A965 KQJ72.J95.KQ5.T4 | 1S-P-2S
358   W  4H-W                    Q742.T7.T92.JT52 963.Q95.Q5.A9743 AKJ8.86.A863.KQ6 T5.AKJ432.KJ74.8 | 1H-P-2H-X-P-2S-P-3S-4H
359   W  3S-N                    J9642.85.654.J86 QT.K743.73.Q5432 A875.A9.KJT8.AK9 K3.QJT62.AQ92.T7 | 1H-P-2H-X-P-2S-3H-3S
360   W  2H-W                    QJT9.A4.63.T9852 A52.T853.QT984.6 K843.J9.AJ7.KQ73 76.KQ762.K52.AJ4 | 1H-P-2H
361   W  3H-W                    3.764.J6432.8742 K965.JT8.T7.A953 J742.AK.AK85.QJ6 AQT8.Q9532.Q9.KT | 1H-P-2H-X-P-3D-P-P-3H
362   W  2S-W                    532.7542.T98.QT5 J76.J93.K52.KJ86 QT.AKT8.QJ43.A92 AK984.Q6.A76.743 | 1S-P-2S
363   W  2S-W                    763.J2.Q9732.Q42 QJ5.Q9863.J4.K65 K4.AK74.KT86.J98 AT982.T5.A5.AT73 | 1S-P-2S
364   W  4S-W                    KT.76432.J9864.4 J62.K.A752.87532 95.AJT5.KQT3.AT6 AQ8743.Q98..KQJ9 | 1S-P-2S-P-4D=1=-P-4S | Splinter
365   W  2H-W                    K98.84.J952.K872 Q4.QT73.QT76.965 T632.A2.K843.AQJ AJ75.KJ965.A.T43 | 1H-P-2H
366   W  2S-W                    K3.T983.JT5.AT95 T975.K54.62.KJ73 A.QJ62.A974.Q862 QJ8642.A7.KQ83.4 | 1S-P-2S
367   W  3CX-S                   K9873.Q3.T652.T3 JT6.KJT75.QJ98.6 .A642.AK73.K8742 AQ542.98.4.AQJ95 | 1S-P-2S-3C-X
368   W  2S-W                    Q93.T96.QT8.QJT7 J872.J854.A72.65 6.AQ73.9543.AK94 AKT54.K2.KJ6.832 | 1S-P-2S
369   W  2S-W                    T5.962.Q876.K754 A432.K84.2.T9832 97.AQ73.A543.AQ6 KQJ86.JT5.KJT9.J | 1S-P-2S
370   W  2H-W                    T963.KQJ.43.7432 Q75.7542.Q82.Q86 K842.6.A976.AKT9 AJ.AT983.KJT5.J5 | 1H-P-2H
371   W  2S-W                    Q742.J762.9863.K A63.T93.AT.87654 9.AQ85.K542.AJT3 KJT85.K4.QJ7.Q92 | 1S-P-2S
372   W  2S-W                    JT3.QT943.875.85 Q62.52.Q9632.AT7 A9.AK87.KJT.9643 K8754.J6.A4.KQJ2 | 1S-P-2S
373   W  4H-W                    AT85.872.987.843 J743.K96.K532.QT KQ62.4.AJT6.K952 9.AQJT53.Q4.AJ76 | 1H-P-2H-P-4H
374   W  2S-W                    QJ.KT8752.T.Q964 AT64.Q9.98652.85 2.J643.KQJ7.AKT2 K98753.A.A43.J73 | 1S-P-2S
375   W  2S-W                    KT5.JT42.KT4.732 984.83.732.AKJ54 2.AQ97.AJ85.Q986 AQJ763.K65.Q96.T | 1S-P-2S
376   W  2S-W                    J972.87.K765.T43 KT4.JT32.T.KQ986 3.AQ95.QJ83.A752 AQ865.K64.A942.J | 1S-P-2S
377   W  4H-W                    T43.A42.J8765.JT Q9852.T976.43.A2 AKJ6..AQT9.96543 7.KQJ853.K2.KQ87 | 1H-P-2H-3C-4H
378   W  3S-N                    KT73.763.T73.873 J64.QJ52.Q964.J9 A852.4.AKJ2.KQT4 Q9.AKT98.85.A652 | 1H-P-2H-X-P-2S-3H-3S
379   W  4S-W                    63.Q75.Q63.JT874 QT72.T4.AJT82.32 J.K963.K954.AK65 AK9854.AJ82.7.Q9 | 1S-P-2S-P-4S
380   W  2S-W                    62.97632.J976.A4 T974.A8.T2.QJ953 QJ.QJT5.AQ53.K87 AK853.K4.K84.T62 | 1S-P-2S
381   W  2H-W                    T9652.A32.K3.543 873.KQT7.J96.876 AQJ4.5.T874.AKT9 K.J9864.AQ52.QJ2 | 1H-P-2H
382   W  2H-W                    Q7643.T83.53.K65 J98.KQ7.JT872.Q4 AKT2.J9.AQ94.T93 5.A6542.K6.AJ872 | 1H-P-2H
383   W  2H-W                    T42.Q9.KJ732.T52 86.T652.9.KQJ643 AK73.J3.Q854.A87 QJ95.AK874.AT6.9 | 1H-P-2H
384   W  2S-W                    K87.986.T984.QJ3 T52.KT3.KQ65.876 J9.AJ52.AJ3.K942 AQ643.Q74.72.AT5 | 1S-P-2S
385   W  2S-W                    432.QJ8764.J.532 Q95.A2.T9873.QJ9 T6.K953.AKQ.KT74 AKJ87.T.6542.A86 | 1S-P-2S
386   W  4H-W                    854.8763.854.JT6 QT62.KQ4.J732.52 KJ97.A.AKT9.A873 A3.JT952.Q6.KQ94 | 1H-P-2H-X-P-2S-3H-3S-4H
387   W  4H-W                    KT5.43.JT876.543 J864.762..AQJ872 AQ97.85.AQ93.KT9 32.AKQJT9.K542.6 | 1H-P-2H-P-4H
388   W  2H-W                    932.96.J74.KT753 K754.JT4.AT93.62 AJT8.32.K82.AQJ8 Q6.AKQ875.Q65.94 | 1H-P-2H
389   W  5D-S                    QJ85.J3.QT854.K2 K762.QT84.J2.976 .AK52.A9763.Q843 AT943.976.K.AJT5 | 1S-P-2S-3D-P-3S=1=-X-P-P-4D-P-5D | Limit raise or better in !D
390   W  3C-N                    J652.75.742.Q952 A94.QJ83.Q65.874 7.AKT2.JT98.AKT3 KQT83.964.AK3.J6 | 1S-P-2S-X-P-3C
391   W  2H-W                    K9854.954.T85.75 76.QT7.A763.QJ42 QT32.J.KQJ2.AKT6 AJ.AK8632.94.983 | 1H-P-2H
392   W  2S-W                    654.J7.A87532.43 K73.T9543.J9.A52 QJ.KQ82.KQ4.J976 AT982.A6.T6.KQT8 | 1S-P-2S
393   W  4S-W                    KT.J6.8653.JT532 Q753.K84.QT972.8 6.AT52.AKJ4.Q976 AJ9842.Q973..AK4 | 1S-P-2S-P-4D=1=-P-4S | Splinter
394   W  4S-W                    K83.T9854.T85.43 Q95.K2.K742.J762 .AQJ6.QJ963.AT98 AJT7642.73.A.KQ5 | 1S-P-2S-3D-4S
395   W  2H-W                    96.962.J8542.J62 QT54.AT3.T3.KT54 AJ73.Q7.A76.AQ98 K82.KJ854.KQ9.73 | 1H-P-2H
396   W  4S-W                    32.K8.QJ62.T9742 T65.543.A8754.A6 Q8.AQT2.KT93.QJ8 AKJ974.J976..K53 | 1S-P-2S-P-4S
397   W  3S-W                    85.J63.T932.9542 J96.Q87.QJ7.QT87 Q2.AKT2.K86.AK63 AKT743.954.A54.J | 1S-P-2S-X-P-3C-P-P-3S
398   W  2H-W                    T.932.KQJ9.JT876 KJ83.Q654.T765.5 A752.8.A832.KQ92 Q964.AKJT7.4.A43 | 1H-P-2H
399   W  2S-W                    T742.KT863.Q62.9 K53.4.KT8.Q87643 J.QJ75.A974.AJT2 AQ986.A92.J53.K5 | 1S-P-2S
400   W  2S-W                    K82.8763.87652.Q Q74.K54.43.KJ632 AT.JT92.KQT9.A87 J9653.AQ.AJ.T954 | 1S-P-2S
401   W  2S-W                    T43.T96.J43.QJ63 AQJ.873.Q962.T52 85.AK54.A85.A984 K9762.QJ2.KT7.K7 | 1S-P-2S
402   W  4H-W                    J853.53.86.JT872 QT9.A74.QJT942.4 AK72.J8.A73.K653 64.KQT962.K5.AQ9 | 1H-P-2H-P-4H
403   W  3S-W                    KT2.8765.A875.T9 8753.JT4.Q9.QJ87 .AK92.KJ43.A6432 AQJ964.Q3.T62.K5 | 1S-P-2S-X-P-3H-P-P-3S
404   W  2H-W                    KT76.87.J8652.86 QJ5.Q93.A97.9543 A943.64.K43.AKJ2 82.AKJT52.QT.QT7 | 1H-P-2H
405   W  2S-W                    T764.9.KT43.J876 532.KQT83.J2.K32 J.AJ54.Q985.AQ94 AKQ98.762.A76.T5 | 1S-P-2S
406   W  4H-W                    AQ83.83.J763.642 92.T974.AT9.Q987 KJT4.A.K854.KJT5 765.KQJ652.Q2.A3 | 1H-P-2H-X-P-2S-3H-P-4H
407   W  2S-W                    83.T974.Q932.A75 QJ75.85.K8.98432 62.AJ32.AT76.KQT AKT94.KQ6.J54.J6 | 1S-P-2S
408   W  2H-W                    654.J63.8432.863 AT92.K82.J95.J75 Q873.95.AKT7.AKT KJ.AQT74.Q6.Q942 | 1H-P-2H
409   W  3S-N                    Q975.J83.9862.98 J2.Q652.KT7.JT53 AKT6.7.AJ53.AQ62 843.AKT94.Q4.K74 | 1H-P-2H-X-P-2S-3H-3S
410   W  3S-W                    T97.J63.KT52.T97 QJ65.854.A863.86 A.AKQ9.Q974.Q432 K8432.T72.J.AKJ5 | 1S-P-2S-X-P-3D-3S
411   W  4H-W                    JT85.K8.T75.7532 K9.Q96.842.KT984 A763.43.A63.AQJ6 Q42.AJT752.KQJ9. | 1H-P-2H-P-4H
412   W  2H-W                    JT72.J83.8.KJ873 43.T972.AQJT52.T AQ85.Q.K943.A942 K96.AK654.76.Q65 | 1H-P-2H
413   W  2H-W                    743.QJT.8764.A62 82.9532.AT3.K854 AQT5.A.J952.QT97 KJ96.K8764.KQ.J3 | 1H-P-2H
414   W  4H-W                    763.7.Q872.J9654 K852.K92.K43.873 AQJ9.T6.J96.AQT2 T4.AQJ8543.AT5.K | 1H-P-2H-P-4H
415   W  2H-W                    K82.T7.AT763.543 QT94.K942.J9.T72 AJ65.A8.K852.K98 73.QJ653.Q4.AQJ6 | 1H-P-2H
416   W  2S-W                    T972.J82.K942.82 J86.AQ4.J83.J543 4.KT97.AT75.AQT7 AKQ53.653.Q6.K96 | 1S-P-2S
417   W  4S-W                    964.Q532.852.J82 KJ7.J986.T43.K94 T.AK74.KJ76.AQ75 AQ8532.T.AQ9.T63 | 1S-P-2S-X-P-3H-X-P-4S
418   W  2H-W                    Q874.J7.7432.J65 6532.Q98.J5.KQ32 KJT9.KT.AT86.AT7 A.A65432.KQ9.984 | 1H-P-2H
419   W  2H-W                    94.J95.AJT42.873 KJT7.T876.K8.T64 A832.Q.9763.AK52 Q65.AK432.Q5.QJ9 | 1H-P-2H
420   W  2H-W                    A642.Q72.T75.J43 KT95.T854.4.KT82 Q873.A.QJ86.A975 J.KJ963.AK932.Q6 | 1H-P-2H
421   W  2H-W                    9852.T75.975.QT7 7.863.AJ84.KJ963 AK64.K2.KT3.A852 QJT3.AQJ94.Q62.4 | 1H-P-2H
422   W  4H-W                    JT9832.5.984.T65 A75.JT2.KJ52.982 KQ64.KQ.AQ63.J73 .A987643.T7.AKQ4 | 1H-P-2H-P-3S=1=-P-4D-P-4H | Splinter
423   W  2H-W                    872.873.A954.843 J94.J94.JT732.AJ AKQ5.62.Q86.K752 T63.AKQT5.K.QT96 | 1H-P-2H
424   W  2H-W                    T542.75.75.KQ873 AK63.T32.JT42.64 QJ98.A6.AK63.JT2 7.KQJ984.Q98.A95 | 1H-P-2H
425   W  4H-W                    974.8.QJ863.T632 T32.KT5.A542.Q85 AQJ8.Q4.KT9.K974 K65.AJ97632.7.AJ | 1H-P-2H-P-4H
426   W  2S-W                    96.KJ87.J642.JT9 8742.A6.KT87.743 AJ.T954.A93.KQ82 KQT53.Q32.Q5.A65 | 1S-P-2S
427   W  2S-W                    65.T83.AQ873.K95 KT83.K765.5.8743 Q.A942.J962.AQT2 AJ9742.QJ.KT4.J6 | 1S-P-2S
428   W  3H-W                    T873.A743.K74.82 A4.Q652.T96.J754 KJ65..Q832.AKT96 Q92.KJT98.AJ5.Q3 | 1H-P-2H-3C-3H
429   W  2H-W                    T5.42.AK962.T873 Q97.QJ65.J854.96 K642.K3.T73.AKQ2 AJ83.AT987.Q.J54 | 1H-P-2H
430   W  2H-W                    KT2.T96.Q6.AT865 963.KQ32.54.J743 QJ85.J.A872.KQ92 A74.A8754.KJT93. | 1H-P-2H
431   W  2H-W                    8.T8.A98654.JT94 KJT93.9542.Q3.75 A542.QJ.K72.KQ32 Q76.AK763.JT.A86 | 1H-P-2H
432   W  2S-W                    T98.974.KQ96.J96 A65.T32.T52.AT53 J7.A865.A87.KQ42 KQ432.KQJ.J43.87 | 1S-P-2S
433   W  4H-W                    74.93.9875.K7653 KQ865.JT4.J42.J2 A932.A8.AK63.T84 JT.KQ7652.QT.AQ9 | 1H-P-2H-P-3H-P-4H
434   W  2S-W                    Q6.765.T6432.AT2 KT97.K92.8.J8764 84.AQT3.AQJ7.Q95 AJ532.J84.K95.K3 | 1S-P-2S
435   W  2S-W                    82.432.762.AK986 KT93.Q75.J854.43 Q4.AKT8.Q93.QJT7 AJ765.J96.AKT.52 | 1S-P-2S
436   W  2S-W                    53.Q6.9642.K8752 AJT7.T752.3.JT96 98.AKJ9.KQT8.A43 KQ642.843.AJ75.Q | 1S-P-2S
437   W  3H-W                    A96.642.862.8764 T83.T953.AJ7.J93 KJ72.A.KQ94.KQT5 Q54.KQJ87.T53.A2 | 1H-P-2H-X-P-3C-3H
438   W  5DX-N                   93.52.QJ87643.K7 J742.AT986.2.Q53 Q.KQ43.AK95.T864 AKT865.J7.T.AJ92 | 1S-3D-3S-5D-X
439   W  2H-W                    87652.K76.854.T8 AQ9.532.632.K952 KJ43.QJ.KQJ.J743 T.AT984.AT97.AQ6 | 1H-P-2H
440   W  2H-W                    Q3.KT4.T543.8432 K95.632.J82.KJT9 AJ84.J7.A976.A75 T762.AQ985.KQ.Q6 | 1H-P-2H
441   W  2H-W                    K7654.T86.Q76.86 A92.K43.J98.T542 QJT3.J7.AT32.AQ9 8.AQ952.K54.KJ73 | 1H-P-2H
442   W  2H-W                    A852.T93.J82.983 J76.K62.974.A642 QT43.Q4.AKT6.QJT K9.AJ875.Q53.K75 | 1H-P-2H
443   W  4S-W                    QT.Q9532.T642.J7 AK7.T74.J9.T9864 83.KJ86.A87.AQ53 J96542.A.KQ53.K2 | 1S-P-2S-P-4S
444   W  3S-W                    654.9432.KJ4.953 872.KJ6.T83.KJ82 9.QT75.AQ62.AQ74 AKQJT3.A8.975.T6 | 1S-P-2S-P-3S
445   W  2H-W                    72.964.T743.KQJ7 QT983.AJ3.J92.32 A654.T.AQ86.AT86 KJ.KQ8752.K5.954 | 1H-P-2H
446   W  2S-W                    J84.AJ3.43.T7532 Q92.8542.JT2.AJ4 K6.KT76.KQ87.K96 AT753.Q9.A965.Q8 | 1S-P-2S
447   W  2S-W                    J4.QJ92.T873.652 A973.T.QJ52.9743 KQ.A854.K964.AT8 T8652.K763.A.KQJ | 1S-P-2S
448   W  2S-W                    93.QJT4.6532.T53 KJ76.9863.K8.982 85.AK72.QJT9.AQ6 AQT42.5.A74.KJ74 | 1S-P-2S
449   W  2SX-W                   8753.T82.AT5.KT5 QT62.965.KJ4.972 .AKQ4.9763.AQ863 AKJ94.J73.Q82.J4 | 1S-P-2S-X
450   W  2S-W                    6.8763.J874.KJ87 J52.A2.653.A6542 74.QJ94.AKQ9.Q93 AKQT983.KT5.T2.T | 1S-P-2S
451   W  2H-W                    T87.K98.982.9532 KQJ42.Q73.T63.J6 A653.JT.AQJ5.Q74 9.A6542.K74.AKT8 | 1H-P-2H
452   W  2H-W                    654.9.AJ75.KT842 QJT93.T732.K9.76 AK87.K8.T843.A53 2.AQJ654.Q62.QJ9 | 1H-P-2H
453   W  2S-W                    85.QJT54.JT75.54 KQ97.8763.4.Q872 42.AK92.AQ8.KT63 AJT63..K9632.AJ9 | 1S-P-2S
454   W  2H-W                    852.J93.KT92.J95 AQJ7.Q87.75.8432 9643.T6.AJ6.AKQT KT.AK542.Q843.76 | 1H-P-2H
455   W  2S-W                    754.J6532.532.T2 983.Q.Q974.KQ853 KQ.KT97.AT86.A96 AJT62.A84.KJ.J74 | 1S-P-2S
456   W  2HX-W                   76.J8432.T32.AT4 T84.KQT.K64.8752 KQ32..AQ985.KJ63 AJ95.A9765.J7.Q9 | 1H-P-2H-X
457   W  4S-W                    T4.98543.Q7.JT98 Q82.76.T94.AQ654 95.AQJ2.AJ32.K32 AKJ763.KT.K865.7 | 1S-P-2S-P-4S
458   W  2H-W                    Q92.T5.AJ2.T7642 864.Q876.765.KQ8 AT73.A3.KQT4.J93 KJ5.KJ942.983.A5 | 1H-P-2H
459   W  3H-W                    J83.Q532.T9643.9 AT62.J87.85.AT32 K974.T.AKQJ.K875 Q5.AK964.72.QJ64 | 1H-P-2H-X-P-3D-3H
460   W  2H-W                    92.732.95.AT8763 A843.J85.KT842.5 KQ76.Q4.AQ73.K92 JT5.AKT96.J6.QJ4 | 1H-P-2H
461   W  2H-W                    542.872.85.KQJ97 J93.AT9.QJT62.T8 AT86.Q6.A74.A652 KQ7.KJ543.K93.43 | 1H-P-2H
462   W  2H-W                    72.J64.T876.K954 KT943.532.AQ32.T QJ86.AK.J95.QJ86 A5.QT987.K4.A732 | 1H-P-2H
463   W  2S-W                    93.K743.A987.984 8542.A98.642.Q76 KT.Q652.Q53.AKT5 AQJ76.JT.KJT.J32 | 1S-P-2S
464   W  2H-W                    97.854.KJ94.Q752 AKT.T92.T753.J64 Q643.J.A862.AKT9 J852.AKQ763.Q.83 | 1H-P-2H
465   W  2S-W                    97.K732.QJ975.T3 K832.QT.T82.J854 T5.A864.K43.AK96 AQJ64.J95.A6.Q72 | 1S-P-2S
466   W  2H-W                    J642.J2.Q732.J72 8.T87.AK65.Q9643 AQT9.A6.T94.AT85 K753.KQ9543.J8.K | 1H-P-2H
467   W  2H-W                    QJ4.J943.T43.J74 KT95.A65.975.Q93 A873.T.K862.AK86 62.KQ872.AQJ.T52 | 1H-P-2H
468   W  2S-W                    T5.A85.97652.A86 J862.J42.J3.KT53 43.QT97.AKQ8.QJ9 AKQ97.K63.T4.742 | 1S-P-2S
469   W  2H-W                    753.K5.KT73.T853 Q98.QJ73.J92.962 AJ42.AT.A854.K74 KT6.98642.Q6.AQJ | 1H-P-2H
470   W  2H-W                    T97.952.KJ96.976 K842.Q63.752.QJ5 AQJ3.K.QT84.KT82 65.AJT874.A3.A43 | 1H-P-2H
471   W  3H-W                    J64.KJ72.6.T9765 A75.Q983.8543.J3 KT92..AK72.KQ842 Q83.AT654.QJT9.A | 1H-P-2H-3C-3H
472   W  2H-W                    T42.954.KJ732.K6 975.KQ76.84.J753 AKQ6.J.Q965.Q842 J83.AT832.AT.AT9 | 1H-P-2H
473   W  2S-W                    954.932.K2.J7643 KJ2.KJ87.JT64.92 Q8.Q654.AQ83.KQ8 AT763.AT.975.AT5 | 1S-P-2S
474   W  3S-W                    2.T752.5432.AJ87 JT64.K9.QJT86.95 Q3.AQ86.K97.K642 AK9875.J43.A.QT3 | 1S-P-2S-P-3S
475   W  2H-W                    QJT3.A82.T42.T84 K7.JT64.Q95.J972 8542.7.AJ87.AKQ3 A96.KQ953.K63.65 | 1H-P-2H
476   W  2H-W                    KT54.A43.9863.63 Q7.KT75.742.J872 9862.J.KQT5.AKQ9 AJ3.Q9862.AJ.T54 | 1H-P-2H
477   W  2H-W                    QJT987.JT6.3.852 62.432.KJ72.KJ43 K543.A5.AT84.A76 A.KQ987.Q965.QT9 | 1H-P-2H
478   W  3H-W                    743.43.A76.J9653 J86.AQ92.942.T42 KQT2.8.KJT3.AQ87 A95.KJT765.Q85.K | 1H-P-2H-X-P-3C-3H
479   W  2S-W                    A7.73.J8764.6543 JT93.Q9864.K5.98 K5.AKJT.T932.KQ7 Q8642.52.AQ.AJT2 | 1S-P-2S
480   W  2HX-W                   J872.J954.T4.T87 K95.QT7.J763.QJ4 A643..KQ85.AK952 QT.AK8632.A92.63 | 1H-P-2H-X
481   W  4C-S                    QT8.KT82.Q6.Q875 65.7643.KT987.K2 AK94..J542.AJ943 J732.AQJ95.A3.T6 | 1H-P-2H-3C-3H-4C
482   W  3S-W                    JT76.9763.J4.T96 Q83.J8.K765.K853 2.KQT4.AT82.AQJ7 AK954.A52.Q93.42 | 1S-P-2S-X-P-3H-3S
483   W  3S-N                    QT75.J84.9732.72 863.T97.4.AKJT64 AK92.A2.KQJ6.953 J4.KQ653.AT85.Q8 | 1H-P-2H-X-P-2S-3H-3S
484   W  2S-W                    854.J872.86.Q754 KJ9.54.KJ5432.T8 62.AQ96.QT7.AKJ2 AQT73.KT3.A9.963 | 1S-P-2S
485   W  2S-W                    75.Q52.52.T97652 AT8.98764.KQ983. K6.KJT3.A76.KQJ3 QJ9432.A.JT4.A84 | 1S-P-2S
486   W  2S-W                    JT9.A872.862.QT6 K532.963.KT7.743 6.QJ54.Q543.AKJ8 AQ874.KT.AJ9.952 | 1S-P-2S
487   W  2H-W                    QJ96.87.T5.KT542 T83.AK63.8743.83 AK74.J4.AJ92.Q76 52.QT952.KQ6.AJ9 | 1H-P-2H
488   W  2S-W                    62.762.K98.KT943 K984.4.Q765.J872 J3.KQT9.AJT4.A65 AQT75.AJ853.32.Q | 1S-P-2S
489   W  2S-W                    J97.J6.753.97543 643.T975.J62.AK2 T2.AKQ3.KQT8.Q86 AKQ85.842.A94.JT | 1S-P-2S
490   W  2H-W                    9876.T43.962.T72 AKT42.976.Q75.64 QJ53.J8.AKJ.AJ83 .AKQ52.T843.KQ95 | 1H-P-2H
491   W  2H-W                    63.65.QT84.AJ954 A854.9432.K32.72 QT92.QJ.A765.KQ6 KJ7.AKT87.J9.T83 | 1H-P-2H
492   W  3S-W                    Q42.AJ.42.JT7652 T765.T6543.K8.K8 .KQ72.QJT63.AQ93 AKJ983.98.A975.4 | 1S-P-2S-3D-3S
493   W  2H-W                    A732.2.Q9752.752 T8.8743.T63.AQ84 QJ95.A6.AKJ.JT93 K64.KQJT95.84.K6 | 1H-P-2H
494   W  2S-W                    Q5.T986.T43.J632 KT93.A4.8765.T97 82.KQJ5.AQJ2.K84 AJ764.732.K9.AQ5 | 1S-P-2S
495   W  3CX-S                   976.QT952.J63.84 QJ43.J83.Q75.Q97 A852..KT82.AKJ65 KT.AK764.A94.T32 | 1H-P-2H-3C-X
496   W  2H-W                    QT987.T8.97643.Q 54.Q732.Q8.K9652 KJ63.K6.AKJ.J843 A2.AJ954.T52.AT7 | 1H-P-2H
497   W  2S-W                    T86.KJ.75432.JT8 K53.962.Q98.K942 AJ.A854.AJT.7653 Q9742.QT73.K6.AQ | 1S-P-2S
498   W  3S-N                    T98732.Q53.95.93 Q6.642.AT42.Q876 AJ54.AK.Q876.A42 K.JT987.KJ3.KJT5 | 1H-P-2H-X-P-2S-P-3S
499   W  4S-W                    5.Q5432.J865.Q54 Q963.T87.3.AJ932 KJ.AKJ6.T72.KT86 AT8742.9.AKQ94.7 | 1S-P-2S-P-4S
500   W  2H-W                    KQ82.T53.T4.7653 JT6.KQ2.985.QT42 A954.86.A763.AK8 73.AJ974.KQJ2.J9 | 1H-P-2H

             -- Sorted Summary of Bidding Sequences --

    1  1H-1S-2H-3H=1=-X-P-P-3S-4H-4S-5H-X | Limit raise or better in !S
    1  1H-2S-P-4S
    1  1H-3D-3H-4D-4H
    1  1H-3S-P-4H=1=-X-4S-5H-5S | Limit raise or better in !S
    1  1H-4N=1=-P-5C | Unusual 4NT
  168  1H-P-2H
    7  1H-P-2H-3C-3H
    1  1H-P-2H-3C-3H-4C
    1  1H-P-2H-3C-4H
    1  1H-P-2H-3C-P-P-X
    2  1H-P-2H-3C-X
    6  1H-P-2H-3D-3H
    1  1H-P-2H-3D-P-P-3H
    1  1H-P-2H-3D-P-P-X
    1  1H-P-2H-P-3H
    2  1H-P-2H-P-3H-P-4H
    1  1H-P-2H-P-3S=1=-P-4D-P-4H | Splinter
    1  1H-P-2H-P-4C=1=-P-4H | Splinter
    1  1H-P-2H-P-4D=1=-P-4H | Splinter
   24  1H-P-2H-P-4H
    4  1H-P-2H-X
    2  1H-P-2H-X-4H
    1  1H-P-2H-X-4H-4S-P-P-X
    2  1H-P-2H-X-P-2S-3H
    5  1H-P-2H-X-P-2S-3H-3S
    1  1H-P-2H-X-P-2S-3H-3S-4H
    1  1H-P-2H-X-P-2S-3H-3S-4H-4S
    2  1H-P-2H-X-P-2S-3H-3S-4H-X
    1  1H-P-2H-X-P-2S-3H-P-4H
    1  1H-P-2H-X-P-2S-3H-P-4H-P-P-4S-X
    2  1H-P-2H-X-P-2S-P-3S
    1  1H-P-2H-X-P-2S-P-3S-4H
    1  1H-P-2H-X-P-2S-P-3S-4H-X
    1  1H-P-2H-X-P-3C
    5  1H-P-2H-X-P-3C-3H
    1  1H-P-2H-X-P-3C-3H-4C
    1  1H-P-2H-X-P-3C-3H-P-P-4C-P-P-X
    1  1H-P-2H-X-P-3C-3H-X-P-4C-P-P-X
    2  1H-P-2H-X-P-3C-P-P-3H
    3  1H-P-2H-X-P-3D-3H
    1  1H-P-2H-X-P-3D-3H-P-4H-5D-X
    1  1H-P-2H-X-P-3D-3H-P-P-4D
    1  1H-P-2H-X-P-3D-3H-P-P-4D-P-P-X
    1  1H-P-2H-X-P-3D-P-P-3H
    1  1H-P-2H-X-XX
    1  1H-P-2H-X-XX-2S-3H-3S-P-P-4H
    1  1S-3D-3S-5D-X
    1  1S-4C-P-5C
  160  1S-P-2S
    1  1S-P-2S-3C-3S
    1  1S-P-2S-3C-X
    2  1S-P-2S-3D-3S
    1  1S-P-2S-3D-4S
    1  1S-P-2S-3D-P-3S=1=-X-P-P-4D-P-5D | Limit raise or better in !D
    1  1S-P-2S-3D-X
    5  1S-P-2S-P-3S
    4  1S-P-2S-P-3S-P-4S
    1  1S-P-2S-P-4C=1=-P-4S | Splinter
    2  1S-P-2S-P-4D=1=-P-4S | Splinter
    2  1S-P-2S-P-4H=1=-P-4S | Splinter
   18  1S-P-2S-P-4S
    4  1S-P-2S-X
    2  1S-P-2S-X-4S
    1  1S-P-2S-X-P-2N
    2  1S-P-2S-X-P-3C
    1  1S-P-2S-X-P-3C-3S
    1  1S-P-2S-X-P-3C-3S-4C
    2  1S-P-2S-X-P-3C-P-P-3S
    2  1S-P-2S-X-P-3D-3S
    1  1S-P-2S-X-P-3D-3S-P-P-4D-4S-P-P-X
    1  1S-P-2S-X-P-3D-3S-P-P-4D-P-P-4S
    7  1S-P-2S-X-P-3H-3S
    2  1S-P-2S-X-P-3H-P-P-3S
    1  1S-P-2S-X-P-3H-X-P-4S
    1  1S-P-2S-X-XX-3C-3S
    4  1S-P-4S

   -- Sorted Summary of Notes (the first character is forced to upper case) --

    1  Limit raise or better in !D
    2  Limit raise or better in !S
    8  Splinter
    1  Unusual 4NT
