../bba/Hold_Up_3N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
358   S  3N-S       430          AT2.J2.A953.K872 65.93.K876.AT653 KQJ83.AT4.QJ.Q94 974.KQ8765.T42.J | 1N-P-3N
359   S  3N-S       600          642.J62.A6.AJ632 KJT75.983.T953.K A98.A4.KQJ7.QT74 Q3.KQT75.842.985 | 1N-P-3N
360   S  3N-S       400          KT5.J98.AQT8.543 J976.43.KJ43.KT2 AQ432.A62.95.AQ9 8.KQT75.762.J876 | 1N-P-3N
361   S  3N-S       400          J8.984.AJ6.KJ874 KQT73.7.K853.962 A52.A5.QT972.AQ3 964.KQJT632.4.T5 | 1N-3H-3N
362   S  3N-S       600          J32.432.AJ54.A42 AQ4.975.KT.J9873 KT98.AJ.Q983.KQ6 765.KQT86.762.T5 | 1N-P-3N
363   S  3N-S       430          J93.T9.KQ43.KJ64 8654.J73.92.AQ52 AKQT.A85.A876.83 72.KQ642.JT5.T97 | 1N-P-3N
364   S  3N-S       660          KT5.64.AK764.J95 J97.J3.T32.AT632 AQ842.AT8.Q5.KQ4 63.KQ9752.J98.87 | 1N-P-3N
365   S  3N-S       630          62.942.AK74.A982 KJ984.73.Q853.63 AQT.A86.J962.KQT 753.KQJT5.T.J754 | 1N-P-3N
366   S  3N-S       400          A3.T74.J95.KQ762 QJ985.52.AQ763.9 K764.AJ.KT2.AJ83 T2.KQ9863.84.T54 | 1N-P-3N
367   S  3N-S       630          Q72.52.KQT2.KQ86 98653.43.9874.AJ AKJ.A9.A65.T9543 T4.KQJT876.J3.72 | 1N-3H-3N
368   S  3N-S       400          AJ5.74.AT42.K632 T8632.5.KQ8.QT74 KQ97.A92.J3.AJ95 4.KQJT863.9765.8 | 1N-3H-3N
369   S  3H-W        50          J84.98.AKJT9.J74 QT965.T.Q874.K32 AK2.AJ7.6532.A86 73.KQ65432..QT95 | 1N-3H
370   S  3N-S       600          K94.T4.A7543.A73 T.J97.982.KQJ942 AJ732.A3.KQJ.865 Q865.KQ8652.T6.T | 1N-P-3N
371   S  3N-S       400          KJ4.T96.J5.AQ654 A9763.J84.82.J87 Q82.A2.AK73.KT93 T5.KQ753.QT964.2 | 1N-P-3N
372   S  2N-S       150          Q8.654.K654.AJ86 A974.9.QT83.QT74 KJT3.AT7.AJ72.K9 652.KQJ832.9.532 | 1N-P-2N
373   S  2N-S       150          KQ7.JT4.J842.QJ9 A964.53.KQT9.743 JT83.A96.A7.AK62 52.KQ872.653.T85 | 1N-P-2N
374   S  3N-S       430          QJ2.J8.643.AKT76 8643.72.AQ987.83 AKT7.AT5.K5.QJ52 95.KQ9643.JT2.94 | 1N-P-3N
375   S  3N-S       630          K63.J6.KQJ43.Q63 A8754.532.T87.75 Q92.A87.A62.AK94 JT.KQT94.95.JT82 | 1N-P-3N
376   S  3N-S       430          AQ4.853.JT3.A986 762.T.K95.QJT742 K9.AJ7.AQ872.K53 JT853.KQ9642.64. | 1N-P-3N
377   S  3N-S       400          A54.J32.JT42.A83 T976.764.K86.KQT KQJ83.A8.AQ7.762 2.KQT95.953.J954 | 1N-P-3N
378   S  3N-S       600          A8.972.J42.KQT85 K65.T.K9876.J632 QT432.A63.AQ3.A4 J97.KQJ854.T5.97 | 1N-P-3N
379   S  3N-S       430          A74.J65.AQ94.J42 5.83.KT86.KT9863 KQ82.AT7.J52.AQ5 JT963.KQ942.73.7 | 1N-P-3N
380   S  3N-S       600          AQT.JT7.QJ65.T32 J9765.5.AKT32.75 K42.A42.98.AKJ64 83.KQ9863.74.Q98 | 1N-P-3N
381   S  3N-S       600          AJT.52.A432.J632 Q72.J8.KQJ986.T4 K9653.A94.T7.AKQ 84.KQT763.5.9875 | 1N-P-3N
382   S  3N-S       400          K82.J5.KT75.K876 Q96.T84.AJ632.Q2 AT7.A72.Q84.AJ93 J543.KQ963.9.T54 | 1N-P-3N
383   S  3N-S       630          A52.T2.542.AQJT3 Q76.943.KJ9863.2 K9.AJ7.AQT7.K764 JT843.KQ865..985 | 1N-P-3N
384   S  2N-S       150          A87.82.QT4.AT542 J942.J53.K7.K763 KQ65.A7.A983.QJ8 T3.KQT964.J652.9 | 1N-P-2N
385   S  3N-S       400          AJ3.J65.K84.Q763 KQ7654.2.Q5.JT82 92.A97.AJT7.AK54 T8.KQT843.9632.9 | 1N-P-3N
386   S  3N-S       600          AT9.94.KT64.K765 QJ6542.87.A83.43 K3.AJ6.J952.AQJ9 87.KQT532.Q7.T82 | 1N-P-3N
387   S  3H-W      -140          T73.83.AKQJ5.T54 AJ62.T7.32.A9762 KQ5.A4.T976.KQJ8 984.KQJ9652.84.3 | 1N-3H
388   S  3N-S       600          KJ3.642.AQ932.J3 T984.987.KJ5.K72 AQ52.A5.T87.AQT4 76.KQJT3.64.9865 | 1N-P-3N
389   S  3N-S       600          KT.984.AK973.J95 AQ87.J5.JT62.872 96543.A73.Q5.AKQ J2.KQT62.84.T643 | 1N-P-3N
390   S  3N-S       430          K65.93.KJ3.AJT95 AQ8743.764.764.4 JT92.A2.AQ92.KQ6 .KQJT85.T85.8732 | 1N-P-3N
391   S  3H-W       200          K74.643.KT2.AQ82 QT9852.7.QJ3.T53 AJ3.A9.A74.K9764 6.KQJT852.9865.J | 1N-3H
392   S  3N-S       430          AT9.J7.K94.KT986 QJ876.53.QJ83.42 K43.A98.A765.AQ3 52.KQT642.T2.J75 | 1N-P-3N
393   S  3H-W       300          KJ8.72.AQ63.JT96 QT763.3.T852.K42 A52.A98.K4.AQ875 94.KQJT654.J97.3 | 1N-3H
394   S  3N-S       630          A73.J8.J964.KJ43 K8.762.K8753.865 QJ52.A5.AQT2.AT9 T964.KQT943..Q72 | 1N-P-2N-P-3N
395   S  3N-S       400          K97.J98.9653.KQJ AQT6.T53.QJ7.543 J83.A6.AKT4.AT62 542.KQ742.82.987 | 1N-P-3N
396   S  3N-S       630          AT5.762.KJ4.AT86 J4.J84.Q86.Q9753 K932.A5.A973.KJ4 Q876.KQT93.T52.2 | 1N-P-3N
397   S  3N-S       630          AJ5.J73.T32.AJT7 K9864.T9.Q97.Q82 QT32.A42.AK8.K53 7.KQ865.J654.964 | 1N-P-3N
398   S  2N-S       150          Q5.T54.AJT2.K962 AT6.72.K87.J8743 KJ7.A3.Q963.AQT5 98432.KQJ986.54. | 1N-P-2N
399   S  3N-S       630          Q76.T96.KJ5.KQ95 KT942.54.873.AT4 AJ53.A2.AQ92.J82 8.KQJ873.T64.763 | 1N-P-3N
400   S  3N-S       430          K98.T5.AQ6.QT765 543.87.K9872.K32 AQ76.AJ3.54.AJ94 JT2.KQ9642.JT3.8 | 1N-P-3N
401   S  3N-S       400          QJ8.T43.KQJ63.QJ AT942.96.T5.KT74 K63.A72.A97.A862 75.KQJ85.842.953 | 1N-P-3N
402   S  3N-S       600          AT7.53.KJ3.KT983 Q82.T94.AQT94.52 K93.AJ2.86.AQJ74 J654.KQ876.752.6 | 1N-P-3N
403   S  3N-S       430          AQ7.754.K65.QJ87 JT54.J2.A42.T532 K92.A8.QJT83.AK9 863.KQT963.97.64 | 1N-P-3N
404   S  3N-S       630          AJT.J83.T74.A765 K9432.T9.3.K9432 Q65.A6.AKJ82.QJ8 87.KQ7542.Q965.T | 1N-P-3N
405   S  3N-S       600          982.98.Q86.AKJ64 QJ.742.AT742.732 AKT76.AT6.K3.Q98 543.KQJ53.J95.T5 | 1N-P-3N
406   S  3N-S       400          J3.982.AQ93.A642 KT954.6.J8764.K5 A872.AJ3.K2.QJT3 Q6.KQT754.T5.987 | 1N-P-3N
407   S  3N-S       630          K53.52.T97.AQJ95 97.J98.KJ8632.K3 AQJ84.A74.AQ5.T6 T62.KQT63.4.8742 | 1N-P-3N
408   S  3N-S       400          AQ.JT3.K864.9543 JT9853.84.JT.KJT K42.A65.AQ32.A62 76.KQ972.975.Q87 | 1N-P-3N
409   S  3N-S       400          K32.T84.QJT.KJT8 J5.J32.A7643.A93 AQ987.A9.K95.Q42 T64.KQ765.82.765 | 1N-P-3N
410   S  3N-S       630          A86.T9.Q542.AJ65 KJT4.J52.T983.T8 53.A43.AKJ7.KQ43 Q972.KQ876.6.972 | 1N-P-3N
411   S  3H-W        50          J93.JT.QJ6.AQ985 A842.4.8432.KT42 KT.A95.AKT9.J763 Q765.KQ87632.75. | 1N-3H
412   S  3N-S       600          K76.73.AJ65.KJ87 J543.92.K73.Q654 AQT2.AJ6.9842.A3 98.KQT854.QT.T92 | 1N-P-3N
413   S  3N-S       630          J9.JT7.QT4.AKT95 Q8532.32.K93.Q76 AK7.A84.AJ62.J82 T64.KQ965.875.43 | 1N-P-3N
414   S  3N-S       400          T87.982.K9.AK542 QJ93.76.QJT7.Q73 AK654.AJ4.A54.98 2.KQT53.8632.JT6 | 1N-P-3N
415   S  3N-S       600          A95.98.KT853.KJ8 Q43.J75.QJ6.Q642 K76.A64.A4.AT975 JT82.KQT32.972.3 | 1N-P-3N
416   S  3N-S       400          K32.J64.K83.KJ98 AQJ98.T82.54.732 754.A9.AQJ7.AT54 T6.KQ753.T962.Q6 | 1N-P-3N
417   S  3N-S       400          KQT.632.96.AJT85 A94.T84.QJ85.976 632.A5.AK3.KQ432 J875.KQJ97.T742. | 1N-P-3N
418   S  3N-S       630          AK9.973.QJ743.Q5 T7.84.K852.JT743 Q865.AT6.AT.AK98 J432.KQJ52.96.62 | 1N-P-3N
419   S  3N-S       430          A5.J86.QJ65.A653 9764.74.743.KQ82 KQ82.A95.AKT.T74 JT3.KQT32.982.J9 | 1N-P-3N
420   S  3N-S       600          Q42.754.AQJ4.QT9 A753.T.K963.7653 KJ8.A83.82.AKJ84 T96.KQJ962.T75.2 | 1N-P-3N
421   S  3N-S       600          A92.J74.K6.QJ764 QJ8765.2.QJ95.K3 KT4.AT8.AT2.A982 3.KQ9653.8743.T5 | 1N-P-3N
422   S  3N-S       430          QT2.T87.KT32.AK7 96.52.A9765.QJ82 AK75.AJ3.QJ84.T4 J843.KQ964..9653 | 1N-P-3N
423   S  3N-S       600          KQ3.72.Q9532.KJ3 T.943.T86.AQ9542 A965.A8.AKJ4.876 J8742.KQJT65.7.T | 1N-2H-3D-3H-3N
424   S  3N-S       400          AQ2.642.KJ7.9432 643.J7.A95432.K7 KJ5.A93.QT6.AQJ6 T987.KQT85.8.T85 | 1N-P-3N
425   S  3H-W       100          AQJ.875.J654.Q96 982.3.A87.AJT532 KT54.A6.KQ93.K74 763.KQJT942.T2.8 | 1N-3H
426   S  3N-S       630          AK3.J72.Q876.J52 T74.T9.AKT54.643 Q52.A43.J9.AKQ97 J986.KQ865.32.T8 | 1N-P-3N
427   S  3N-S       400          K2.T96.KJ93.K742 9865.J75.AQ4.JT6 AQ43.A4.T865.AQ9 JT7.KQ832.72.853 | 1N-P-3N
428   S  3N-S       600          74.T76.K974.AQJ7 KT953.53.AQ8.T54 AQ.AJ9.J632.K986 J862.KQ842.T5.32 | 1N-P-3N
429   S  3N-S       600          A82.T93.J63.AJ85 K754.84.K42.KT32 QJ9.AJ.AQT98.Q76 T63.KQ7652.75.94 | 1N-P-3N
430   S  3N-S       400          65.JT9.AKT2.KT86 KT8.3.QJ53.Q9543 AQJ97.A72.87.A72 432.KQ8654.964.J | 1N-P-3N
431   S  3N-S       630          A84.J97.AJT97.54 9763.4.632.KQJ97 KJT2.A5.KQ84.A62 Q5.KQT8632.5.T83 | 1N-3H-3N
432   S  5D-S      -150          A85.64.8752.AK64 KT742..J943.Q852 QJ3.AJ8.AKT.JT73 96.KQT97532.Q6.9 | 1N-4H-X-P-5D
433   S  3N-S       430          A8.862.AQ632.Q93 Q93.4.JT874.KT76 KJT64.AJ7.K9.A52 752.KQT953.5.J84 | 1N-P-3N
434   S  3N-S       600          A3.T98.QJ764.A92 QJT654.75.AT53.6 K72.A62.K92.KQ83 98.KQJ43.8.JT754 | 1N-P-3N
435   S  3N-S       400          K83.J43.K32.K742 QT9.65.AJT54.QT6 AJ762.AT8.Q8.A53 54.KQ972.976.J98 | 1N-P-3N
436   S  3N-S       600          KJ.T74.T964.AQ63 AQT94.96.Q82.J97 73.AJ3.AK73.KT54 8652.KQ852.J5.82 | 1N-P-3N
437   S  3N-S       630          AQ9.T74.T732.A92 J43.32.J986.KQT6 K52.A8.AKQ54.J83 T876.KQJ965..754 | 1N-P-3N
438   S  3N-S       430          92.T76.K92.AKQT5 T873.J52.A86.764 AKJ4.A9.QJ75.J93 Q65.KQ843.T43.82 | 1N-P-3N
439   S  3N-S       600          A9.842.AK64.9843 J7652.65.J8.KQT6 KQT3.AT.Q932.A75 84.KQJ973.T75.J2 | 1N-P-3N
440   S  3N-S       400          K85.T4.K732.AT43 QJ764.82.QT54.K2 AT3.A6.AJ8.Q9765 92.KQJ9753.96.J8 | 1N-3H-3N
441   S  3N-S       430          A54.JT.AQJ73.754 QJT9.95.T652.AT3 K32.A2.K94.KQJ82 876.KQ87643.8.96 | 1N-P-3N
442   S  3N-S       600          A54.J7.QT95.QJ54 97.T86.K643.AK73 KQJ2.A53.AJ82.92 T863.KQ942.7.T86 | 1N-P-3N
443   S  3N-S       430          A62.J63.A97.K964 QT984.T74.43.A32 K75.A9.KQJT2.QT5 J3.KQ852.865.J87 | 1N-P-3N
444   S  3N-S       600          K4.JT6.Q82.AJT92 Q96532.42.KJ9.K8 AJ8.A98.AT3.Q765 T7.KQ753.7654.43 | 1N-P-3N
445   S  3N-S       630          KJ7.J6.KQ9.JT432 Q9.953.J8742.A76 A652.A82.AT.KQ98 T843.KQT74.653.5 | 1N-P-3N
446   S  3N-S       430          T73.J4.AK84.AT72 KJ86.876.J73.J84 AQ92.A2.Q52.K953 54.KQT953.T96.Q6 | 1N-P-3N
447   S  4S-S      -300          KQ3.J5.AJ874.J93 T92..KT96.A87654 A875.A86.Q53.KQT J64.KQT97432.2.2 | 1N-4H-X-P-4S
448   S  3N-S       430          K5.942.AJ4.K8652 J764.J8.9873.A43 AQT92.A3.KT5.QJT 83.KQT765.Q62.97 | 1N-P-3N
449   S  3N-S       400          QJ3.J4.A863.QJ54 K62.T62.42.KT732 AT9.A5.KJ95.A986 8754.KQ9873.QT7. | 1N-P-3N
450   S  3N-S       600          AQ.864.K432.QT54 8652.2.AJT985.K8 KJ3.AJ.Q76.AJ973 T974.KQT9753..62 | 1N-3H-3N
451   S  3N-S       430          KT4.762.KJT4.A54 AJ95.T.Q762.J732 Q63.AJ8.A953.KQ6 872.KQ9543.8.T98 | 1N-P-3N
452   S  3N-S       600          JT5.J98.A542.KJ3 K642.72.K986.QT4 AQ98.AT5.JT.A975 73.KQ643.Q73.862 | 1N-P-3N
453   S  3N-S       630          Q98.984.K97.AKT8 J643.T7.QJ.QJ764 AKT2.AJ3.A432.32 75.KQ652.T865.95 | 1N-P-3N
454   S  3N-S       430          863.96.KQ853.AK4 KJ4.JT7.T962.QJ8 AQT2.A54.AJ4.T96 975.KQ832.7.7532 | 1N-P-3N
455   S  3N-S       630          K75.862.KQJ62.Q4 QT42.T3.A53.7632 AJ3.A7.T94.AKJ85 986.KQJ954.87.T9 | 1N-P-3N
456   S  3N-S       430          K8.T85.A762.KT42 Q653.763.KJ5.873 AJ9.AJ.QT4.AJ965 T742.KQ942.983.Q | 1N-P-3N
457   S  3N-S       430          Q62.98.AQ72.QJ97 JT94.632.J93.A42 AK875.AT.KT8.K63 3.KQJ754.654.T85 | 1N-P-3N
458   S  3N-S       630          KT7.T62.Q642.AQ3 982.7.AT8.JT9865 AQ643.AJ.K53.K72 J5.KQ98543.J97.4 | 1N-3H-3N
459   S  3H-W        50          QJ7.62.Q843.AJ76 T642.5.KT.KQT982 AK953.AT8.A96.53 8.KQJ9743.J752.4 | 1N-3H
460   S  3N-S       630          K84.T2.K52.KQ954 JT.J75.JT986.AT2 AQ76.A3.AQ74.J73 9532.KQ9864.3.86 | 1N-P-3N
461   S  3H-W       200          AQ3.J32.Q4.J9643 JT5..A98762.AT75 K8742.A54.K53.KQ 96.KQT9876.JT.82 | 1N-3H
462   S  3N-S       430          A72.62.AKT.T9875 865.4.Q8543.KQ43 KQJ9.A53.J76.AJ6 T43.KQJT987.92.2 | 1N-3H-3N
463   S  3N-S       630          AK5.J76.KJ7.7542 QJ94.932.T6.K983 T72.A4.A982.AQJT 863.KQT85.Q543.6 | 1N-P-3N
464   S  3N-S       430          Q76.T9.KQJ32.Q75 AT5.765.4.KJ9832 KJ42.A32.AT98.A6 983.KQJ84.765.T4 | 1N-P-3D-P-3N
465   S  3N-S       430          J32.J32.KT3.AJ84 K96.76.QJ652.973 A85.AT.A97.KQT62 QT74.KQ9854.84.5 | 1N-P-3N
466   S  3N-S      -100          KJ4.J82.T8.KQ985 T7.64.AKQ753.J62 AQ952.A9.J62.AT4 863.KQT753.94.73 | 1N-P-3N
467   S  3N-S       430          KT3.53.AT652.KJ7 J74.T94.J8.A9654 AQ95.AJ2.K93.Q82 862.KQ876.Q74.T3 | 1N-P-3N
468   S  3N-S       630          AT3.973.QJ3.AT64 942.64.A65.QJ982 KQJ76.AT2.K84.K7 85.KQJ85.T972.53 | 1N-P-3N
469   S  3N-S      -100          T3.J65.KQJ83.K96 AKQ72.94.95.T843 J6.A72.AT62.AQJ2 9854.KQT83.74.75 | 1N-P-3N
470   S  3N-S       400          JT.952.AT42.KQ53 K942.7.QJ53.J984 A86.AJ4.K976.A76 Q753.KQT863.8.T2 | 1N-P-3N
471   S  3N-S       630          A43.T75.KJ87.Q63 KQ75.943.653.J94 T98.A2.AQT4.AKT5 J62.KQJ86.92.872 | 1N-P-3N
472   S  3N-S       400          KJT.T4.T43.AQT98 A9875.76.A9.7542 Q64.A93.KQ862.KJ 32.KQJ852.J75.63 | 1N-P-3N
473   S  3H-W       300          964.965.AJ2.AJ95 AT72..98743.Q842 KQJ5.AJ4.KT5.K76 83.KQT8732.Q6.T3 | 1N-3H
474   S  3H-W       200          Q85.T3.AJ92.A632 AJ943.98.Q63.874 KT76.AJ.K84.KQ95 2.KQ76542.T75.JT | 1N-3H
475   S  2N-S       150          KT4.42.AT43.QJT7 J7653.T98.K96.A5 AQ92.A3.QJ7.K842 8.KQJ765.852.963 | 1N-P-2N
476   S  3N-S       630          AJ6.852.AQJ2.843 Q943.4.K875.KT95 KT75.AJT.643.AQJ 82.KQ9763.T9.762 | 1N-P-3N
477   S  3N-S       630          J4.T74.AQT5.KJ65 T65.85.J864.AQ92 AKQ98.A93.K73.T7 732.KQJ62.92.843 | 1N-P-3N
478   S  4S-S       420          A54.86.KJ95.QT96 8632.T92.A4.A874 KQJT9.AJ3.Q62.K3 7.KQ754.T873.J52 | 1N-P-2N-P-3S-P-4S
479   S  3N-S       630          Q84.T64.KJ97.AQ4 K63.3.Q543.J7532 AJ75.A8.A62.K986 T92.KQJ9752.T8.T | 1N-3H-3N
480   S  3H-W       100          A93.94.KJ753.KT7 KJT765.T.962.Q93 Q842.A32.AQT.A86 .KQJ8765.84.J542 | 1N-3H
481   S  3N-S       430          QJ6.65.AT7.AJT98 KT8752.94.QJ84.2 A9.AT7.K96.KQ743 43.KQJ832.532.65 | 1N-P-3N
482   S  3N-S       600          K54.764.KT.KJ832 AQ62.J5.Q9754.76 T3.AT3.AJ8.AQT95 J987.KQ982.632.4 | 1N-P-3N
483   S  3N-S       430          AT2.J97.K8.K8542 KQJ865.3.965.963 943.A42.AQ32.AQJ 7.KQT865.JT74.T7 | 1N-P-3N
484   S  3N-S       630          K84.J4.J9765.AJT 97.T73.KQT843.Q7 AQ63.A95.A2.K532 JT52.KQ862..9864 | 1N-P-3N
485   S  3N-S       630          Q64.862.A9.KJ954 A952.T.Q8542.T76 KT3.A74.KJT76.AQ J87.KQJ953.3.832 | 1N-P-3N
486   S  3N-S       430          J95.J8.K875.AQ96 QT87.643.92.K753 AK4.AT5.AJ64.JT2 632.KQ972.QT3.84 | 1N-P-3N
487   S  3H-W       100          JT3.92.AQJT2.K73 Q987.7.8743.AQT5 AK64.A65.K9.J842 52.KQJT843.65.96 | 1N-3H
488   S  3N-S       400          KJT.53.Q93.KJ986 Q953.864.A862.Q2 A642.AT.KT5.A753 87.KQJ972.J74.T4 | 1N-P-3N
489   S  3N-S       430          KQ8.J2.862.AQ975 932.753.JT43.KT3 AJT74.A64.AK9.J8 65.KQT98.Q75.642 | 1N-P-3N
490   S  3N-S       660          KQ5.864.AK85.863 JT.J3.J6.QJT7542 A9872.AT9.Q3.AK9 643.KQ752.T9742. | 1N-P-3N
491   S  3N-S       460          A62.932.AKT3.JT6 KQJT974.76.954.2 83.A85.QJ8.AKQ87 5.KQJT4.762.9543 | 1N-P-3N
492   S  3N-S       600          J87.J43.AKJ93.72 AQ6.6.T874.KT543 K5432.A72.Q5.AQ8 T9.KQT985.62.J96 | 1N-P-3N
493   S  3N-S       630          T95.J6.KQJ32.KQ7 AQ8643.843.6.932 KJ.AT9.A987.AT86 72.KQ752.T54.J54 | 1N-P-3N
494   S  3N-S       430          K98.76.KT53.AQ84 QT753.J83.Q6.JT9 AJ6.A2.A8742.K75 42.KQT954.J9.632 | 1N-P-3N
495   S  3N-S       630          Q9.874.AK742.Q95 KJ764.T5.J98.T74 AT2.A92.QT65.AK3 853.KQJ63.3.J862 | 1N-P-3N
496   S  3N-S       430          Q86.872.AQ542.K2 K9753.T4.T6.A975 AJT.AJ.KJ7.QJT83 42.KQ9653.983.64 | 1N-P-3N
497   S  3N-S       400          K4.J76.KQ64.JT92 AT8.T9.AT953.753 Q75.A54.J72.AKQ8 J9632.KQ832.8.64 | 1N-P-3N
498   S  3N-S       600          KQT.J96.T954.A97 J6.532.7632.KQ85 A872.A7.AKJ.JT43 9543.KQT84.Q8.62 | 1N-P-3N
499   S  3N-S       400          K74.J65.KJ54.K83 JT3.84.T876.AJ54 AQ986.A73.A92.Q6 52.KQT92.Q3.T972 | 1N-P-3N
500   S  3N-S       600          93.J62.KJT96.AQT KQ8764.754.Q.763 A52.A8.A873.K984 JT.KQT93.542.J52 | 1N-P-3N

             -- Sorted Summary of Bidding Sequences --

    1  1N-2H
    1  1N-2H-3C-P-3D
    1  1N-2H-3C-P-3N
    1  1N-2H-3C-P-3S
    1  1N-2H-3C-P-3S-P-4H=1=-P-4S | Limit raise or better in !S
    1  1N-2H-3D-3H-3N
    1  1N-2H-3D-P-3N
    1  1N-2H-3D-P-4C-P-5C
   26  1N-3H
   23  1N-3H-3N
    3  1N-4H-X-P-4S
    2  1N-4H-X-P-5D
   23  1N-P-2N
    1  1N-P-2N-3S-P-P-4C
    6  1N-P-2N-P-3N
    1  1N-P-2N-P-3S-P-3N
    1  1N-P-2N-P-3S-P-4S
    4  1N-P-3D-P-3N
  402  1N-P-3N

   -- Sorted Summary of Notes (the first character is forced to upper case) --

    1  Limit raise or better in !S
