../bba/Minor_Suit_Opener_Mixed_Raise.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
342   S  3N-S                    K62.83.Q9543.A95 JT98.Q762.T.Q873 A54.AK94.A862.K2 Q73.JT5.KJ7.JT64 | 1D-P-3D-P-3N
343   S  3C-S                    K75.J5.A64.J8754 AT62.T84.KQ87.96 J4.KQ72.J52.AQT2 Q983.A963.T93.K3 | 1C-P-3C
344   S  5D-S                    QJ.865.QT8765.AT 652.JT74.32.KQ85 AT83.AKQ2.AJ4.J9 K974.93.K9.76432 | 1D-P-3D-P-3N-P-4D-P-4H-P-5D
345   S  3C-S                    742.Q2.AJ5.J7652 9853.JT5.QT943.K AQJ6.K973.8.AQ83 KT.A864.K762.T94 | 1C-P-3C
346   S  3D-S                    QT4.J85.A9542.96 A82.T732.83.AQ87 K73.Q64.KJT6.KJ2 J965.AK9.Q7.T543 | 1D-P-3D
347   S  3N-S                    83.82.AJ942.KT73 JT6.T543.K87.AJ9 AK94.AQJ.QT65.Q6 Q752.K976.3.8542 | 1D-P-3D-P-3N
348   S  5D-S                    JT4.82.J8432.K85 862.AJ5.QT7.QJT7 AK73.KQ63.AK65.9 Q95.T974.9.A6432 | 1D-P-P-X-XX-1H-3D-P-5D
349   S  2D-S                    86.95.J9864.J976 KQT3.KT82.Q7.542 A95.Q73.AKT5.AQ3 J742.AJ64.32.KT8 | 1D-P-P-X-XX-1H-2D
350   S  3D-S                    KQ9.T98.AT532.82 T85.KJ65.K6.9653 J64.A74.QJ94.AQT A732.Q32.87.KJ74 | 1D-P-3D
351   S  3N-S                    KQ5.T72.KJT93.T6 432.9654.52.KJ32 AJ7.AQ3.AQ84.Q74 T986.KJ8.76.A985 | 1D-P-3D-P-3N
352   S  3N-S                    QJ9.753.QT732.K2 T872.AQ64.J6.963 K43.KJ2.AK84.AJ8 A65.T98.95.QT754 | 1D-P-3D-P-3N
353   S  3N-S                    653.43.87643.AKT 982.K962.K5.J854 AQJ7.AT8.AQJ9.73 KT4.QJ75.T2.Q962 | 1D-P-3D-P-3N
354   S  5D-S                    92.AQ.QJ7653.732 QJ43.642.K84.KJ9 AK76.K983.AT9.A6 T85.JT75.2.QT854 | 1D-P-3D-P-3N-P-4D-P-4H-P-5D
355   S  3N-S                    863.A.A9642.T543 AJT9.QJ83.JT5.62 KQ.KT4.KQ83.KQJ9 7542.97652.7.A87 | 1D-P-3D-P-3N
356   S  3N-S                    65.75.KQ2.875432 J87.QJT2.J643.QT KQ43.K863.AT.AK6 AT92.A94.9875.J9 | 1C-P-3C-P-3N
357   S  2C-S                    J6.Q76.J87.JT652 AT32.953.AT93.83 Q74.AKJT.65.AKQ7 K985.842.KQ42.94 | 1C-P-P-X-XX-1S-2C
358   S  5C-S                    AT7.9.A86.J98753 K52.J753.J9742.Q QJ6.AK42.KQ.AT42 9843.QT86.T53.K6 | 1C-P-3C-P-3N-P-4C-P-4D-P-4H-P-5C
359   S  3N-S                    Q83.Q92.KJT76.J6 J9752.J543.2.T97 AT.AT.A9853.AK32 K64.K876.Q4.Q854 | 1D-P-3D-P-3N
360   S  3N-S                    532.KJ4.QT9852.K JT8.QT93.J.J8764 AQ.765.AK764.AQ9 K9764.A82.3.T532 | 1D-P-3D-P-3N
361   S  3N-N                    42.T96.642.KQJ93 T985.QJ4.AT73.65 KQJ6.AK82.Q8.AT4 A73.753.KJ95.872 | 1C-P-1N-P-2N-P-3C-P-3N
362   S  3N-S                    873.Q52.52.AQJ75 KQT9.KT64.QT3.83 AJ2.AJ3.AJ4.KT96 654.987.K9876.42 | 1C-P-3C-P-3N
363   S  3C-S                    QT7.K7.976.KJ984 KJ8.9843.K532.T3 A42.A652.A8.Q765 9653.QJT.QJT4.A2 | 1C-P-3C
364   S  3D-S                    QJ9.T3.J8653.A63 K63.K974.T7.QT75 A42.A82.KQ94.J42 T875.QJ65.A2.K98 | 1D-P-3D
365   S  3D-S                    97.J76.AQ854.Q65 Q653.QT5.J9.AJ43 AK4.A983.KT63.97 JT82.K42.72.KT82 | 1D-P-3D
366   S  6D-S                    Q72.K3.Q7652.T84 AK63.9872.94.Q93 J.AQJ.AKT83.AJ72 T9854.T654.J.K65 | 1D-P-3D-P-4N-P-5C=1=-P-6D | A=0/5 or 3/5
367   S  3N-S                    QJ.632.AJ862.J86 742.KQ87.T3.KT97 AKT6.JT9.KQ54.AQ 9853.A54.97.5432 | 1D-P-3D-P-3N
368   S  2D-S                    K54.J65.97643.T7 J82.A432.A8.J862 A97.KQ8.KJT5.AQ4 QT63.T97.Q2.K953 | 1D-P-P-X-XX-1S-2D
369   S  3N-S                    QT.Q98.KJT74.763 A53.J76.832.J942 KJ42.AKT5.AQ9.Q8 9876.432.65.AKT5 | 1D-P-3D-P-3N
370   S  3N-N                    K83.K3.KT842.T53 742.Q86.J9.J8762 QJT5.AJ94.AQ53.K A96.T752.76.AQ94 | 1D-P-3D-P-3H-P-3N
371   S  3N-S                    A85.T.J9862.KJT3 QT7.9432.Q7.8642 K962.AQ86.KT5.AQ J43.KJ75.A43.975 | 1D-P-3D-P-3N
372   S  3N-S                    7.Q64.JT6.AJ9742 86532.T93.A985.6 AK9.AK2.Q43.KT85 QJT4.J875.K72.Q3 | 1C-P-3C-P-3N
373   S  3D-S                    K95.92.QT543.QT4 J2.Q764.K92.KJ53 AQ84.AT83.A76.87 T763.KJ5.J8.A962 | 1D-P-3D
374   S  3D-S                    K4.93.AJ932.T983 T72.A852.Q6.K652 A853.KQT4.KT87.J QJ96.J76.54.AQ74 | 1D-P-3D
375   S  3N-S                    K2.63.T65.A98762 9875.J875.AJ2.K5 AQ43.AKQ4.Q7.JT4 JT6.T92.K9843.Q3 | 1C-P-3C-P-3N
376   S  3N-S                    762.94.AQ964.J62 AJ84.KJ.732.9875 K953.AT62.KJ8.AK QT.Q8753.T5.QT43 | 1D-P-3D-P-3N
377   S  3N-N                    T98.J.KQT854.Q72 K65.A532.97.J854 AQ43.QT87.AJ63.A J72.K964.2.KT963 | 1D-P-3D-P-3H-P-3N
378   S  1D-S                    73.87.KQT75.T863 AT8.J32.832.Q952 KQ65.KQT9.AJ4.A7 J942.A654.96.KJ4 | 1D
379   S  3N-S                    AQ3.JT5.86.J9642 K84.9642.QT432.8 J972.AK7.J7.AKQ3 T65.Q83.AK95.T75 | 1C-P-3C-P-3N
380   S  3N-S                    Q63.JT.QJ9763.85 K54.A8532.T.T742 A82.K4.AK54.A963 JT97.Q976.82.KQJ | 1D-P-3D-P-3N
381   S  3N-N                    J2.Q32.976.K9875 K875.T876.A5432. AQT3.KJ.QJ.AQT42 964.A954.KT8.J63 | 1C-P-1N-P-2N-P-3N
382   S  2D-S                    75.943.A8732.765 KJ64.T72.T5.AJ92 AQ83.AQ86.KJ6.K3 T92.KJ5.Q94.QT84 | 1D-P-P-X-XX-2C-2D
383   S  3C-S                    AQ9.T2.976.Q6432 T72.QJ53.A432.K5 6543.AK94.T8.AJ8 KJ8.876.KQJ5.T97 | 1C-P-3C
384   S  3N-S                    KQ.74.A9654.7542 852.K8652.JT8.Q9 AT9.AQ9.KQ72.KJ3 J7643.JT3.3.AT86 | 1D-P-3D-P-3N
385   S  3C-S                    T97.K82.K3.KT874 Q864.QJ5.QJT4.95 A3.AT76.976.AQ63 KJ52.943.A852.J2 | 1C-P-3C
386   S  3D-S                    Q.QT9.86542.KQ73 AJ62.A62.97.JT86 9853.K75.AQT3.A4 KT74.J843.KJ.952 | 1D-P-3D
387   S  3N-S                    843.K.KT872.Q954 KT7.T9642.54.K82 Q96.AJ73.AQJ3.A7 AJ52.Q85.96.JT63 | 1D-P-3D-P-3N
388   S  3C-S                    AQ3.63.QT8.T9862 T876.Q42.KJ94.K5 KJ4.A975.A6.Q743 952.KJT8.7532.AJ | 1C-P-3C
389   S  4C-S                    Q62.K6.875.K9654 9873.Q5432.Q42.8 AK54.J8.AT3.AQ32 JT.AT97.KJ96.JT7 | 1C-P-3C-P-3S-P-4C
390   S  4C-S                    Q4.76.JT9.AJT754 752.432.KQ64.KQ6 AJ96.AKQ9.A8.932 KT83.JT85.7532.8 | 1C-P-4C
391   S  3D-S                    T42.Q9.AQJ42.742 9875.AKT8.95.KT8 AKJ3.7432.KT3.QJ Q6.J65.876.A9653 | 1D-P-3D
392   S  3D-S                    T8.52.K9875.T654 J742.AQ83.T3.Q82 AK93.JT9.AQJ4.K3 Q65.K764.62.AJ97 | 1D-P-P-X-XX-1H-2D-P-P-X-P-2H-3D
393   S  5C-S                    J4.2.AT7.AT98654 T875.AT864.Q985. AQ62.KJ9.K.KQJ32 K93.Q753.J6432.7 | 1C-P-5C
394   S  3N-N                    J92.T63.J3.AT975 6543.A7.K9542.84 AKQ.KJ42.T8.KQJ2 T87.Q985.AQ76.63 | 1C-P-1N-P-2N-P-3C-P-3N
395   S  3N-S                    AJ2.63.QJT93.864 Q8.QJT.6542.KJ32 K97.A954.AK87.A5 T6543.K872..QT97 | 1D-P-3D-P-3N
396   S  3D-S                    42.KT6.KJ8432.Q2 JT86.Q52.7.A8765 AK3.J987.AQT6.T3 Q975.A43.95.KJ94 | 1D-P-3D
397   S  5D-S                    73.AT6.JT654.QJ8 QT95.J7532.7.AT3 KJ4.9.AKQ82.K762 A862.KQ84.93.954 | 1D-P-3D-P-4H=1=-P-5D | Splinter
398   S  3D-S                    A42.7.JT983.Q953 Q76.AT62.Q6.J742 KJT8.KQJ4.A52.T6 953.9853.K74.AK8 | 1D-P-3D
399   S  6D-S                    6.A9.JT9862.A653 J32.Q642.A54.QJ7 AKQ8.KJ87.K73.K2 T9754.T53.Q.T984 | 1D-P-3D-P-3N-P-4D-P-5D-P-6D
400   S  1C-S                    AT3.76.873.T8732 J5.KT42.Q652.Q64 KQ84.Q853.AK.AJ5 9762.AJ9.JT94.K9 | 1C
401   S  3D-S                    QJ2.873.QT876.K4 AT98.KT42.52.J73 K74.65.AJ94.AQT5 653.AQJ9.K3.9862 | 1D-P-3D
402   S  3N-S                    K3.K83.QJ843.642 J94.AT9.62.JT975 AQT8.Q764.AK7.A3 7652.J52.T95.KQ8 | 1D-P-3D-P-3N
403   S  3N-S                    A43.96.76543.AT6 J952.T75.A2.J973 KQT.AQJ.KQT9.Q85 876.K8432.J8.K42 | 1D-P-3D-P-3N
404   S  3C-S                    82.JT3.J64.AQ985 KT4.9764.KQ87.J4 AQJ9.A852.53.K73 7653.KQ.AT92.T62 | 1C-P-3C
405   S  3C-S                    Q8.Q84.T64.AJ843 K76.JT63.A975.Q5 J542.AK92.J2.KT2 AT93.75.KQ83.976 | 1C-P-3C
406   S  3N-S                    52.742.AJ874.K42 Q973.AT86.3.J873 AKT6.Q953.KT5.AQ J84.KJ.Q962.T965 | 1D-P-3D-P-3N
407   S  3D-S                    JT7.KT5.AJ832.42 K98.QJ82.T6.AT63 Q643.A9.KQ974.KJ A52.7643.5.Q9875 | 1D-P-3D
408   S  3D-S                    76.J4.KQ986.Q986 J93.AT52.AT3.JT2 AK42.K987.J54.K4 QT85.Q63.72.A753 | 1D-P-3D
409   S  3N-S                    93.QT.QJ952.QJ52 JT754.J974..KT73 KQ6.K32.AKT6.A98 A82.A865.8743.64 | 1D-P-3D-P-3N
410   S  4D-S                    JT9.987.QJT54.Q5 A86.JT32.9.JT973 Q3.KQ.AK8632.AK4 K7542.A654.7.862 | 1D-P-1N-P-2N-P-3D-P-4D
411   S  3C-S                    T7.Q87.Q73.KJT32 QJ95.T4.AJ62.Q96 K863.AK32.98.A85 A42.J965.KT54.74 | 1C-P-3C
412   S  3D-S                    KQ6.T9.K6532.876 JT98.J87.AT9.K93 4.AK65.QJ874.AQ4 A7532.Q432..JT52 | 1D-P-3D
413   S  2D-S                    Q86.982.97543.J3 AT94.K43.T2.KT85 J3.AQ5.KQJ8.AQ64 K752.JT76.A6.972 | 1D-P-P-X-XX-1H-2D
414   S  5D-S                    5.Q2.KJ8654.KT65 J9742.K985.3.J92 AQ83.AT43.QT2.AQ KT6.J76.A97.8743 | 1D-P-3D-P-3N-P-4D-P-4H-P-4S-P-5D
415   S  3N-S                    Q62.AJ8.J8642.83 J74.9432.KT5.K52 AK.Q75.A973.AQ64 T9853.KT6.Q.JT97 | 1D-P-3D-P-3N
416   S  3D-S                    J.T87.K8753.K965 Q732.AK5.T64.J72 A865.QJ96.AJ92.A KT94.432.Q.QT843 | 1D-P-3D
417   S  3N-S                    T93.742.A3.KQ754 J6542.QT8.Q876.8 AK7.AK5.J95.A962 Q8.J963.KT42.JT3 | 1C-P-3C-P-3N
418   S  3D-S                    KJ7.J43.AT542.95 A542.KT82.83.K42 QT.A65.KJ97.A863 9863.Q97.Q6.QJT7 | 1D-P-3D
419   S  3D-S                    JT.K8.A9763.T962 AK4.7542.QJ5.743 9865.AT96.K84.AQ Q732.QJ3.T2.KJ85 | 1D-P-3D
420   S  3D-S                    K84.J5.JT865.862 973.AQT3.93.QT97 AJT2.862.AKQ4.A4 Q65.K974.72.KJ53 | 1D-P-P-X-XX-1H-3D
421   S  3N-S                    K97.5.A9853.J732 T8.K6432.T72.T84 AQ52.AJ97.QJ6.KQ J643.QT8.K4.A965 | 1D-P-3D-P-3N
422   S  2N-N                    53.T63.KQT76.J96 QJ6.9854.54.KT42 KT84.AQJ2.A82.A7 A972.K7.J93.Q853 | 1D-P-1N-P-2N
423   S  3N-N                    K4.T93.764.KT542 T72.8765.KQ9.A63 AJ93.AKQ.J3.QJ98 Q865.J42.AT852.7 | 1C-P-1N-P-2N-P-3C-P-3N
424   S  5D-S                    .KQ3.JT8642.KT85 QT652.72.Q9.Q974 AK4.AT96.AK53.J6 J9873.J854.7.A32 | 1D-P-5D
425   S  3D-S                    T73.Q76.KT983.K9 K864.KJ3.J4.Q865 Q5.AT95.Q752.A72 AJ92.842.A6.JT43 | 1D-P-3D
426   S  3N-S                    J8.AT9.A86.97643 KQ95.873.QT75.85 A73.QJ5.K93.AKJ2 T642.K642.J42.QT | 1C-P-3C-P-3N
427   S  5C-S                    J4.Q43.J85.KJT62 T92.AT52.Q7642.5 AK73.KJ8.T.AQ984 Q865.976.AK93.73 | 1C-P-3C-P-4D=1=-P-5C | Splinter
428   S  3N-S                    A7.J72.QJT92.J96 932.A653.85.A843 QJT6.KQ94.AK7.K2 K854.T8.643.QT75 | 1D-P-3D-P-3N
429   S  3D-S                    AQ.JT5.98643.T92 T975.Q42.A.J8765 J83.AK76.KJ72.AK K642.983.QT5.Q43 | 1D-P-3D
430   S  3N-S                    97.K53.KT4.J8643 JT52.QT8.J982.52 AKQ6.A762.A3.Q97 843.J94.Q765.AKT | 1C-P-3C-P-3N
431   S  3D-S                    T54.AT4.AJT52.82 KJ98.J87.K4.Q763 763.KQ3.Q973.AJT AQ2.9652.86.K954 | 1D-P-3D
432   S  1D-S                    852.J2.A7642.986 976.874.KJ5.AT75 AKJT.AQT3.Q83.Q2 Q43.K965.T9.KJ43 | 1D
433   S  3D-S                    J4.JT9.KQ754.Q42 AQT7.A85.T2.T853 K982.K632.A86.A6 653.Q74.J93.KJ97 | 1D-P-3D
434   S  3N-S                    963.Q2.K53.AT532 QT7.J9754.T984.4 K84.AK83.A7.KJ87 AJ52.T6.QJ62.Q96 | 1C-P-3C-P-3N
435   S  3N-N                    J76.Q2.AJ875.632 KT842.J74.T4.Q85 95.AK85.K962.AKJ AQ3.T963.Q3.T974 | 1D-P-3D-P-3H-P-3N
436   S  2D-S                    Q43.872.T9842.J8 KJT2.T95.65.KQT2 86.AJ6.AKQJ.A963 A975.KQ43.73.754 | 1D-P-P-X-XX-1H-2D
437   S  3C-S                    K4.753.AQ7.97543 Q875.QT2.K8642.2 AT3.KJ86.J.AQT86 J962.A94.T953.KJ | 1C-P-3C
438   S  3C-S                    AJ.J93.J62.Q9853 KT8.Q864.Q9543.6 9532.A752.K7.AKT Q764.KT.AT8.J742 | 1C-P-3C
439   S  3N-S                    JT.AQ4.J8764.J96 986.T8763.Q.AT82 AK52.KJ.AKT5.754 Q743.952.932.KQ3 | 1D-P-3D-P-3N
440   S  3N-S                    53.JT4.KT5.AJT83 J964.KQ65.943.62 AK2.A98.A82.K975 QT87.732.QJ76.Q4 | 1C-P-3C-P-3N
441   S  3N-S                    JT3.A5.T5432.A64 K7654.8642.8.J72 A2.KT3.AQJ7.KQT5 Q98.QJ97.K96.983 | 1D-P-3D-P-3N
442   S  3D-S                    76.QT9.Q9842.AJ3 AQJT.8765.75.T54 852.AJ.AKJT3.KQ2 K943.K432.6.9876 | 1D-P-3D
443   S  5D-S                    T9.62.AQJ75.J873 Q643.KT984..Q654 AJ87.AQ5.K9842.K K52.J73.T63.AT92 | 1D-P-3D-P-3S-P-5D
444   S  3N-S                    43.AQT.J9832.984 KQJ2.J52.T5.QT52 A98.K9.KQ764.AK7 T765.87643.A.J63 | 1D-P-3D-P-3N
445   S  3N-S                    T3.65.KQT52.QJ94 J762.JT42.9.KT72 K54.AQ97.AJ87.A3 AQ98.K83.643.865 | 1D-P-3D-P-3N
446   S  3N-S                    42.K98.K9763.JT9 Q76.7543.QT.Q654 AK83.QJT6.A85.A2 JT95.A2.J42.K873 | 1D-P-3D-P-3N
447   S  5C-S                    8.J64.932.AJT753 A932.K98.T864.98 KT76.AQ75.AK.Q64 QJ54.T32.QJ75.K2 | 1C-P-3C-P-3N-P-5C
448   S  4D-S                    J73.J6.AT8542.T6 AKQ4.9742.76.973 982.AQ.KQJ9.AQJ2 T65.KT853.3.K854 | 1D-P-4D
449   S  3D-S                    743.53.AQ954.J54 T96.K86.762.AK97 AKQ5.QJ72.KJT8.8 J82.AT94.3.QT632 | 1D-P-3D
450   S  6D-S                    7.542.AQJ93.Q983 Q632.Q63.KT74.T2 KJ9.AKJ.8652.AK7 AT854.T987..J654 | 1D-P-3D-P-3N-P-4D-P-4H-P-4S-P-5D-P-6D
451   S  3D-S                    43.QJ7.K8763.K43 KQ97.K853.92.JT5 T65.A94.AQT5.A72 AJ82.T62.J4.Q986 | 1D-P-3D
452   S  3C-S                    Q9.752.J65.AJ965 653.AQ84.AT42.43 AKT4.J9.Q93.KT72 J872.KT63.K87.Q8 | 1C-P-3C
453   S  3N-S                    JT8.86.QT743.QT9 Q632.QT75.AJ.J72 AK54.AKJ2.986.A3 97.943.K52.K8654 | 1D-P-P-X-XX-2C-3D-P-3N
454   S  3D-S                    94.Q52.KQ432.J65 T862.AJT.JT.A432 AK73.K873.965.KT QJ5.964.A87.Q987 | 1D-P-3D
455   S  3N-S                    KQ7.QJ.T86542.53 J963.A532.9.QT74 AT8.K74.KQJ7.AJ2 542.T986.A3.K986 | 1D-P-3D-P-3N
456   S  5C-S                    QJ5.JT.QJ7.Q9873 K84.9876.T8653.2 AT9.AK32.K.AJT65 7632.Q54.A942.K4 | 1C-P-3C-P-5C
457   S  3D-S                    AT5.J5.A7643.743 842.QT94.KQ.Q985 Q973.AK73.JT2.A2 KJ6.862.985.KJT6 | 1D-P-3D
458   S  3N-S                    J3.A93.T43.AT532 Q952.J87.KJ76.J6 AKT4.KQ52.A5.Q74 876.T64.Q982.K98 | 1C-P-3C-P-3N
459   S  4D-S                    AQ7.65.876543.JT K854.843.2.A8654 T96.AKQT.AKQ9.93 J32.J972.JT.KQ72 | 1D-P-4D
460   S  3D-S                    874.73.AJ985.QT4 632.AQ84.T3.A532 AKQ9.JT62.K76.86 JT5.K95.Q42.KJ97 | 1D-P-3D
461   S  3D-S                    942.3.KT9432.J62 A85.9872.65.A874 KQJ3.K654.AQ7.K9 T76.AQJT.J8.QT53 | 1D-P-P-X-XX-1H-3D
462   S  3D-S                    JT.54.T6432.A985 KQ72.8763.Q8.K62 A94.AK2.AJ97.Q73 8653.QJT9.K5.JT4 | 1D-P-P-X-XX-1H-3D
463   S  3C-S                    A4.J7.T43.AT9872 763.AQ32.KJ9.643 QJ52.K65.Q8.KQJ5 KT98.T984.A7652. | 1C-P-3C
464   S  3N-S                    Q32.KT7.K9754.T6 J65.A65.83.J9542 KT7.Q94.AQJ6.AK7 A984.J832.T2.Q83 | 1D-P-3D-P-3N
465   S  3N-S                    A87.T42.QT.JT765 JT5.9873.A64.A43 KQ3.AQJ.K82.K982 9642.K65.J9753.Q | 1C-P-3C-P-3N
466   S  5D-S                    J32.J9.QJ643.632 986.AT65.K7.J984 AKQ4.843.A952.AQ T75.KQ72.T8.KT75 | 1D-P-P-X-XX-1H-3D-P-3S-P-4D-P-5D
467   S  3N-S                    62.K5.KT965.Q987 T984.J932.7.KT32 KQ75.AT76.AQ8.A6 AJ3.Q84.J432.J54 | 1D-P-3D-P-3N
468   S  3N-S                    T74.A7.Q9743.J74 QJ93.KJ65.85.KT2 A865.QT2.AKJT.A6 K2.9843.62.Q9853 | 1D-P-3D-P-3N
469   S  3C-S                    9.JT7.Q87.A86543 K863.AK3.T965.T7 QJT2.Q964.A3.KQ9 A754.852.KJ42.J2 | 1C-P-3C
470   S  3D-S                    763.5.JT987.QJ64 JT92.QT842.6.A85 AK8.KJ3.KQ32.KT7 Q54.A976.A54.932 | 1D-P-P-X-XX-1H-3D
471   S  3N-S                    AQ6.T4.92.QT8654 T982.Q92.QT864.J K43.KJ75.AK.A973 J75.A863.J753.K2 | 1C-P-3C-P-3N
472   S  3N-S                    2.753.AQT84.Q983 843.KQJ9.K72.JT2 AQJ5.A8.J963.AK7 KT976.T642.5.654 | 1D-P-3D-P-3N
473   S  6D-S                    JT2.4.A8632.KJ54 65.K6532.97.A986 AK73.AQT7.KQJT.3 Q984.J98.54.QT72 | 1D-P-3D-P-5D-P-6D
474   S  5D-S                    K93.9.Q9873.KJ72 75.K8532.T2.A985 AT86.AQJ7.AKJ5.T QJ42.T64.64.Q643 | 1D-P-3D-P-5D
475   S  3D-S                    Q9.A.QT9863.8542 J42.K652.72.AJ93 A653.T943.AK5.Q7 KT87.QJ87.J4.KT6 | 1D-P-3D
476   S  3D-S                    T7.K8.T9653.AJ87 QJ92.Q64.82.KQ92 K865.AJ53.AJ7.64 A43.T972.KQ4.T53 | 1D-P-3D
477   S  5D-S                    K.752.J987632.K5 JT73.KJ8.Q4.JT43 A654.AQ3.AKT5.Q9 Q982.T964..A8762 | 1D-P-4D-P-5D
478   S  3D-S                    A6.874.J9532.JT5 KT53.QT953..Q982 J98.K2.AK8764.AK Q742.AJ6.QT.7643 | 1D-P-1N-P-3D
479   S  3N-S                    Q42.6.T9762.AQ94 J763.KJ8.A4.6532 AKT9.A743.KJ3.KJ 85.QT952.Q85.T87 | 1D-P-3D-P-3N
480   S  3N-S                    542.T7.A75.AJT73 JT96.K84.JT32.64 AKQ7.AJ2.Q4.K852 83.Q9653.K986.Q9 | 1C-P-3C-P-3N
481   S  3N-S                    K.T53.AJT98.9653 T654.KQ86.65.J82 AJ92.A.KQ743.KQ4 Q873.J9742.2.AT7 | 1D-P-3D-P-3N
482   S  3N-S                    983.82.KQ2.Q8532 65.AKQ6.T853.J64 AKQ4.J743.J7.AK9 JT72.T95.A964.T7 | 1C-P-3C-P-3N
483   S  3D-S                    3.753.KJ954.KJ84 QJ95.KQJ9.T3.632 KT42.A8.A762.QT5 A876.T642.Q8.A97 | 1D-P-3D
484   S  3N-S                    64.T73.Q98.AJ964 752.K942.J654.83 KJ98.AQ86.AK.QT7 AQT3.J5.T732.K52 | 1C-P-3C-P-3N
485   S  3D-S                    K62.Q8.98765.A65 JT83.J74.AJ.JT92 A54.AK53.QT432.K Q97.T962.K.Q8743 | 1D-P-3D
486   S  3D-S                    KJ7.J2.QJ7542.J4 Q83.K765.8.Q9876 T654.A84.AKT6.K5 A92.QT93.93.AT32 | 1D-P-3D
487   S  3D-S                    T5.K62.AQT52.975 Q432.JT.K73.QJ86 AJ87.AQ53.J64.42 K96.9874.98.AKT3 | 1D-P-3D
488   S  1C-S                    T7.JT2.K87.JT842 962.K65.A964.Q63 KQ84.AQ83.T2.AK7 AJ53.974.QJ53.95 | 1C
489   S  3D-S                    A52.5.98762.KT53 JT4.Q963.J4.AQ84 KQ96.AJ82.KQT5.6 873.KT74.A3.J972 | 1D-P-3D
490   S  3D-S                    T93.96.AK932.Q94 8742.A32.85.AJ63 AQJ.KQJ7.JT74.87 K65.T854.Q6.KT52 | 1D-P-3D
491   S  3N-S                    J54.J86.KJ964.K3 QT83.Q43.T7.9862 AK.KT7.AQ32.QJT4 9762.A952.85.A75 | 1D-P-3D-P-3N
492   S  3N-S                    T86.8.QJT974.A74 9754.K9654.6.K65 AK3.AT2.AK52.T92 QJ2.QJ73.83.QJ83 | 1D-P-3D-P-3N
493   S  3N-S                    53.932.KJ843.KT6 J42.JT4.Q7.J9853 AT86.AQ8.AT92.A7 KQ97.K765.65.Q42 | 1D-P-3D-P-3N
494   S  3N-S                    J98.QT.QJ5.Q8642 QT2.K9843.T94.53 A643.62.AK8.AKT7 K75.AJ75.7632.J9 | 1C-P-3C-P-3N
495   S  3N-S                    92.J53.KT752.AT6 J753.A94.J9.Q982 AQ8.KQ2.AQ43.J43 KT64.T876.86.K75 | 1D-P-3D-P-3N
496   S  3N-S                    764.Q4.KT7.A8432 92.J986.J94.KJT6 AKQ5.A52.A6.Q975 JT83.KT73.Q8532. | 1C-P-3C-P-3N
497   S  3D-S                    83.Q76.KT763.T85 AQT5.T984.95.A42 K972.AK3.AJ82.QJ J64.J52.Q4.K9763 | 1D-P-P-X-XX-2C-3D
498   S  3N-S                    74.K72.AQT85.T98 K953.A96.762.J64 AJ62.QJT5.K43.AK QT8.843.J9.Q7532 | 1D-P-3D-P-3N
499   S  3D-S                    987.AT7.J8542.A7 KT43.KJ62.QT.832 AJ6.Q4.AK97.KJ96 Q52.9853.63.QT54 | 1D-P-3D
500   S  3N-S                    K53.A6.Q52.T9752 Q98.QT83.JT763.Q A72.J4.AK4.AK643 JT64.K9752.98.J8 | 1C-P-3C-P-3N

             -- Sorted Summary of Bidding Sequences --

    5  1C
    1  1C-P-1N
    1  1C-P-1N-P-2N-P-3C
   12  1C-P-1N-P-2N-P-3C-P-3N
    2  1C-P-1N-P-2N-P-3N
    1  1C-P-1N-P-4C-P-5C
   59  1C-P-3C
    3  1C-P-3C-P-3H-P-3N
    1  1C-P-3C-P-3H-P-4C-P-5C
    1  1C-P-3C-P-3H-P-5C
   65  1C-P-3C-P-3N
    1  1C-P-3C-P-3N-P-4C-P-4D-P-4H-P-5C
    1  1C-P-3C-P-3N-P-4C-P-5C
    2  1C-P-3C-P-3N-P-5C
    1  1C-P-3C-P-3S-P-3N
    1  1C-P-3C-P-3S-P-4C
    1  1C-P-3C-P-4D=1=-P-5C | Splinter
    2  1C-P-3C-P-5C
    3  1C-P-4C
    1  1C-P-4C-P-4N-P-5D=1=-P-6C | A=1/5 or 4/5
    1  1C-P-5C
    1  1C-P-P-X-1H-2D-P-P-X-P-3C-3D
    3  1C-P-P-X-XX-1D-2C-2D-P-3N
    1  1C-P-P-X-XX-1D-3C
    1  1C-P-P-X-XX-1H-2C
    1  1C-P-P-X-XX-1H-3C
    5  1C-P-P-X-XX-1S-2C
    1  1C-P-P-X-XX-1S-2C-P-P-X-P-2S-P-P-3C
   10  1D
    1  1D-P-1N
    2  1D-P-1N-P-2D
    1  1D-P-1N-P-2H-P-4D-P-5D
    6  1D-P-1N-P-2N
    3  1D-P-1N-P-2N-P-3D
    2  1D-P-1N-P-2N-P-3D-P-3N
    1  1D-P-1N-P-2N-P-3D-P-4D
    1  1D-P-1N-P-2S-P-3D
    1  1D-P-1N-P-3D
    1  1D-P-1N-P-3N
  102  1D-P-3D
    6  1D-P-3D-P-3H-P-3N
    1  1D-P-3D-P-3H-P-4D
  119  1D-P-3D-P-3N
